rxn01974;AAA041L13_CDS_1876,
rxn01018;AAA041L13_CDS_1894,
rxn01360;AAA041L13_CDS_1890,AAA041L13_CDS_1889,
rxn01465;AAA041L13_CDS_1893,
rxn01790;AAA041L13_CDS_2368,AAA041L13_CDS_2679,
rxn01603;AAA041L13_CDS_1478,
rxn02504;AAA041L13_CDS_2622,
rxn01331;AAA041L13_CDS_1586,
rxn00299;AAA041L13_CDS_832,AAA041L13_CDS_2790,
rxn00209;AAA041L13_CDS_2855,
rxn00337;AAA041L13_CDS_2402,
rxn00912;AAA041L13_CDS_1665,
rxn02503;AAA041L13_CDS_2286,
rxn01629;AAA041L13_CDS_2476,
rxn03031;AAA041L13_CDS_1610,
rxn01791;AAA041L13_CDS_2285,
rxn01362;AAA041L13_CDS_2092,
rxn00710;AAA041L13_CDS_1888,
rxn03909;AAA041L13_CDS_1865,
rxn02201;AAA041L13_CDS_2288,
rxn01643;AAA041L13_CDS_2403,
rxn03445;AAA041L13_CDS_2854,
