rxn00029;TBepi3207_CDS_2573,
rxn01974;TBepi3207_CDS_1950,
rxn01018;TBepi3207_CDS_2485,
rxn01360;TBepi3207_CDS_1393,TBepi3207_CDS_1392,
rxn01465;TBepi3207_CDS_2484,
rxn01790;TBepi3207_CDS_1989,
rxn01603;TBepi3207_CDS_1808,
rxn02264;TBepi3207_CDS_2574,
rxn01331;TBepi3207_CDS_1480,
rxn00299;TBepi3207_CDS_1907,
rxn00337;TBepi3207_CDS_2069,
rxn00912;TBepi3207_CDS_1299,
rxn02503;TBepi3207_CDS_1910,
rxn01629;TBepi3207_CDS_2160,TBepi3207_CDS_2572,
rxn03031;TBepi3207_CDS_2210,
rxn01791;TBepi3207_CDS_1911,
rxn01362;TBepi3207_CDS_1596,
rxn00710;TBepi3207_CDS_1394,
rxn03909;TBepi3207_CDS_1366,
rxn02201;TBepi3207_CDS_1908,
rxn01643;TBepi3207_CDS_2068,
rxn00313;TBepi3207_CDS_1292,
rxn00060;TBepi3207_CDS_2575,
