rxn00029;TBhypo3463_CDS_1435,
rxn01629;TBhypo3463_CDS_1434,TBhypo3463_CDS_2025,
rxn01790;TBhypo3463_CDS_1352,
rxn01603;TBhypo3463_CDS_2186,
rxn01018;TBhypo3463_CDS_2293,
rxn01360;TBhypo3463_CDS_2288,TBhypo3463_CDS_2289,
rxn01465;TBhypo3463_CDS_2292,
rxn01791;TBhypo3463_CDS_2081,
rxn01362;TBhypo3463_CDS_1284,
rxn00710;TBhypo3463_CDS_2287,
rxn02264;TBhypo3463_CDS_1436,
rxn01331;TBhypo3463_CDS_2348,
rxn00299;TBhypo3463_CDS_2085,
rxn00060;TBhypo3463_CDS_1437,
rxn02201;TBhypo3463_CDS_2084,
rxn00337;TBhypo3463_CDS_1718,
rxn00912;TBhypo3463_CDS_1613,
rxn01643;TBhypo3463_CDS_1717,
rxn00313;TBhypo3463_CDS_1365,
rxn02503;TBhypo3463_CDS_2082,
rxn03445;TBhypo3463_CDS_1525,
