acI,"AAA023D18,AAA023J06,AAA024D14,AAA027J17,AAA027L06,AAA027M14,AAA028A23,AAA028E20,AAA028G02,AAA028I14,AAA041L13,AAA044D11,AAA044N04,AAA044O16,AAA278I18,AAA278O22,AB141P03,BIN_10,MEint1363,MEint2297,MEint283,MEint3864,MEint4252,MEint885,TBepi2057,TBepi2754,TBepi3207,TBepi3475,TBepi4208,TBhypo2152,TBhypo3463,TBhypo3838,TBhypo680,acIB-AMD-6,acIB-AMD-7,bin_7_acI-B2"
acI-A,"AAA023J06,AAA024D14,AAA027M14,AAA028E20,AAA028G02,AAA028I14,AAA041L13,AAA044N04,AAA044O16,AAA278O22,MEint1363,MEint2297"
acI-B,"AAA023D18,AAA027J17,AAA027L06,AAA028A23,AAA044D11,AAA278I18,AB141P03,MEint283,MEint4252,TBepi2057,TBepi2754,TBepi3207,TBepi3475,TBepi4208,TBhypo2152,TBhypo3463,TBhypo3838,TBhypo680,acIB-AMD-6,acIB-AMD-7,bin_7_acI-B2"
acI-C,"BIN_10,MEint3864,MEint885"
A1,"AAA027M14,AAA278O22"
A5,"AAA028G02,AAA044O16"
A6,"AAA028E20,AAA028I14"
A7,"AAA023J06,AAA024D14,AAA041L13,AAA044N04"
B1,"AAA023D18,AAA027J17,AAA027L06,AAA028A23,AAA278I18,AB141P03,MEint283,acIB-AMD-6,acIB-AMD-7"
B2,bin_7_acI-B2
B4,"AAA044D11,MEint4252"
