cpd00022_c	cpd00010_c
cpd00045_c	cpd00044_c
cpd00008_c	cpd00018_c
cpd00002_c	cpd00018_c
cpd00002_c	cpd00008_c
cpd00096_c	cpd00046_c
cpd15866_c	cpd15867_c
cpd00052_c	cpd00096_c
cpd00052_c	cpd00046_c
cpd00110_c	cpd00109_c
cpd26784_c	cpd26785_c
cpd00177_c	cpd00294_c
cpd00115_c	cpd00294_c
cpd00115_c	cpd00177_c
cpd00533_c	cpd00206_c
cpd00356_c	cpd00206_c
cpd00356_c	cpd00533_c
cpd00295_c	cpd00296_c
cpd00241_c	cpd00296_c
cpd00241_c	cpd00295_c
cpd00976_c	cpd03704_c
cpd00231_c	cpd00233_c
cpd00977_c	cpd00976_c
cpd00977_c	cpd03704_c
cpd00297_c	cpd00298_c
cpd00357_c	cpd00298_c
cpd00357_c	cpd00297_c
cpd00978_c	cpd00299_c
cpd00358_c	cpd00299_c
cpd00358_c	cpd00978_c
cpd00015_c	cpd00982_c
cpd15876_c	cpd15877_c
cpd11795_c	cpd11797_c
cpd27029_c	cpd27031_c
cpd00031_c	cpd00126_c
cpd00042_c	cpd00111_c
cpd00038_c	cpd00126_c
cpd00038_c	cpd00031_c
cpd00090_c	cpd00114_c
cpd00068_c	cpd00090_c
cpd00068_c	cpd00114_c
cpd12783_c	cpd11451_c
cpd11606_c	cpd11451_c
cpd15995_c	cpd15994_c
cpd17027_c	cpd17026_c
cpd00003_c	cpd00004_c
cpd00006_c	cpd00005_c
cpd27757_c	cpd28082_c
cpd11621_c	cpd11620_c
cpd30750_c	cpd19168_c
cpd29046_c	cpd07274_c
cpd16503_c	cpd07274_c
cpd11665_c	cpd11669_c
cpd28074_c	cpd28018_c
cpd11620_c	cpd11621_c
cpd00017_c	cpd00019_c
cpd00087_c	cpd00502_c
cpd00087_c	cpd02197_c
cpd00087_c	cpd00347_c
cpd00087_c	cpd00345_c
cpd00087_c	cpd00201_c
cpd00087_c	cpd00125_c
cpd15291_c	cpd15290_c
cpd15561_c	cpd15560_c
cpd25913_c	cpd25792_c
cpd00014_c	cpd00091_c
cpd00062_c	cpd00091_c
cpd00062_c	cpd00014_c
cpd00972_c	cpd00497_c
cpd00530_c	cpd00972_c
cpd00530_c	cpd00497_c
cpd00003_c	cpd00006_c
