637000248,Rubrobacter xylanophilus DSM 9941
639633001,Acidothermus cellulolyticus 11B
639633044,Mycobacterium vanbaalenii PYR-1
640753031,Kineococcus radiotolerans SRS30216
643348509,Arthrobacter chlorophenolicus A6
643348516,Bifidobacterium longum sv. Infantis
643692008,Beutenbergia cavernae HKI 0122
644736322,Acidimicrobium ferrooxidans ICP
644736331,Brachybacterium faecium 6-10
644736339,Catenulispora acidiphila ID139908
644736376,Jonesia denitrificans 55134
644736393,Nakamurella multipartita Y-104
646311917,Conexibacter woesei ID131577
646311931,Geodermatophilus obscurus G-20
646311932,Gordonia bronchialis 3410
646311938,Kribbella flavida IFO 14399
646311958,Streptosporangium roseum NI 9100
646311968,Xylanimonas cellulosilytica XIL07
646564505,Arcanobacterium haemolyticum CCM
646564520,Cellulomonas flavigena 134
646564565,Sanguibacter keddieii ST-74
646564566,Segniliparus rotundus CDC 1076
646564571,Stackebrandtia nassauensis LLR-40K-21
646564587,Tsukamurella paurometabola 33
648028042,Micromonospora aurantiaca ATCC 27029
648028043,Mobiluncus curtisii ATCC 43063
650377905,Arthrobacter phenanthrenivorans Sphe3
651053061,Pseudonocardia dioxanivorans CB1190
2503538010,Coriobacterium glomerans PW2
2505679089,Cellulomonas fimi NRS 133
2506783060,Mycobacterium sp. JS623
2511231200,Streptomyces cattleya DSM 46488
2576861448,Trueperella pyogenes TP6375
2585427650,Actinobaculum schaalii CCUG 27420
2639762896,Streptomyces albus ZpM
2639763019,Trueperella pyogenes 2012CQ-ZSH
2684623058,Actinomyces oris T14V
AAA023D18,AAA023-D18
AAA023J06,AAA023-J06
AAA024D14,AAA024-D14
AAA027J17,AAA027-J17
AAA027L06,AAA027-L06
AAA027M14,AAA027-M14
AAA028A23,AAA028-A23
AAA028E20,AAA028-E20
AAA028G02,AAA028-G02
AAA028I14,AAA028-I14
AAA041L13,AAA041-L13
AAA044D11,AAA044-D11
AAA044N04,AAA044-N04
AAA044O16,AAA044-O16
AAA278I18,AAA278-I18
AAA278O22,AAA278-O22
AB141P03,AB141-P03
acIB-AMD-6,acIB-AMD-6
acIB-AMD-7,acIB-AMD-7
BIN_10,BIN_10
bin_7_acI-B2,bin_7_acI-B2
MEint1363,ME01363
MEint2297,ME02297
MEint283,ME0283
MEint3864,ME03864
MEint4252,ME04252
MEint885,ME0885
Pnec,Polynucleobacter necessarius asymbioticus
TBepi2057,TE02057
TBepi2754,TE02754
TBepi3207,TE03207
TBepi3475,TE03475
TBepi4208,TE04208
TBhypo2152,TH02152
TBhypo3463,TH03463
TBhypo3838,TH03838
TBhypo680,TH00680
