cpd00290_c,D_fructose_1_6_bisphosphate
cpd00134_c,Palmitoyl_CoA
cpd00208_c,LACT
cpd00797_c,R_3_Hydroxybutanoate
cpd11523_c,5_methyl_trans_hex_2_enoyl_ACP
cpd00070_c,Malonyl_CoA
cpd00043_c,UDP_galactose
cpd11439_c,fa4coa
cpd01217_c,Xanthosine
cpd00119_c,L_Histidine
cpd00033_c,Glycine
cpd00101_c,ribose_5_phosphate
cpd11514_c,12_methyl_trans_tetra_dec_2_enoyl_ACP
cpd09818_c,Naphthyl_2_methyl_succinic_acid
cpd15606_c,Gly_Tyr
cpd11590_c,met_L_ala_L
cpd15604_c,Gly_Leu
cpd00437_c,D_Tagaturonate
cpd03117_c,3_Oxododecanoyl_CoA
cpd00072_c,D_fructose_6_phosphate
cpd03488_c,Undecaprenyl_diphospho_N_acetylmuramoyl_N_acetylglucosamine_L_alanyl_D_glutaminyl_L_lysyl_D_alanyl_D_alanine
cpd11562_c,12_methyl_3_oxo_tridecanoyl_ACP
cpd00183_c,Sarcosine
cpd00227_c,L_Homoserine
cpd15542_c,Phosphatidylglycerophosphate_didodecanoyl
cpd00076_c,Sucrose
cpd15422_c,CDP_1_2_ditetradec_7_enoylglycerol
cpd00258_c,D_Ribulose
cpd02172_c,Solanesyl_diphosphate
cpd11534_c,11_methyl_3_hydroxy_dodecanoyl_ACP
cpd11437_c,fa3coa
cpd00515_c,5_Dehydro_4_deoxy_D_glucarate
cpd00200_c,4MOP
cpd03606_c,2_Oxo_3_hydroxy_4_phosphobutanoate
cpd10515_c,Fe2
cpd01777_c,Phosphoribosyl_AMP
cpd03115_c,S_3_Hydroxytetradecanoyl_CoA
cpd11536_c,11_methyl_dodecanoyl_ACP
cpd15662_c,Prenol_45n_teichoic_acid_glucose_substituted
cpd15546_c,Phosphatidylglycerophosphate_dihexadec_9_enoyl
cpd15585_c,beta_Methylglucoside
cpd00475_c,Ribose_1_phosphate
cpd11433_c,fa12
cpd11476_c,hexadecanoyl_acp
cpd00223_c,Glycerate
cpd00221_c,D_Lactate
cpd00144_c,UDPglucuronate
cpd12237_c,Peptide_L_methionine
cpd00774_c,UroporphyrinogenIII
cpd14699_c,S_3_Methylbutanoyl_dihydrolipoamide_E
cpd11532_c,9_methyl_decanoyl_ACP
cpd11435_c,fa1coa
cpd00042_c,GSH
cpd00897_c,CDP_4_dehydro_6_deoxy_D_glucose
cpd00861_c,UDP_N_acetyl_D_mannosamine
cpd04918_c,D_Glycero_D_manno_heptose7_phosphate
cpd11539_c,13_methyl_trans_tetra_dec_2_enoyl_ACP
cpd11592_c,gly_glu_L
cpd00056_c,TPP
cpd00093_c,Anthranilate
