cpd01507_c0	C27H38N7O20P3S
cpd03422_c0	C48H73CoN11O8
cpd09844_c0	C27H40N7O20P3S
cpd11464_c0	C15H27N2O8PRS
cpd11466_c0	C25H47N2O8PRS
cpd11467_c0	C25H45N2O8PRS
cpd11468_c0	C23H43N2O8PRS
cpd11469_c0	C23H41N2O8PRS
cpd11470_c0	C19H35N2O8PRS
cpd11471_c0	C19H33N2O8PRS
cpd11472_c0	C17H31N2O8PRS
cpd11474_c0	C21H39N2O8PRS
cpd11475_c0	C21H37N2O8PRS
cpd11476_c0	C27H51N2O8PRS
cpd11477_c0	C27H49N2O8PRS
cpd11479_c0	C17H31N2O9PRS
cpd11480_c0	C23H43N2O9PRS
cpd11482_c0	C21H39N2O9PRS
cpd11483_c0	C19H35N2O9PRS
cpd11485_c0	C27H49N2O9PRS
cpd11486_c0	C17H29N2O9PRS
cpd11487_c0	C21H37N2O9PRS
cpd11488_c0	C15H25N2O9PRS
cpd11489_c0	C23H41N2O9PRS
cpd11490_c0	C19H33N2O9PRS
cpd11491_c0	C25H45N2O9PRS
cpd11492_c0	C14H22N2O10PRS
cpd11493_c0	C11H21N2O7PRS
cpd11494_c0	C13H23N2O8PRS
cpd11495_c0	C16H29N2O8PRS
cpd11515_c0	C26H49N2O8PRS
cpd11519_c0	C28H53N2O8PRS
cpd11520_c0	C16H29N2O8PRS
cpd11540_c0	C26H49N2O8PRS
cpd11544_c0	C28H53N2O8PRS
cpd11545_c0	C15H27N2O8PRS
cpd11565_c0	C25H47N2O8PRS
cpd11569_c0	C27H51N2O8PRS
cpd11573_c0	C29H55N2O8PRS
cpd14938_c0	C18H33O2RS
cpd15268_c0	C29H55N2O8PRS
cpd15277_c0	C27H51N2O8PRS
cpd15484_c0	C124H222N2O51P2
cpd15485_c0	C117H210N2O45P2
