'ID,Lineage,Clade,Tribe
AAA023D18,acI,acI-B,acI-B1
AAA023J06,acI,acI-A,acI-A7
AAA024D14,acI,acI-A,acI-A7
AAA027J17,acI,acI-B,acI-B1
AAA027L06,acI,acI-B,acI-B1
AAA027M14,acI,acI-A,acI-A1
AAA028A23,acI,acI-B,acI-B1
AAA028E20,acI,acI-A,acI-A6
AAA028G02,acI,acI-A,acI-A5
AAA028I14,acI,acI-A,acI-A6
AAA041L13,acI,acI-A,acI-A7
AAA044D11,acI,acI-B,acI-B4
AAA044N04,acI,acI-A,acI-A7
AAA044O16,acI,acI-A,acI-A5
AAA278I18,acI,acI-B,acI-B1
AAA278O22,acI,acI-A,acI-A1
AB141P03,acI,acI-B,acI-B1
acIB-AMD-6,acI,acI-B,acI-B1
acIB-AMD-7,acI,acI-B,acI-B1
BIN_10,acI,acI-C,Unknown
bin_7_acI-B2,acI,acI-B,acI-B2
MEint1363,acI,acI-A,Unknown
MEint2297,acI,acI-A,Unknown
MEint283,acI,acI-B,acI-B1
MEint3864,acI,acI-C,Unknown
MEint4252,acI,acI-B,acI-B4
MEint885,acI,acI-C,Unknown
TBepi2057,acI,acI-B,Unknown
TBepi2754,acI,acI-B,Unknown
TBepi3207,acI,acI-B,Unknown
TBepi3475,acI,acI-B,Unknown
TBepi4208,acI,acI-B,Unknown
TBhypo2152,acI,acI-B,Unknown
TBhypo3463,acI,acI-B,Unknown
TBhypo3838,acI,acI-B,Unknown
TBhypo680,acI,acI-B,Unknown
