,Count,RPKM
AAA023D18.genome.CDS.1003,23.0,15.320013439568381
AAA023D18.genome.CDS.1015,11.0,11.090661242494463
AAA023D18.genome.CDS.1019,486.0,476.95809271312794
AAA023D18.genome.CDS.1025,11.0,15.33120818815411
AAA023D18.genome.CDS.1027,16.0,31.972201960838365
AAA023D18.genome.CDS.1028,22.0,10.365987354490562
AAA023D18.genome.CDS.1037,11.0,10.763503093748314
AAA023D18.genome.CDS.1039,10.0,27.414181433363474
AAA023D18.genome.CDS.1041,32.0,62.439829711754925
AAA023D18.genome.CDS.1051,13.0,9.155521739847291
AAA023D18.genome.CDS.1052,13.0,17.893156595303214
AAA023D18.genome.CDS.1061,18.0,17.876672802953788
AAA023D18.genome.CDS.1069,27.0,19.991547040803226
AAA023D18.genome.CDS.1076,81.0,70.3367518922501
AAA023D18.genome.CDS.1080,20.0,4.402277310467127
AAA023D18.genome.CDS.1095,14.0,8.062434609048216
AAA023D18.genome.CDS.1161,10.0,6.839414336983465
AAA023D18.genome.CDS.1169,101.0,96.55006089254611
AAA023D18.genome.CDS.1172,39.0,35.83587872134134
AAA023D18.genome.CDS.1182,10.0,15.07779978834991
AAA023D18.genome.CDS.1185,40.0,24.34580516284022
AAA023D18.genome.CDS.1190,129.0,77.94316174742632
AAA023D18.genome.CDS.1191,85.0,64.08064910048712
AAA023D18.genome.CDS.1200,17.0,35.02544795554576
AAA023D18.genome.CDS.1201,15.0,32.73469690891757
AAA023D18.genome.CDS.1204,45.0,44.162786362326656
AAA023D18.genome.CDS.1205,34.0,53.96265187409442
AAA023D18.genome.CDS.1207,18.0,47.38737076338543
AAA023D18.genome.CDS.1231,11.0,22.66352514770608
AAA023D18.genome.CDS.1252,29.0,17.748406392928494
AAA023D18.genome.CDS.1265,48.0,20.129148642853988
AAA023D18.genome.CDS.1266,90.0,23.414936141908097
AAA023D18.genome.CDS.1269,14.0,37.15169867849418
AAA023D18.genome.CDS.1314,10.0,5.14281543168524
AAA023D18.genome.CDS.1327,14.0,7.804978713969366
AAA023D18.genome.CDS.1343,10.0,8.822116897438779
AAA023D18.genome.CDS.1344,57.0,47.26890233647697
AAA023D18.genome.CDS.1345,39.0,27.178050879000466
AAA023D18.genome.CDS.1350,18.0,21.63336491371944
AAA023D18.genome.CDS.1351,13.0,15.853863012750274
AAA023D18.genome.CDS.1359,10.0,12.150607888047546
AAA023D18.genome.CDS.1372,10.0,7.437479716226413
AAA023D18.genome.CDS.1373,28.0,41.27966519832686
AAA023D18.genome.CDS.1383,1464.0,1889.5944575220774
AAA023D18.genome.CDS.1432,44.0,47.387370763385434
AAA023D18.genome.CDS.1436,16.0,14.783803692198243
AAA023D18.genome.CDS.1437,20.0,51.82993677245281
AAA023D18.genome.CDS.1438,33.0,50.213223148357955
AAA023D18.genome.CDS.1439,18.0,25.193285722306182
AAA023D18.genome.CDS.1440,14.0,32.249738436192864
AAA023D18.genome.CDS.1441,10.0,13.937461989231009
AAA023D18.genome.CDS.1467,11.0,26.063053919861986
AAA023D18.genome.CDS.1477,23.0,29.802213644160368
AAA023D18.genome.CDS.1492,111.0,98.44916332393176
AAA023D18.genome.CDS.754,16.0,7.793517658589086
AAA023D18.genome.CDS.775,10.0,10.631781902041602
AAA023D18.genome.CDS.786,23.0,10.145434432054595
AAA023D18.genome.CDS.795,41.0,22.295369523101012
AAA023D18.genome.CDS.824,13.0,6.6138815022516475
AAA023D18.genome.CDS.827,18.0,35.96872720594316
AAA023D18.genome.CDS.836,24.0,32.10112213003529
AAA023D18.genome.CDS.919,845.0,657.9725306700113
AAA023D18.genome.CDS.920,11.0,12.002722199936441
AAA023D18.genome.CDS.934,435.0,409.92768174576315
AAA023D18.genome.CDS.945,245.0,166.5355345475533
AAA023D18.genome.CDS.952,14.0,68.29356374723196
AAA023D18.genome.CDS.984,11.0,14.253232612424524
AAA023J06.genome.CDS.1023,42.0,86.53345965487775
AAA023J06.genome.CDS.1040,19.0,13.40961768410694
AAA023J06.genome.CDS.1064,13.0,31.248193764261412
AAA023J06.genome.CDS.1139,16.0,7.691863080433579
AAA023J06.genome.CDS.1158,322.0,841.0325488241792
AAA023J06.genome.CDS.1222,202.0,154.03618910213106
AAA023J06.genome.CDS.1235,10.0,16.260372320769513
AAA023J06.genome.CDS.1255,11.0,5.933052924846631
AAA023J06.genome.CDS.1391,72.0,156.0995742793873
AAA023J06.genome.CDS.1392,154.0,118.52340065644894
AAA023J06.genome.CDS.1395,38.0,23.043949950750502
AAA023J06.genome.CDS.1404,11.0,17.130645768923372
AAA023J06.genome.CDS.748,18.0,7.846003569233331
AAA023J06.genome.CDS.757,10.0,5.455782818152928
AAA023J06.genome.CDS.799,14.0,27.15767447258346
AAA023J06.genome.CDS.883,16.0,11.057053178123269
AAA023J06.genome.CDS.896,12.0,34.91701003617874
AAA023J06.genome.CDS.912,44.0,78.89356862228492
AAA023J06.genome.CDS.935,281.0,617.2911145137691
AAA023J06.genome.CDS.940,16.0,14.540782261641558
AAA023J06.genome.CDS.961,16.0,6.4098859003613144
AAA023J06.genome.CDS.974,12.0,37.909896610708344
AAA023J06.genome.CDS.975,18.0,68.62998524352373
AAA023J06.genome.CDS.984,14.0,8.020660336462473
AAA023J06.genome.CDS.986,28.0,26.843712917987123
AAA023J06.genome.CDS.987,12.0,11.504448393423052
AAA023J06.genome.CDS.988,12.0,11.057053178123267
AAA023J06.genome.CDS.992,24.0,29.16145893131411
AAA024D14.genome.CDS.1049,22.0,20.271264159892656
AAA024D14.genome.CDS.1052,24.0,22.616699682524864
AAA024D14.genome.CDS.1061,22.0,24.24470132080185
AAA024D14.genome.CDS.1066,15.0,10.7465959614589
AAA024D14.genome.CDS.1090,12.0,8.691133502454969
AAA024D14.genome.CDS.1091,495.0,189.16732683770795
AAA024D14.genome.CDS.1174,25.0,30.376519720118868
AAA024D14.genome.CDS.1175,10.0,11.975147846342889
AAA024D14.genome.CDS.1181,19.0,16.0778579375772
AAA024D14.genome.CDS.1186,17.0,15.49202505726062
AAA024D14.genome.CDS.1192,14.0,10.389177482800386
AAA024D14.genome.CDS.1196,137.0,120.54240997900962
AAA024D14.genome.CDS.1216,10.0,18.531374041547373
AAA024D14.genome.CDS.1251,12.0,4.772828709981266
AAA024D14.genome.CDS.1276,33.0,38.81731434873062
AAA024D14.genome.CDS.1282,24.0,17.0472768484984
AAA024D14.genome.CDS.1292,18.0,15.349122663718672
AAA024D14.genome.CDS.1317,111.0,70.5363737225105
AAA024D14.genome.CDS.1320,65.0,169.7736511601604
AAA024D14.genome.CDS.1322,166.0,78.4389242550625
AAA024D14.genome.CDS.1323,216.0,180.02438340260997
AAA024D14.genome.CDS.1324,21.0,67.63051943900639
