Model,Genes,Metabolites,Reactions
../models/processedModels/AAA023D18,202,512,340
../models/processedModels/AAA023J06,162,480,331
../models/processedModels/AAA024D14,192,476,334
../models/processedModels/AAA027J17,251,534,383
../models/processedModels/AAA027L06,309,596,458
../models/processedModels/AAA027M14,234,480,346
../models/processedModels/AAA028A23,237,550,403
../models/processedModels/AAA028E20,218,525,367
../models/processedModels/AAA028G02,313,659,535
../models/processedModels/AAA028I14,160,542,371
../models/processedModels/AAA041L13,294,633,521
../models/processedModels/AAA044D11,290,641,485
../models/processedModels/AAA044N04,313,667,547
../models/processedModels/AAA044O16,317,652,500
../models/processedModels/AAA278I18,252,570,406
../models/processedModels/AAA278O22,341,666,528
../models/processedModels/AB141P03,182,434,293
../models/processedModels/acIB-AMD-6,160,363,224
../models/processedModels/acIB-AMD-7,279,489,361
../models/processedModels/BIN_10,284,605,467
../models/processedModels/bin_7_acI-B2,387,632,483
../models/processedModels/MEint1363,262,538,385
../models/processedModels/MEint2297,370,680,553
../models/processedModels/MEint283,217,467,335
../models/processedModels/MEint3864,197,511,339
../models/processedModels/MEint4252,336,675,536
../models/processedModels/MEint885,226,541,361
../models/processedModels/TBepi2057,272,615,487
../models/processedModels/TBepi2754,340,645,539
../models/processedModels/TBepi3207,335,683,542
../models/processedModels/TBepi3475,281,646,497
../models/processedModels/TBepi4208,287,622,471
../models/processedModels/TBhypo2152,241,565,416
../models/processedModels/TBhypo3463,334,670,542
../models/processedModels/TBhypo3838,108,405,261
../models/processedModels/TBhypo680,310,602,484
