	Genes	Metabolites	Reactions	Balanced
AAA023D18	207	526	368	1
AAA023J06	163	495	345	1
AAA024D14	195	492	354	1
AAA027J17	254	548	410	1
AAA027L06	315	610	493	1
AAA027M14	238	494	363	1
AAA028A23	243	563	436	1
AAA028E20	222	539	390	1
AAA028G02	319	677	575	1
AAA028I14	167	558	393	1
AAA041L13	301	647	555	1
AAA044D11	294	655	517	1
AAA044N04	321	682	587	1
AAA044O16	326	667	531	1
AAA278I18	258	584	437	1
AAA278O22	351	680	566	1
AB141P03	182	448	309	1
acIB-AMD-6	170	374	241	1
acIB-AMD-7	288	505	380	1
BIN_10	292	621	501	1
bin_7_acI-B2	399	648	521	1
MEint1363	269	554	415	1
MEint2297	379	693	586	1
MEint283	222	483	358	1
MEint3864	204	526	370	1
MEint4252	345	690	568	1
MEint885	233	557	385	1
TBepi2057	282	628	518	1
TBepi2754	350	659	578	1
TBepi3207	341	699	579	1
TBepi3475	286	659	531	1
TBepi4208	296	636	510	1
TBhypo2152	249	580	451	1
TBhypo3463	341	686	575	1
TBhypo3838	110	419	279	1
TBhypo680	318	617	517	1
