rxn05466_c0;TBhypo3838_CDS_867,
rxn05195_c0;
rxn12848_c0;TBhypo3838_CDS_784,
rxn05160_c0;TBhypo3838_CDS_495,
rxn05535_c0;TBhypo3838_CDS_784,
rxn05651_c0;
rxn05533_c0;TBhypo3838_CDS_784,
rxn05536_c0;TBhypo3838_CDS_784,
rxn05546_c0;TBhypo3838_CDS_784,
rxn05168_c0;TBhypo3838_CDS_745,
rxn05534_c0;TBhypo3838_CDS_784,
rxn05467_c0;
rxn05555_c0;
rxn05644_c0;TBhypo3838_CDS_495,
rxn05618_c0;TBhypo3838_CDS_921,
rxn05206_c0;TBhypo3838_CDS_738,
rxn12849_c0;TBhypo3838_CDS_784,
rxn05545_c0;TBhypo3838_CDS_784,
rxn12851_c0;TBhypo3838_CDS_784,
rxn10473_c0;
rxn05541_c0;TBhypo3838_CDS_784,
rxn05596_c0;TBhypo3838_CDS_475,TBhypo3838_CDS_474,
rxn05543_c0;TBhypo3838_CDS_784,
rxn05537_c0;TBhypo3838_CDS_784,
rxn05167_c0;TBhypo3838_CDS_539,TBhypo3838_CDS_538,
rxn05549_c0;TBhypo3838_CDS_495,
rxn12850_c0;TBhypo3838_CDS_784,
rxn05539_c0;TBhypo3838_CDS_784,
rxn10571_c0;
rxn05544_c0;TBhypo3838_CDS_784,
rxn05145_c0;TBhypo3838_CDS_734,
rxn05538_c0;TBhypo3838_CDS_784,
rxn05179_c0;TBhypo3838_CDS_745,
rxn05667_c0;
rxn05161_c0;TBhypo3838_CDS_745,
rxn05542_c0;TBhypo3838_CDS_784,
rxn05547_c0;TBhypo3838_CDS_784,
rxn05540_c0;TBhypo3838_CDS_784,
rxn05468_c0;
