contig	BIN_10	MEint3864	MEint885
group00000	0	1	0
group00001	1	1	1
group00002	1	1	1
group00003	1	1	1
group00004	1	1	1
group00005	1	0	0
group00006	1	1	0
group00007	1	1	0
group00008	1	0	0
group00009	0	1	0
group00010	1	1	0
group00011	1	1	1
group00012	1	1	1
group00013	1	1	1
group00014	1	1	1
group00015	1	1	1
group00016	1	1	1
group00017	1	1	1
group00018	1	1	1
group00019	1	1	1
group00020	0	1	0
group00021	0	1	1
group00022	1	1	1
group00023	1	0	1
group00024	1	0	1
group00025	1	1	1
group00026	1	0	0
group00027	1	1	1
group00028	1	1	1
group00029	1	1	0
group00030	1	1	1
group00031	1	1	1
group00033	1	1	0
group00034	1	1	0
group00035	1	0	0
group00037	1	0	0
group00040	1	1	1
group00041	1	1	1
group00042	1	0	1
group00043	0	1	0
group00044	1	1	1
group00045	1	0	0
group00046	0	1	1
group00047	1	1	1
group00048	1	1	1
group00049	1	1	1
group00050	1	1	1
group00051	1	0	1
group00052	1	0	0
group00053	1	0	0
group00054	1	1	1
group00055	1	1	1
group00056	1	1	1
group00057	1	1	1
group00059	1	0	1
group00060	1	1	0
group00061	1	0	0
group00062	1	1	1
group00063	1	1	1
group00064	1	1	1
group00065	1	1	1
group00066	1	1	1
group00067	1	1	1
group00068	1	1	1
group00070	1	1	1
group00071	1	1	1
group00072	1	1	1
group00073	1	1	0
group00074	1	0	1
group00075	1	1	1
group00076	1	1	1
group00077	1	1	1
group00078	1	1	1
group00079	1	1	1
group00080	1	1	1
group00081	1	1	1
group00082	1	1	0
group00083	1	0	0
group00084	1	1	1
group00085	1	1	1
group00086	1	1	1
group00088	1	1	0
group00089	1	1	1
group00090	1	1	1
group00091	1	1	1
group00092	1	1	1
group00093	1	1	1
group00094	1	1	1
group00095	1	1	0
group00096	1	1	1
group00097	1	1	1
group00098	1	1	1
group00099	1	1	1
group00100	1	0	1
group00101	1	1	1
group00102	1	0	1
group00104	1	1	1
group00105	1	1	1
group00106	1	1	1
group00107	1	1	0
group00108	1	1	0
group00109	1	1	1
group00110	1	1	1
group00111	1	1	1
group00112	1	1	1
group00113	1	1	1
group00114	1	1	1
group00115	1	1	1
group00116	1	1	1
group00117	1	1	1
group00118	1	1	1
group00119	1	1	1
group00120	1	1	1
group00121	1	0	1
group00122	1	1	1
group00123	1	0	1
group00124	1	1	1
group00125	1	1	1
group00126	1	1	1
group00127	1	1	1
group00128	1	1	1
group00129	1	1	0
group00130	1	1	1
group00131	1	1	1
group00132	1	1	1
group00133	1	1	0
group00134	1	0	1
group00135	1	1	1
group00136	1	1	1
group00138	1	0	0
group00139	1	1	1
group00140	1	1	1
group00141	1	0	1
group00142	1	1	1
group00143	1	1	1
group00144	1	1	1
group00145	1	1	1
group00146	1	1	1
group00147	1	1	1
group00148	1	1	1
group00149	1	1	1
group00150	1	1	0
group00151	1	0	0
group00152	1	1	0
group00153	1	1	1
group00154	1	0	1
group00155	1	1	1
group00156	1	0	1
group00157	1	0	1
group00158	1	0	1
group00159	1	0	1
group00160	1	0	1
group00161	1	0	0
group00162	1	1	1
group00163	1	1	1
group00164	1	1	1
group00165	1	1	1
group00166	1	1	1
group00167	1	1	0
group00168	1	1	0
group00169	1	0	0
group00170	1	1	1
group00171	1	0	0
group00172	1	1	1
group00173	0	1	0
group00174	1	0	1
group00175	0	1	1
group00176	1	0	0
group00177	1	1	1
group00178	1	0	0
group00179	1	1	1
group00180	1	1	1
group00181	1	0	0
group00182	1	0	1
group00184	1	1	1
group00185	1	1	1
group00186	1	1	1
group00187	1	0	0
group00188	1	1	1
group00189	1	1	1
group00190	1	1	0
group00191	1	1	0
group00192	1	1	1
group00193	1	1	1
group00194	1	0	0
group00195	1	1	1
group00196	1	1	1
group00197	1	0	0
group00198	1	1	1
group00199	1	0	1
group00200	1	1	1
group00201	1	0	1
group00202	1	1	1
group00203	1	0	0
group00204	1	0	1
group00205	1	1	1
group00206	1	1	1
