	log2_avg_rpkm
group00000	0.0
group00001	11.928111325
group00002	10.0395655542
group00003	11.4442288542
group00004	10.3736196905
group00005	0.0
group00006	0.0
group00007	11.705245285
group00008	10.4660982418
group00009	0.0
group00010	0.0
group00011	12.7545039509
group00012	9.62241519454
group00013	8.37129973764
group00014	10.4240105168
group00015	7.82438189647
group00016	10.5212242733
group00017	10.8343204803
group00018	10.1671409535
group00019	12.585864857
group00020	0.0
group00021	12.2290195702
group00022	10.4746877674
group00023	8.66113004182
group00024	9.92064168984
group00025	13.9609541877
group00026	0.0
group00027	12.0896544162
group00028	11.2277526878
group00029	10.5073074198
group00030	7.24541058555
group00031	10.0878159512
group00033	0.0
group00034	10.9643907387
group00035	0.0
group00037	8.36325143592
group00040	7.27091929468
group00041	10.0039114054
group00042	8.0483533665
group00043	0.0
group00044	9.16128464669
group00045	0.0
group00046	7.86653933914
group00047	12.3429776621
group00048	9.55461643328
group00049	17.316621002
group00050	8.34091224658
group00051	8.87085078213
group00052	0.0
group00053	0.0
group00054	9.38572864968
group00055	9.1157123044
group00056	8.57852814299
group00057	8.15921716203
group00059	8.8660723539
group00060	0.0
group00061	6.62412510093
group00062	7.48014116042
group00063	8.00900913819
group00064	13.0310232435
group00065	8.83781291283
group00066	7.1977650395
group00067	10.2125784608
group00068	10.8577108661
group00070	7.21605091724
group00071	9.99327454976
group00072	7.71364150338
group00073	0.0
group00074	0.0
group00075	11.6690266282
group00076	10.2208690323
group00077	10.0941508448
group00078	8.7522695533
group00079	9.76806390279
group00080	9.64193797721
group00081	11.6589158844
group00082	0.0
group00083	9.08828992042
group00084	7.61136427554
group00085	7.31004265491
group00086	8.33534063198
group00088	0.0
group00089	13.7721952894
group00090	18.0530585687
group00091	9.10350182584
group00092	11.8728021072
group00093	12.6917393113
group00094	10.8279303302
group00095	0.0
group00096	10.1473247786
group00097	8.3029942694
group00098	8.93331343229
group00099	12.2157003159
group00100	9.89475260005
group00101	8.03904501296
group00102	8.11847500942
group00104	9.48866041034
group00105	7.94012370926
group00106	8.23936737429
group00107	10.2405798224
group00108	8.97618424106
group00109	8.08004604888
group00110	7.9169589934
group00111	6.61826602186
group00112	8.33011661615
group00113	11.7473832063
group00114	8.66745425688
group00115	8.05605162765
group00116	8.36038543878
group00117	7.96470897884
group00118	9.7838568136
group00119	8.33883230265
group00120	9.41837151118
group00121	7.01687727202
group00122	6.81768673978
group00123	9.10771678856
group00124	11.8907664065
group00125	8.16335264025
group00126	9.22318728669
group00127	13.9265257346
group00128	6.66562550487
group00129	0.0
group00130	8.60354313272
group00131	10.1093083174
group00132	6.29457819933
group00133	8.61755471399
group00134	8.56797218189
group00135	8.84567774298
group00136	7.4070165154
group00138	8.89588792424
group00139	7.96029456869
group00140	9.13397990371
group00141	7.65869592853
group00142	8.8667095024
group00143	0.0
group00144	13.4821229803
group00145	7.40787426247
group00146	7.17256353743
group00147	7.54047694028
group00148	8.86847811072
group00149	10.4904016959
group00150	0.0
group00151	0.0
group00152	0.0
group00153	11.4512827368
group00154	8.93970711964
group00155	8.77069105773
group00156	10.451456799
group00157	7.25374835211
group00158	0.0
group00159	9.86094916864
group00160	10.110394683
group00161	0.0
group00162	9.9039781249
group00163	6.70752531442
group00164	13.8353233684
group00165	9.44945950487
group00166	7.41806620786
group00167	11.3278456296
group00168	9.68374020524
group00169	0.0
group00170	7.76158768787
group00171	0.0
group00172	7.80972918717
group00173	9.29600489014
group00174	8.03518299203
group00175	8.94353287775
group00176	0.0
group00177	9.9911273457
group00178	0.0
group00179	12.4042446202
group00180	11.7818178996
group00181	0.0
group00182	6.14974951769
group00184	8.11084957252
group00185	9.15468023971
group00186	7.86684514075
group00187	0.0
group00188	7.24396449222
group00189	10.4453306006
group00190	14.7495228371
group00191	14.2138933495
group00192	8.87462962562
group00193	8.45155520829
group00194	9.17641836876
group00195	14.3045948707
group00196	13.6130051831
group00197	10.2174752602
group00198	9.24564585713
group00199	9.18487649219
group00200	12.3580295331
