id	direction	compartment	gpr	name	enzyme	pathway	reference	equation
rxn12008_c0	<=	c0	TBepi3475.genome.CDS.1734	rxn12008_c0	Unknown	Unknown	None	(1) cpd02557[c0] + (1) cpd00012[c0] <= (1) cpd00113[c0] + (1) cpd02590[c0]
rxn00541_c0	<=>	c0	TBepi3475.genome.CDS.1829	L-Threonine acetaldehyde-lyase_c0	Unknown	Unknown	None	(1) cpd00161[c0] <=> (1) cpd00071[c0] + (1) cpd00033[c0]
rxn01199_c0	<=>	c0	TBepi3475.genome.CDS.1833	ATP:D-xylulose 5-phosphotransferase_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00259[c0] <=> (1) cpd00198[c0] + (1) cpd00008[c0]
rxn10215_c0	=>	c0	(TBepi3475.genome.CDS.1694) or (TBepi3475.genome.CDS.1016)	anteisoheptadecanoyl-1-acylglycerol-3-phosphate O-acyltransferase_c0	Unknown	Unknown	None	(1) cpd15672[c0] + (1) cpd11434[c0] => (1) cpd15678[c0] + (1) cpd00010[c0]
rxn03638_c0	=>	c0	(TBepi3475.genome.CDS.1613) and (TBepi3475.genome.CDS.1613)	Acetyl-CoA:D-glucosamine-1-phosphate N-acetyltransferase_c0	Unknown	Unknown	None	(1) cpd03671[c0] + (1) cpd00022[c0] => (1) cpd00067[c0] + (1) cpd02611[c0] + (1) cpd00010[c0]
rxn06078_c0	=>	c0	(TBepi3475.genome.CDS.1842) or (TBepi3475.genome.CDS.1345) or (TBepi3475.genome.CDS.1245)	O-Acetyl-L-homoserine acetate-lyase (adding methanethiol)_c0	Unknown	Unknown	None	(1) cpd00790[c0] + (1) cpd00268[c0] + (1) cpd11421[c0] => (1) cpd11420[c0] + (1) cpd00135[c0] + (1) cpd00081[c0] + (1) cpd00029[c0]
rxn12636_c0	<=>	c0	(TBepi3475.genome.CDS.1925) or ((TBepi3475.genome.CDS.1324) or (TBepi3475.genome.CDS.1655)) or ((TBepi3475.genome.CDS.1586) or (TBepi3475.genome.CDS.1587))	aminopeptidase_c0	Unknown	Unknown	None	(1) cpd00067[c0] + (1) cpd00001[c0] + (1) cpd11590[c0] <=> (1) cpd00060[c0] + (1) cpd00035[c0]
rxn12644_c0	<=>	c0	((TBepi3475.genome.CDS.1586) or (TBepi3475.genome.CDS.1587)) or (TBepi3475.genome.CDS.1925) or ((TBepi3475.genome.CDS.1324) or (TBepi3475.genome.CDS.1655))	aminopeptidase_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd11582[c0] <=> (1) cpd00161[c0] + (1) cpd00035[c0]
rxn05536_c0	=>	c0	(TBepi3475.genome.CDS.1275) or (TBepi3475.genome.CDS.1357) or (TBepi3475.genome.CDS.1274) or (TBepi3475.genome.CDS.1355)	Dipeptide transport via ABC system (met-ala)_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00001[c0] + (1) cpd11590[e0] => (1) cpd00067[c0] + (1) cpd00009[c0] + (1) cpd00008[c0] + (1) cpd11590[c0]
rxn01387_c0	<=>	c0	TBepi3475.genome.CDS.1113	Isocitrate:NADP+ oxidoreductase (decarboxylating)_c0	Unknown	Unknown	None	(1) cpd00006[c0] + (1) cpd00260[c0] <=> (1) cpd00067[c0] + (1) cpd03187[c0] + (1) cpd00005[c0]
