id	direction	compartment	gpr	name	enzyme	pathway	reference	equation
rxn00541_c0	<=>	c0	acIB-AMD-7.genome.CDS.1264	L-Threonine acetaldehyde-lyase_c0	Unknown	Unknown	None	(1) cpd00161[c0] <=> (1) cpd00071[c0] + (1) cpd00033[c0]
rxn01199_c0	<=>	c0	(acIB-AMD-7.genome.CDS.1115) or (acIB-AMD-7.genome.CDS.1914)	ATP:D-xylulose 5-phosphotransferase_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00259[c0] <=> (1) cpd00198[c0] + (1) cpd00008[c0]
rxn10215_c0	=>	c0	acIB-AMD-7.genome.CDS.1835	anteisoheptadecanoyl-1-acylglycerol-3-phosphate O-acyltransferase_c0	Unknown	Unknown	None	(1) cpd15672[c0] + (1) cpd11434[c0] => (1) cpd15678[c0] + (1) cpd00010[c0]
rxn03638_c0	=>	c0	(acIB-AMD-7.genome.CDS.1848) and (acIB-AMD-7.genome.CDS.1848)	Acetyl-CoA:D-glucosamine-1-phosphate N-acetyltransferase_c0	Unknown	Unknown	None	(1) cpd03671[c0] + (1) cpd00022[c0] => (1) cpd00067[c0] + (1) cpd02611[c0] + (1) cpd00010[c0]
rxn06078_c0	=>	c0	acIB-AMD-7.genome.CDS.1784	O-Acetyl-L-homoserine acetate-lyase (adding methanethiol)_c0	Unknown	Unknown	None	(1) cpd00790[c0] + (1) cpd00268[c0] + (1) cpd11421[c0] => (1) cpd11420[c0] + (1) cpd00135[c0] + (1) cpd00081[c0] + (1) cpd00029[c0]
rxn00868_c0	<=	c0	acIB-AMD-7.genome.CDS.1390	Butanoyl-CoA:(acceptor) 2,3-oxidoreductase_c0	Unknown	Unknown	None	(1) cpd00003[c0] + (1) cpd00120[c0] <= (1) cpd00067[c0] + (1) cpd00650[c0] + (1) cpd00004[c0]
rxn12636_c0	<=>	c0	(acIB-AMD-7.genome.CDS.1750) or (acIB-AMD-7.genome.CDS.742) or (acIB-AMD-7.genome.CDS.1618)	aminopeptidase_c0	Unknown	Unknown	None	(1) cpd00067[c0] + (1) cpd00001[c0] + (1) cpd11590[c0] <=> (1) cpd00060[c0] + (1) cpd00035[c0]
rxn12644_c0	<=>	c0	(acIB-AMD-7.genome.CDS.1750) or (acIB-AMD-7.genome.CDS.742) or (acIB-AMD-7.genome.CDS.1618)	aminopeptidase_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd11582[c0] <=> (1) cpd00161[c0] + (1) cpd00035[c0]
rxn01387_c0	<=>	c0	acIB-AMD-7.genome.CDS.1478	Isocitrate:NADP+ oxidoreductase (decarboxylating)_c0	Unknown	Unknown	None	(1) cpd00006[c0] + (1) cpd00260[c0] <=> (1) cpd00067[c0] + (1) cpd03187[c0] + (1) cpd00005[c0]
rxn05168_c0	=>	c0	(acIB-AMD-7.genome.CDS.1317) or ((acIB-AMD-7.genome.CDS.1438) or (acIB-AMD-7.genome.CDS.1319)) or ((acIB-AMD-7.genome.CDS.1439) or (acIB-AMD-7.genome.CDS.1316)) or ((acIB-AMD-7.genome.CDS.1318) or (acIB-AMD-7.genome.CDS.1437))	L-Valine-ABC transport_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00001[c0] + (1) cpd00156[e0] => (1) cpd00067[c0] + (1) cpd00009[c0] + (1) cpd00008[c0] + (1) cpd00156[c0]
rxn05549_c0	=>	c0	() and ((acIB-AMD-7.genome.CDS.1110) or (acIB-AMD-7.genome.CDS.1706)) and ((acIB-AMD-7.genome.CDS.1707) or (acIB-AMD-7.genome.CDS.1109) or (acIB-AMD-7.genome.CDS.1873)) and ()	Deoxyribose transport via ABC system_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00001[c0] + (1) cpd01242[e0] => (1) cpd00067[c0] + (1) cpd00009[c0] + (1) cpd01242[c0] + (1) cpd00008[c0]
rxn08527_c0	<=>	c0	((acIB-AMD-7.genome.CDS.1046) and (acIB-AMD-7.genome.CDS.1045)) or (acIB-AMD-7.genome.CDS.1045)	fumarate reductase_c0	Unknown	Unknown	None	(1) cpd00106[c0] + (1) cpd15499[c0] <=> (1) cpd00036[c0] + (1) cpd15500[c0]
rxn02212_c0	=>	c0	(acIB-AMD-7.genome.CDS.1363) or (acIB-AMD-7.genome.CDS.1899) or (acIB-AMD-7.genome.CDS.1024)	2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate phosphate-lyase_c0	Unknown	Unknown	None	(1) cpd02857[c0] => (1) cpd00067[c0] + (1) cpd00699[c0] + (1) cpd00009[c0]
rxn03419_c0	<=>	c0	(acIB-AMD-7.genome.CDS.1501) or (acIB-AMD-7.genome.CDS.1346)	Formamidopyrimidine nucleoside triphosphate 7,8-8,9-dihydrolase_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd03518[c0] <=> (1) cpd00067[c0] + (1) cpd03519[c0] + (1) cpd00047[c0]
rxn01923_c0	=>	c0	acIB-AMD-7.genome.CDS.1390	2-Methylpropanoyl-CoA:oxygen 2,3-oxidoreductase_c0	Unknown	Unknown	None	(2) cpd00481[c0] + (1) cpd00007[c0] => (2) cpd02187[c0] + (2) cpd00001[c0]
rxn05734_c0	<=>	c0	(acIB-AMD-7.genome.CDS.1491) or (acIB-AMD-7.genome.CDS.1289) or (acIB-AMD-7.genome.CDS.1489) or (acIB-AMD-7.genome.CDS.1490) or (acIB-AMD-7.genome.CDS.1863) or (acIB-AMD-7.genome.CDS.1290)	aldehyde dehydrogenase (glyoxylate, NAD)_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd00040[c0] + (1) cpd00003[c0] <=> (2) cpd00067[c0] + (1) cpd00180[c0] + (1) cpd00004[c0]
rxn01302_c0	<=>	c0	(acIB-AMD-7.genome.CDS.1975) or (acIB-AMD-7.genome.CDS.1801)	L-Homoserine:NADP+ oxidoreductase_c0	Unknown	Unknown	None	(1) cpd00006[c0] + (1) cpd00227[c0] <=> (1) cpd00067[c0] + (1) cpd00346[c0] + (1) cpd00005[c0]
rxn05422_c0	<=>	c0	(acIB-AMD-7.genome.CDS.1189) or (acIB-AMD-7.genome.CDS.1907) or (acIB-AMD-7.genome.CDS.1861) or (acIB-AMD-7.genome.CDS.1662) or (acIB-AMD-7.genome.CDS.1123)	10-methyl-3-oxo-undecanoyl-ACP:NADP+ oxidoreductase_c0	Unknown	Unknown	None	(1) cpd00067[c0] + (1) cpd11558[c0] + (1) cpd00005[c0] <=> (1) cpd00006[c0] + (1) cpd11559[c0]
rxn01258_c0	<=>	c0	(acIB-AMD-7.genome.CDS.1404) or (acIB-AMD-7.genome.CDS.1404)	Chorismate hydroxymutase_c0	Unknown	Unknown	None	(1) cpd00216[c0] <=> (1) cpd00658[c0]
rxn05229_c0	=>	c0	() and (acIB-AMD-7.genome.CDS.1628)	NCAIR synthetase and NCAIR mutase_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd02140[c0] + (1) cpd00242[c0] => (1) cpd02893[c0] + (1) cpd00067[c0] + (1) cpd00009[c0] + (1) cpd00008[c0]
