id	direction	compartment	gpr	name	enzyme	pathway	reference	equation
rxn12008_c0	<=	c0	(bin_7_acI-B2.genome.CDS.3416) or (bin_7_acI-B2.genome.CDS.2060)	rxn12008_c0	Unknown	Unknown	None	(1) cpd02557[c0] + (1) cpd00012[c0] <= (1) cpd00113[c0] + (1) cpd02590[c0]
rxn10215_c0	=>	c0	(bin_7_acI-B2.genome.CDS.2383) or (bin_7_acI-B2.genome.CDS.3991) or (bin_7_acI-B2.genome.CDS.2262) or (bin_7_acI-B2.genome.CDS.2325)	anteisoheptadecanoyl-1-acylglycerol-3-phosphate O-acyltransferase_c0	Unknown	Unknown	None	(1) cpd15672[c0] + (1) cpd11434[c0] => (1) cpd15678[c0] + (1) cpd00010[c0]
rxn00802_c0	<=>	c0	bin_7_acI-B2.genome.CDS.3690	N-(L-Argininosuccinate) arginie-lyase_c0	Unknown	Unknown	None	(1) cpd02152[c0] <=> (1) cpd00106[c0] + (1) cpd00051[c0]
rxn03638_c0	=>	c0	((bin_7_acI-B2.genome.CDS.2769) or (bin_7_acI-B2.genome.CDS.2730) or (bin_7_acI-B2.genome.CDS.2703) or (bin_7_acI-B2.genome.CDS.2552)) and ((bin_7_acI-B2.genome.CDS.2769) or (bin_7_acI-B2.genome.CDS.2730) or (bin_7_acI-B2.genome.CDS.2703) or (bin_7_acI-B2.genome.CDS.2552))	Acetyl-CoA:D-glucosamine-1-phosphate N-acetyltransferase_c0	Unknown	Unknown	None	(1) cpd03671[c0] + (1) cpd00022[c0] => (1) cpd00067[c0] + (1) cpd02611[c0] + (1) cpd00010[c0]
rxn06078_c0	=>	c0	(bin_7_acI-B2.genome.CDS.2041) or (bin_7_acI-B2.genome.CDS.2721) or (bin_7_acI-B2.genome.CDS.2559) or (bin_7_acI-B2.genome.CDS.2781) or (bin_7_acI-B2.genome.CDS.2025)	O-Acetyl-L-homoserine acetate-lyase (adding methanethiol)_c0	Unknown	Unknown	None	(1) cpd00790[c0] + (1) cpd00268[c0] + (1) cpd11421[c0] => (1) cpd11420[c0] + (1) cpd00135[c0] + (1) cpd00081[c0] + (1) cpd00029[c0]
rxn01675_c0	<=>	c0	bin_7_acI-B2.genome.CDS.3105	dTTP:alpha-D-glucose-1-phosphate thymidylyltransferase_c0	Unknown	Unknown	None	(1) cpd00357[c0] + (1) cpd00089[c0] <=> (1) cpd00626[c0] + (1) cpd00012[c0]
rxn12636_c0	<=>	c0	(bin_7_acI-B2.genome.CDS.2652) or ((bin_7_acI-B2.genome.CDS.3337) or (bin_7_acI-B2.genome.CDS.2800)) or ((bin_7_acI-B2.genome.CDS.2099) or (bin_7_acI-B2.genome.CDS.3041))	aminopeptidase_c0	Unknown	Unknown	None	(1) cpd00067[c0] + (1) cpd00001[c0] + (1) cpd11590[c0] <=> (1) cpd00060[c0] + (1) cpd00035[c0]
rxn12644_c0	<=>	c0	((bin_7_acI-B2.genome.CDS.2099) or (bin_7_acI-B2.genome.CDS.3041)) or (bin_7_acI-B2.genome.CDS.2652) or ((bin_7_acI-B2.genome.CDS.3337) or (bin_7_acI-B2.genome.CDS.2800))	aminopeptidase_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd11582[c0] <=> (1) cpd00161[c0] + (1) cpd00035[c0]
rxn05536_c0	=>	c0	(bin_7_acI-B2.genome.CDS.2135) or ((bin_7_acI-B2.genome.CDS.3355) or (bin_7_acI-B2.genome.CDS.2133)) or ((bin_7_acI-B2.genome.CDS.2136) or (bin_7_acI-B2.genome.CDS.3358)) or (bin_7_acI-B2.genome.CDS.2752)	Dipeptide transport via ABC system (met-ala)_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00001[c0] + (1) cpd11590[e0] => (1) cpd00067[c0] + (1) cpd00009[c0] + (1) cpd00008[c0] + (1) cpd11590[c0]
rxn01387_c0	<=>	c0	bin_7_acI-B2.genome.CDS.2214	Isocitrate:NADP+ oxidoreductase (decarboxylating)_c0	Unknown	Unknown	None	(1) cpd00006[c0] + (1) cpd00260[c0] <=> (1) cpd00067[c0] + (1) cpd03187[c0] + (1) cpd00005[c0]
rxn05168_c0	=>	c0	(bin_7_acI-B2.genome.CDS.3644) or (bin_7_acI-B2.genome.CDS.3646) or (bin_7_acI-B2.genome.CDS.3643) or (bin_7_acI-B2.genome.CDS.3645)	L-Valine-ABC transport_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00001[c0] + (1) cpd00156[e0] => (1) cpd00067[c0] + (1) cpd00009[c0] + (1) cpd00008[c0] + (1) cpd00156[c0]
rxn05544_c0	=>	c0	(bin_7_acI-B2.genome.CDS.2135) or ((bin_7_acI-B2.genome.CDS.3355) or (bin_7_acI-B2.genome.CDS.2133)) or ((bin_7_acI-B2.genome.CDS.2136) or (bin_7_acI-B2.genome.CDS.3358)) or (bin_7_acI-B2.genome.CDS.2752)	Dipeptide transport via ABC system (ala-leu)_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00001[c0] + (1) cpd11583[e0] => (1) cpd00067[c0] + (1) cpd00009[c0] + (1) cpd00008[c0] + (1) cpd11583[c0]
rxn05549_c0	=>	c0	() and (bin_7_acI-B2.genome.CDS.3825) and () and ()	Deoxyribose transport via ABC system_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00001[c0] + (1) cpd01242[e0] => (1) cpd00067[c0] + (1) cpd00009[c0] + (1) cpd01242[c0] + (1) cpd00008[c0]
rxn03910_c0	<=>	c0	bin_7_acI-B2.genome.CDS.2624	2-Phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol_c0	Unknown	Unknown	None	(1) cpd08288[c0] <=> (1) cpd08301[c0] + (1) cpd00046[c0]
rxn05616_c0	<=>	c0	(bin_7_acI-B2.genome.CDS.2983) or (bin_7_acI-B2.genome.CDS.4062) or (bin_7_acI-B2.genome.CDS.3487) or (bin_7_acI-B2.genome.CDS.2468)	magnesium transport in/out via permease (no H+)_c0	Unknown	Unknown	None	(1) cpd00254[c0] <=> (1) cpd00254[e0]
rxn00816_c0	<=>	c0	(bin_7_acI-B2.genome.CDS.2283) or (bin_7_acI-B2.genome.CDS.3577)	Lactose galactohydrolase_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd00208[c0] <=> (1) cpd00027[c0] + (1) cpd00108[c0]
rxn08527_c0	<=>	c0	((bin_7_acI-B2.genome.CDS.3943) and (bin_7_acI-B2.genome.CDS.3942)) or (bin_7_acI-B2.genome.CDS.3942)	fumarate reductase_c0	Unknown	Unknown	None	(1) cpd00106[c0] + (1) cpd15499[c0] <=> (1) cpd00036[c0] + (1) cpd15500[c0]
rxn12848_c0	=>	c0	(bin_7_acI-B2.genome.CDS.2135) or ((bin_7_acI-B2.genome.CDS.3355) or (bin_7_acI-B2.genome.CDS.2133)) or ((bin_7_acI-B2.genome.CDS.2136) or (bin_7_acI-B2.genome.CDS.3358)) or (bin_7_acI-B2.genome.CDS.2752)	Gly-Cys ABC transporters_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd15603[e0] + (1) cpd00001[c0] => (1) cpd15603[c0] + (1) cpd00009[c0] + (1) cpd00008[c0]
rxn05408_c0	<=>	c0	(bin_7_acI-B2.genome.CDS.1784) or (bin_7_acI-B2.genome.CDS.3842)	2-methylpropionyl-CoA:[acyl-carrier-protein] transferase_c0	Unknown	Unknown	None	(1) cpd11493[c0] + (1) cpd00481[c0] <=> (1) cpd00010[c0] + (1) cpd11545[c0]
rxn02160_c0	=>	c0	bin_7_acI-B2.genome.CDS.3224	L-Histidinol-phosphate phosphohydrolase_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd00807[c0] => (1) cpd00641[c0] + (1) cpd00067[c0] + (1) cpd00009[c0]
rxn10125_c0	<=>	c0	(bin_7_acI-B2.genome.CDS.3610) and ((bin_7_acI-B2.genome.CDS.1548) or (bin_7_acI-B2.genome.CDS.3611) or (bin_7_acI-B2.genome.CDS.1549))	NAD(P) transhydrogenase_c0	Unknown	Unknown	None	(2) cpd00067[e0] + (1) cpd00006[c0] + (1) cpd00004[c0] <=> (2) cpd00067[c0] + (1) cpd00003[c0] + (1) cpd00005[c0]
rxn00497_c0	=>	c0	(bin_7_acI-B2.genome.CDS.2337) or (bin_7_acI-B2.genome.CDS.3983)	L-Phenylalanine carboxy-lyase_c0	Unknown	Unknown	None	(1) cpd00067[c0] + (1) cpd00066[c0] => (1) cpd03161[c0] + (1) cpd00011[c0]
rxn00883_c0	=>	c0	(bin_7_acI-B2.genome.CDS.2636) or (bin_7_acI-B2.genome.CDS.2866)	1D-myo-Inositol 3-phosphate phosphahydrolase_c0	Unknown	Unknown	None	(1) cpd02484[c0] + (1) cpd00001[c0] => (1) cpd00121[c0] + (1) cpd00067[c0] + (1) cpd00009[c0]
rxn00248_c0	<=>	c0	bin_7_acI-B2.genome.CDS.2215	(S)-malate:NAD+ oxidoreductase_c0	Unknown	Unknown	None	(1) cpd00130[c0] + (1) cpd00003[c0] <=> (1) cpd00067[c0] + (1) cpd00032[c0] + (1) cpd00004[c0]
rxn05734_c0	<=>	c0	(bin_7_acI-B2.genome.CDS.3127) or (bin_7_acI-B2.genome.CDS.2827) or (bin_7_acI-B2.genome.CDS.2310) or (bin_7_acI-B2.genome.CDS.2582)	aldehyde dehydrogenase (glyoxylate, NAD)_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd00040[c0] + (1) cpd00003[c0] <=> (2) cpd00067[c0] + (1) cpd00180[c0] + (1) cpd00004[c0]
rxn01302_c0	<=>	c0	bin_7_acI-B2.genome.CDS.3260	L-Homoserine:NADP+ oxidoreductase_c0	Unknown	Unknown	None	(1) cpd00006[c0] + (1) cpd00227[c0] <=> (1) cpd00067[c0] + (1) cpd00346[c0] + (1) cpd00005[c0]
rxn05422_c0	<=>	c0	(bin_7_acI-B2.genome.CDS.2575) or (bin_7_acI-B2.genome.CDS.2414) or (bin_7_acI-B2.genome.CDS.3094) or (bin_7_acI-B2.genome.CDS.3678) or (bin_7_acI-B2.genome.CDS.3742) or (bin_7_acI-B2.genome.CDS.2513)	10-methyl-3-oxo-undecanoyl-ACP:NADP+ oxidoreductase_c0	Unknown	Unknown	None	(1) cpd00067[c0] + (1) cpd11558[c0] + (1) cpd00005[c0] <=> (1) cpd00006[c0] + (1) cpd11559[c0]
rxn05448_c0	=>	c0	bin_7_acI-B2.genome.CDS.3679	10-methyl-trans-undec-2-enoyl-ACP:NAD+ oxidoreductase (A-specific)_c0	Unknown	Unknown	None	(1) cpd00067[c0] + (1) cpd00004[c0] + (1) cpd11560[c0] => (1) cpd00003[c0] + (1) cpd11561[c0]
rxn03164_c0	=>	c0	bin_7_acI-B2.genome.CDS.3380	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd02964[c0] + (1) cpd00731[c0] => (1) cpd00067[c0] + (1) cpd00009[c0] + (1) cpd00008[c0] + (1) cpd02968[c0]
rxn00879_c0	<=>	c0	(bin_7_acI-B2.genome.CDS.3824) or (bin_7_acI-B2.genome.CDS.3827) or (bin_7_acI-B2.genome.CDS.3341) or (bin_7_acI-B2.genome.CDS.2198) or (bin_7_acI-B2.genome.CDS.3994)	myo-Inositol:NAD+ 2-oxidoreductase_c0	Unknown	Unknown	None	(1) cpd00121[c0] + (1) cpd00003[c0] <=> (1) cpd00067[c0] + (1) cpd00524[c0] + (1) cpd00004[c0]
rxn01258_c0	<=>	c0	((bin_7_acI-B2.genome.CDS.3413) or (bin_7_acI-B2.genome.CDS.2057)) or ((bin_7_acI-B2.genome.CDS.3413) or (bin_7_acI-B2.genome.CDS.2057))	Chorismate hydroxymutase_c0	Unknown	Unknown	None	(1) cpd00216[c0] <=> (1) cpd00658[c0]
rxn05229_c0	=>	c0	(bin_7_acI-B2.genome.CDS.2793) and (bin_7_acI-B2.genome.CDS.2792)	NCAIR synthetase and NCAIR mutase_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd02140[c0] + (1) cpd00242[c0] => (1) cpd02893[c0] + (1) cpd00067[c0] + (1) cpd00009[c0] + (1) cpd00008[c0]
rxn12637_c0	<=>	c0	((bin_7_acI-B2.genome.CDS.2099) or (bin_7_acI-B2.genome.CDS.3041)) or (bin_7_acI-B2.genome.CDS.2652) or ((bin_7_acI-B2.genome.CDS.3337) or (bin_7_acI-B2.genome.CDS.2800))	aminopeptidase_c0	Unknown	Unknown	None	(1) cpd11589[c0] + (1) cpd00001[c0] <=> (1) cpd00041[c0] + (1) cpd00033[c0]
rxn00902_c0	<=	c0	(bin_7_acI-B2.genome.CDS.2456) or (bin_7_acI-B2.genome.CDS.3848)	3-Carboxy-3-hydroxy-4-methylpentanoate 3-methyl-2-oxobutanoate-lyase_c0	Unknown	Unknown	None	(1) cpd00067[c0] + (1) cpd01646[c0] + (1) cpd00010[c0] <= (1) cpd00123[c0] + (1) cpd00001[c0] + (1) cpd00022[c0]
rxn00952_c0	=>	c0	(bin_7_acI-B2.genome.CDS.2041) or (bin_7_acI-B2.genome.CDS.2721) or (bin_7_acI-B2.genome.CDS.2559) or (bin_7_acI-B2.genome.CDS.2781) or (bin_7_acI-B2.genome.CDS.2025)	O-Acetyl-L-homoserine acetate-lyase (adding methanethiol)_c0	Unknown	Unknown	None	(1) cpd00790[c0] + (1) cpd00239[c0] => (1) cpd00067[c0] + (1) cpd00135[c0] + (1) cpd00029[c0]
rxn00503_c0	<=>	c0	(bin_7_acI-B2.genome.CDS.2426) or (bin_7_acI-B2.genome.CDS.2616)	L-1-Pyrroline-5-carboxylate:NAD+ oxidoreductase_c0	Unknown	Unknown	None	(2) cpd00001[c0] + (1) cpd00003[c0] + (1) cpd02431[c0] <=> (1) cpd00067[c0] + (1) cpd00004[c0] + (1) cpd00023[c0]
rxn03909_c0	=>	c0	(bin_7_acI-B2.genome.CDS.3469) or (bin_7_acI-B2.genome.CDS.2090) or (bin_7_acI-B2.genome.CDS.2370) or (bin_7_acI-B2.genome.CDS.2250)	1-Deoxy-D-xylulose-5-phosphate pyruvate-lyase (carboxylating)_c0	Unknown	Unknown	None	(1) cpd00102[c0] + (1) cpd00067[c0] + (1) cpd00020[c0] => (1) cpd08289[c0] + (1) cpd00011[c0]
rxn05187_c0	=>	c0	() and (bin_7_acI-B2.genome.CDS.3334) and (bin_7_acI-B2.genome.CDS.3333)	Vitamin ABC transport_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00001[c0] + (1) cpd03424[e0] => (1) cpd00067[c0] + (1) cpd00009[c0] + (1) cpd03424[c0] + (1) cpd00008[c0]
rxn05328_c0	<=	c0	bin_7_acI-B2.genome.CDS.3679	Hexadecanoyl-[acyl-carrier protein]:malonyl-CoA_c0	Unknown	Unknown	None	(1) cpd11476[c0] + (1) cpd00003[c0] <= (1) cpd00067[c0] + (1) cpd00004[c0] + (1) cpd11477[c0]
