AAA027M14.genome.CDS.1136,group00380
AAA027M14.genome.CDS.1451,group00665
AAA027M14.genome.CDS.1031,group00018
AAA027M14.genome.CDS.872,group00623
AAA027M14.genome.CDS.873,group00602
AAA027M14.genome.CDS.870,group00775
AAA027M14.genome.CDS.871,group00845
AAA027M14.genome.CDS.876,group00069
AAA027M14.genome.CDS.877,group01053
AAA027M14.genome.CDS.874,group00782
AAA027M14.genome.CDS.875,group01187
AAA027M14.genome.CDS.878,group00264
AAA027M14.genome.CDS.879,group00808
AAA027M14.genome.CDS.1229,group00287
AAA027M14.genome.CDS.1461,group00880
AAA027M14.genome.CDS.899,group01210
AAA027M14.genome.CDS.1463,group00331
AAA027M14.genome.CDS.1462,group00441
AAA027M14.genome.CDS.955,group00448
AAA027M14.genome.CDS.1464,group00332
AAA027M14.genome.CDS.1467,group00249
AAA027M14.genome.CDS.1466,group00471
AAA027M14.genome.CDS.1469,group00218
AAA027M14.genome.CDS.1468,group00407
AAA027M14.genome.CDS.892,group01136
AAA027M14.genome.CDS.893,group01748
AAA027M14.genome.CDS.894,group01122
AAA027M14.genome.CDS.895,group01204
AAA027M14.genome.CDS.896,group00015
AAA027M14.genome.CDS.897,group00510
AAA027M14.genome.CDS.1142,group00779
AAA027M14.genome.CDS.1415,group00657
AAA027M14.genome.CDS.1416,group00299
AAA027M14.genome.CDS.1141,group00269
AAA027M14.genome.CDS.1410,group00394
AAA027M14.genome.CDS.1147,group00046
AAA027M14.genome.CDS.1412,group00257
AAA027M14.genome.CDS.1413,group00381
AAA027M14.genome.CDS.1314,group00850
AAA027M14.genome.CDS.391,group00668
AAA027M14.genome.CDS.390,group01247
AAA027M14.genome.CDS.1418,group00104
AAA027M14.genome.CDS.1419,group00852
AAA027M14.genome.CDS.1384,group00801
AAA027M14.genome.CDS.1450,group00553
AAA027M14.genome.CDS.1386,group00893
AAA027M14.genome.CDS.1387,group00285
AAA027M14.genome.CDS.1380,group00103
AAA027M14.genome.CDS.1068,group00201
AAA027M14.genome.CDS.1382,group00039
AAA027M14.genome.CDS.1383,group00946
AAA027M14.genome.CDS.1065,group00478
AAA027M14.genome.CDS.1064,group01760
AAA027M14.genome.CDS.1067,group00572
AAA027M14.genome.CDS.1066,group01573
AAA027M14.genome.CDS.1388,group00174
AAA027M14.genome.CDS.1060,group00123
AAA027M14.genome.CDS.1063,group01148
AAA027M14.genome.CDS.1062,group01042
AAA027M14.genome.CDS.1220,group00052
AAA027M14.genome.CDS.1269,group01217
AAA027M14.genome.CDS.1541,group02106
AAA027M14.genome.CDS.1167,group00596
AAA027M14.genome.CDS.1205,group00569
AAA027M14.genome.CDS.1204,group00504
AAA027M14.genome.CDS.1368,group00463
AAA027M14.genome.CDS.1369,group00517
AAA027M14.genome.CDS.1201,group01369
AAA027M14.genome.CDS.1200,group01839
AAA027M14.genome.CDS.1203,group00043
AAA027M14.genome.CDS.1202,group00266
AAA027M14.genome.CDS.1362,group00489
AAA027M14.genome.CDS.1363,group00733
AAA027M14.genome.CDS.1360,group01084
AAA027M14.genome.CDS.1361,group00490
AAA027M14.genome.CDS.1209,group03017
