AAA027L06.genome.CDS.1551,group00717
AAA027L06.genome.CDS.1633,group00402
AAA027L06.genome.CDS.1726,group00916
AAA027L06.genome.CDS.1529,group00031
AAA027L06.genome.CDS.1450,group01590
AAA027L06.genome.CDS.1907,group01620
AAA027L06.genome.CDS.2352,group00098
AAA027L06.genome.CDS.1904,group01400
AAA027L06.genome.CDS.2353,group03468
AAA027L06.genome.CDS.2184,group00454
AAA027L06.genome.CDS.2096,group01017
AAA027L06.genome.CDS.1905,group01295
AAA027L06.genome.CDS.2300,group00587
AAA027L06.genome.CDS.1553,group00271
AAA027L06.genome.CDS.2154,group00259
AAA027L06.genome.CDS.1397,group00349
AAA027L06.genome.CDS.2351,group02507
AAA027L06.genome.CDS.672,group01327
AAA027L06.genome.CDS.2155,group01211
AAA027L06.genome.CDS.1555,group00566
AAA027L06.genome.CDS.2357,group00018
AAA027L06.genome.CDS.1557,group00099
AAA027L06.genome.CDS.1871,group00546
AAA027L06.genome.CDS.1796,group00750
AAA027L06.genome.CDS.2019,group00944
AAA027L06.genome.CDS.2303,group01036
AAA027L06.genome.CDS.776,group01399
AAA027L06.genome.CDS.1564,group00407
AAA027L06.genome.CDS.2219,group00749
AAA027L06.genome.CDS.1396,group00378
AAA027L06.genome.CDS.1487,group00446
AAA027L06.genome.CDS.2268,group03459
AAA027L06.genome.CDS.1954,group00115
AAA027L06.genome.CDS.1957,group00061
AAA027L06.genome.CDS.1878,group01013
AAA027L06.genome.CDS.1762,group00434
AAA027L06.genome.CDS.2015,group00558
AAA027L06.genome.CDS.1760,group03432
AAA027L06.genome.CDS.1761,group01208
AAA027L06.genome.CDS.2091,group00216
AAA027L06.genome.CDS.1767,group01214
AAA027L06.genome.CDS.1764,group00707
AAA027L06.genome.CDS.2092,group00409
AAA027L06.genome.CDS.1951,group01004
AAA027L06.genome.CDS.1768,group00957
AAA027L06.genome.CDS.1769,group01202
AAA027L06.genome.CDS.2099,group00893
AAA027L06.genome.CDS.2017,group00755
AAA027L06.genome.CDS.1395,group00300
AAA027L06.genome.CDS.1482,group00466
AAA027L06.genome.CDS.1847,group00846
AAA027L06.genome.CDS.1846,group01518
AAA027L06.genome.CDS.1845,group00772
AAA027L06.genome.CDS.1844,group00601
AAA027L06.genome.CDS.1843,group00040
AAA027L06.genome.CDS.1953,group00172
AAA027L06.genome.CDS.1841,group00120
AAA027L06.genome.CDS.1840,group00335
AAA027L06.genome.CDS.91,group00875
AAA027L06.genome.CDS.1480,group02472
AAA027L06.genome.CDS.1562,group00607
AAA027L06.genome.CDS.1849,group00317
AAA027L06.genome.CDS.1848,group00109
AAA027L06.genome.CDS.2143,group00015
AAA027L06.genome.CDS.2069,group00193
AAA027L06.genome.CDS.139,group02774
AAA027L06.genome.CDS.2306,group00891
AAA027L06.genome.CDS.2147,group00092
AAA027L06.genome.CDS.1856,group00013
AAA027L06.genome.CDS.2145,group00055
AAA027L06.genome.CDS.2144,group00046
