TBepi2754.genome.CDS.2299,group01116
TBepi2754.genome.CDS.2298,group01076
TBepi2754.genome.CDS.2295,group01830
TBepi2754.genome.CDS.2294,group01989
TBepi2754.genome.CDS.2297,group01117
TBepi2754.genome.CDS.2296,group01428
TBepi2754.genome.CDS.2291,group01026
TBepi2754.genome.CDS.2290,group00357
TBepi2754.genome.CDS.2293,group02164
TBepi2754.genome.CDS.2292,group02392
TBepi2754.genome.CDS.174,group00898
TBepi2754.genome.CDS.1719,group01316
TBepi2754.genome.CDS.1718,group01188
TBepi2754.genome.CDS.1711,group00668
TBepi2754.genome.CDS.1710,group01001
TBepi2754.genome.CDS.1713,group01114
TBepi2754.genome.CDS.1712,group01247
TBepi2754.genome.CDS.1715,group01865
TBepi2754.genome.CDS.1714,group00029
TBepi2754.genome.CDS.1717,group00266
TBepi2754.genome.CDS.1716,group00857
TBepi2754.genome.CDS.2109,group00084
TBepi2754.genome.CDS.2108,group00627
TBepi2754.genome.CDS.2105,group00546
TBepi2754.genome.CDS.2104,group00022
TBepi2754.genome.CDS.2107,group00205
TBepi2754.genome.CDS.2106,group00033
TBepi2754.genome.CDS.2101,group00003
TBepi2754.genome.CDS.2100,group00697
TBepi2754.genome.CDS.2103,group01206
TBepi2754.genome.CDS.2102,group00827
TBepi2754.genome.CDS.2725,group01153
TBepi2754.genome.CDS.2724,group00013
TBepi2754.genome.CDS.2727,group01338
TBepi2754.genome.CDS.2726,group01152
TBepi2754.genome.CDS.2721,group00508
TBepi2754.genome.CDS.2720,group00020
TBepi2754.genome.CDS.2723,group02196
TBepi2754.genome.CDS.2722,group01567
TBepi2754.genome.CDS.2729,group00029
TBepi2754.genome.CDS.2728,group00953
TBepi2754.genome.CDS.2611,group00012
TBepi2754.genome.CDS.2610,group01256
TBepi2754.genome.CDS.2613,group01309
TBepi2754.genome.CDS.2612,group01281
TBepi2754.genome.CDS.2615,group00927
TBepi2754.genome.CDS.2614,group03969
TBepi2754.genome.CDS.2617,group00926
TBepi2754.genome.CDS.2616,group01019
TBepi2754.genome.CDS.2619,group02396
TBepi2754.genome.CDS.2618,group00971
TBepi2754.genome.CDS.2439,group02087
TBepi2754.genome.CDS.2438,group01139
TBepi2754.genome.CDS.2431,group00563
TBepi2754.genome.CDS.2430,group00324
TBepi2754.genome.CDS.2433,group00714
TBepi2754.genome.CDS.2435,group00961
TBepi2754.genome.CDS.2434,group00768
TBepi2754.genome.CDS.2437,group00930
TBepi2754.genome.CDS.2436,group00931
TBepi2754.genome.CDS.752,group03956
TBepi2754.genome.CDS.1904,group00997
TBepi2754.genome.CDS.1905,group00803
TBepi2754.genome.CDS.1670,group00004
TBepi2754.genome.CDS.1907,group00242
TBepi2754.genome.CDS.1676,group00491
TBepi2754.genome.CDS.1677,group00291
TBepi2754.genome.CDS.1902,group01516
TBepi2754.genome.CDS.1675,group00379
TBepi2754.genome.CDS.1678,group00080
TBepi2754.genome.CDS.1679,group00364
TBepi2754.genome.CDS.1908,group01025
TBepi2754.genome.CDS.1909,group00024
TBepi2754.genome.CDS.1474,group00293
TBepi2754.genome.CDS.1475,group00144
TBepi2754.genome.CDS.1476,group00377
TBepi2754.genome.CDS.1477,group00498
TBepi2754.genome.CDS.1470,group00858
TBepi2754.genome.CDS.1471,group00313
TBepi2754.genome.CDS.1472,group00659
TBepi2754.genome.CDS.1473,group00314
TBepi2754.genome.CDS.1478,group00360
TBepi2754.genome.CDS.1479,group00332
TBepi2754.genome.CDS.1498,group00296
TBepi2754.genome.CDS.1499,group00412
TBepi2754.genome.CDS.1492,group01503
TBepi2754.genome.CDS.1493,group00526
TBepi2754.genome.CDS.1490,group00553
TBepi2754.genome.CDS.1491,group00965
TBepi2754.genome.CDS.1496,group00252
TBepi2754.genome.CDS.1497,group00366
TBepi2754.genome.CDS.1494,group00799
TBepi2754.genome.CDS.1878,group01335
TBepi2754.genome.CDS.1879,group01348
TBepi2754.genome.CDS.1870,group01486
TBepi2754.genome.CDS.1871,group00897
TBepi2754.genome.CDS.1872,group01502
TBepi2754.genome.CDS.1873,group01655
TBepi2754.genome.CDS.1874,group01651
TBepi2754.genome.CDS.1875,group01595
TBepi2754.genome.CDS.1876,group01462
TBepi2754.genome.CDS.1877,group01726
TBepi2754.genome.CDS.2288,group01168
TBepi2754.genome.CDS.2289,group00482
TBepi2754.genome.CDS.2286,group00545
TBepi2754.genome.CDS.2287,group00621
TBepi2754.genome.CDS.2284,group00999
TBepi2754.genome.CDS.2285,group00363
TBepi2754.genome.CDS.2282,group00284
TBepi2754.genome.CDS.2283,group00382
TBepi2754.genome.CDS.2280,group00202
TBepi2754.genome.CDS.2281,group00306
TBepi2754.genome.CDS.1708,group00730
TBepi2754.genome.CDS.1709,group00590
TBepi2754.genome.CDS.1702,group00183
TBepi2754.genome.CDS.1703,group00606
TBepi2754.genome.CDS.1700,group00133
TBepi2754.genome.CDS.1706,group00176
TBepi2754.genome.CDS.1707,group00784
TBepi2754.genome.CDS.1704,group00461
TBepi2754.genome.CDS.1705,group03973
TBepi2754.genome.CDS.2118,group00779
TBepi2754.genome.CDS.2119,group00269
TBepi2754.genome.CDS.2116,group00779
TBepi2754.genome.CDS.2117,group00995
TBepi2754.genome.CDS.2114,group00118
TBepi2754.genome.CDS.2115,group00119
TBepi2754.genome.CDS.2112,group00193
TBepi2754.genome.CDS.2113,group00015
TBepi2754.genome.CDS.2110,group00086
TBepi2754.genome.CDS.2111,group00188
TBepi2754.genome.CDS.1599,group01147
TBepi2754.genome.CDS.1846,group01010
TBepi2754.genome.CDS.2736,group03972
TBepi2754.genome.CDS.1849,group02268
