Clade,COG,CDS,Total
acI-A,group00000,"AAA023J06.genome.CDS.1227,AAA023J06.genome.CDS.862,AAA027M14.genome.CDS.1561,AAA028E20.genome.CDS.1596,AAA028E20.genome.CDS.1180,AAA028G02.genome.CDS.1677,AAA041L13.genome.CDS.2752,AAA044N04.genome.CDS.1853,AAA044N04.genome.CDS.2563,AAA044O16.genome.CDS.2606,AAA044O16.genome.CDS.2770,AAA278O22.genome.CDS.1772,MEint2297.genome.CDS.2250,MEint2297.genome.CDS.1647,MEint2297.genome.CDS.1810,MEint2297.genome.CDS.2248",10
acI-A,group00001,"AAA023J06.genome.CDS.798,AAA024D14.genome.CDS.945,AAA024D14.genome.CDS.1601,AAA027M14.genome.CDS.1401,AAA028E20.genome.CDS.1655,AAA028E20.genome.CDS.1094,AAA028G02.genome.CDS.1929,AAA028I14.genome.CDS.1418,AAA028I14.genome.CDS.903,AAA041L13.genome.CDS.2349,AAA041L13.genome.CDS.2240,AAA044N04.genome.CDS.1898,AAA044N04.genome.CDS.2449,AAA044O16.genome.CDS.2750,AAA044O16.genome.CDS.2753,AAA278O22.genome.CDS.1734,AAA278O22.genome.CDS.2322,MEint1363.genome.CDS.1040,MEint2297.genome.CDS.1660,MEint2297.genome.CDS.2595",12
acI-A,group00002,"AAA023J06.genome.CDS.799,AAA024D14.genome.CDS.946,AAA024D14.genome.CDS.1037,AAA027M14.genome.CDS.1627,AAA027M14.genome.CDS.982,AAA028E20.genome.CDS.1656,AAA028E20.genome.CDS.956,AAA028G02.genome.CDS.1931,AAA028G02.genome.CDS.2520,AAA028I14.genome.CDS.1417,AAA028I14.genome.CDS.1026,AAA041L13.genome.CDS.2348,AAA041L13.genome.CDS.1654,AAA044N04.genome.CDS.1897,AAA044N04.genome.CDS.2123,AAA044O16.genome.CDS.2487,AAA044O16.genome.CDS.1647,AAA278O22.genome.CDS.2309,MEint1363.genome.CDS.1039,MEint1363.genome.CDS.1031,MEint2297.genome.CDS.2192",45
acI-A,group00003,"AAA023J06.genome.CDS.797,AAA024D14.genome.CDS.944,AAA027M14.genome.CDS.1400,AAA028E20.genome.CDS.1654,AAA028E20.genome.CDS.1521,AAA028G02.genome.CDS.1928,AAA028G02.genome.CDS.1404,AAA028I14.genome.CDS.1419,AAA028I14.genome.CDS.906,AAA041L13.genome.CDS.2350,AAA041L13.genome.CDS.2238,AAA044N04.genome.CDS.1899,AAA044N04.genome.CDS.2451,AAA044O16.genome.CDS.2749,AAA044O16.genome.CDS.2357,AAA278O22.genome.CDS.1737,MEint2297.genome.CDS.2596,MEint2297.genome.CDS.1658",9
acI-A,group00004,"AAA023J06.genome.CDS.1360,AAA024D14.genome.CDS.1271,AAA027M14.genome.CDS.1631,AAA027M14.genome.CDS.1629,AAA028E20.genome.CDS.1711,AAA028G02.genome.CDS.1562,AAA028G02.genome.CDS.2537,AAA028I14.genome.CDS.1116,AAA041L13.genome.CDS.1572,AAA044N04.genome.CDS.2486,AAA044N04.genome.CDS.1306,AAA044O16.genome.CDS.1427,AAA044O16.genome.CDS.1664,AAA044O16.genome.CDS.2050,AAA278O22.genome.CDS.1869,MEint1363.genome.CDS.1358,MEint1363.genome.CDS.1285,MEint2297.genome.CDS.2175,MEint2297.genome.CDS.1707",12
acI-A,group00007,"AAA023J06.genome.CDS.1395,AAA024D14.genome.CDS.1532,AAA027M14.genome.CDS.975,AAA028E20.genome.CDS.1765,AAA028E20.genome.CDS.962,AAA028G02.genome.CDS.1844,AAA028G02.genome.CDS.2526,AAA041L13.genome.CDS.2685,AAA044N04.genome.CDS.1317,AAA044N04.genome.CDS.2036,AAA044O16.genome.CDS.1653,AAA044O16.genome.CDS.2235,AAA278O22.genome.CDS.1709,AAA278O22.genome.CDS.1858,MEint1363.genome.CDS.1296,MEint1363.genome.CDS.1543,MEint2297.genome.CDS.2186",144
acI-A,group00008,"AAA023J06.genome.CDS.786,AAA023J06.genome.CDS.1235,AAA024D14.genome.CDS.933,AAA027M14.genome.CDS.1376,AAA028E20.genome.CDS.1643,AAA028G02.genome.CDS.1916,AAA028G02.genome.CDS.2327,AAA028I14.genome.CDS.1430,AAA028I14.genome.CDS.1592,AAA041L13.genome.CDS.2119,AAA041L13.genome.CDS.1781,AAA044N04.genome.CDS.1910,AAA044N04.genome.CDS.1819,AAA044O16.genome.CDS.1484,AAA278O22.genome.CDS.2245,AAA278O22.genome.CDS.1996,MEint1363.genome.CDS.1878,MEint2297.genome.CDS.2036,MEint2297.genome.CDS.2609,MEint2297.genome.CDS.1422",2
acI-A,group00009,"AAA027M14.genome.CDS.1208,AAA027M14.genome.CDS.1041,AAA028E20.genome.CDS.1193,AAA028G02.genome.CDS.1649,AAA041L13.genome.CDS.1597,AAA041L13.genome.CDS.2598,AAA041L13.genome.CDS.2437,AAA044N04.genome.CDS.2211,AAA044N04.genome.CDS.2180,AAA044O16.genome.CDS.2131,AAA278O22.genome.CDS.1721,MEint1363.genome.CDS.962,MEint2297.genome.CDS.2673,MEint2297.genome.CDS.908",41
acI-A,group00010,"AAA023J06.genome.CDS.1401,AAA023J06.genome.CDS.818,AAA024D14.genome.CDS.1053,AAA027M14.genome.CDS.1006,AAA028E20.genome.CDS.940,AAA028G02.genome.CDS.2503,AAA041L13.genome.CDS.2393,AAA041L13.genome.CDS.1638,AAA044N04.genome.CDS.2544,AAA044N04.genome.CDS.2139,AAA044O16.genome.CDS.1630,AAA278O22.genome.CDS.1377,AAA278O22.genome.CDS.1942,MEint1363.genome.CDS.1015,MEint2297.genome.CDS.1998,MEint2297.genome.CDS.2264",10
acI-A,group00011,"AAA024D14.genome.CDS.1251,AAA027M14.genome.CDS.929,AAA028E20.genome.CDS.1272,AAA028G02.genome.CDS.1621,AAA041L13.genome.CDS.2281,AAA041L13.genome.CDS.2740,AAA044N04.genome.CDS.2244,AAA044O16.genome.CDS.2427,AAA044O16.genome.CDS.1618,AAA278O22.genome.CDS.2269,MEint2297.genome.CDS.1762,MEint2297.genome.CDS.2577",51
