AAA044O16.genome.CDS.1804,group00808
AAA044O16.genome.CDS.1773,group00954
AAA044O16.genome.CDS.1770,group02451
AAA044O16.genome.CDS.1807,group01019
AAA044O16.genome.CDS.1800,group02350
AAA044O16.genome.CDS.1801,group00069
AAA044O16.genome.CDS.1774,group02692
AAA044O16.genome.CDS.1775,group03792
AAA044O16.genome.CDS.2096,group01716
AAA044O16.genome.CDS.2097,group02194
AAA044O16.genome.CDS.2094,group02041
AAA044O16.genome.CDS.2095,group01085
AAA044O16.genome.CDS.2092,group02203
AAA044O16.genome.CDS.2093,group01848
AAA044O16.genome.CDS.2090,group01491
AAA044O16.genome.CDS.2091,group01023
AAA044O16.genome.CDS.2098,group02202
AAA044O16.genome.CDS.2099,group02417
AAA044O16.genome.CDS.2162,group00397
AAA044O16.genome.CDS.2163,group00486
AAA044O16.genome.CDS.2160,group02014
AAA044O16.genome.CDS.2161,group02013
AAA044O16.genome.CDS.2166,group00263
AAA044O16.genome.CDS.2167,group00773
AAA044O16.genome.CDS.2164,group00390
AAA044O16.genome.CDS.2165,group01048
AAA044O16.genome.CDS.2168,group01217
AAA044O16.genome.CDS.2169,group00756
AAA044O16.genome.CDS.2764,group00514
AAA044O16.genome.CDS.2765,group00197
AAA044O16.genome.CDS.2766,group01354
AAA044O16.genome.CDS.2767,group01791
AAA044O16.genome.CDS.2760,group00213
AAA044O16.genome.CDS.2761,group00330
AAA044O16.genome.CDS.2762,group01065
AAA044O16.genome.CDS.2350,group01013
AAA044O16.genome.CDS.2768,group00884
AAA044O16.genome.CDS.2769,group00860
AAA044O16.genome.CDS.2352,group00951
AAA044O16.genome.CDS.2355,group01018
AAA044O16.genome.CDS.2606,group00000
AAA044O16.genome.CDS.2788,group00701
AAA044O16.genome.CDS.2789,group00324
AAA044O16.genome.CDS.2357,group00003
AAA044O16.genome.CDS.2782,group00391
AAA044O16.genome.CDS.2783,group00797
AAA044O16.genome.CDS.2780,group00651
AAA044O16.genome.CDS.2781,group00589
AAA044O16.genome.CDS.2786,group00760
AAA044O16.genome.CDS.2787,group00685
AAA044O16.genome.CDS.2784,group00850
AAA044O16.genome.CDS.2785,group00711
AAA044O16.genome.CDS.2306,group00280
AAA044O16.genome.CDS.2307,group00214
AAA044O16.genome.CDS.2304,group01315
AAA044O16.genome.CDS.2305,group00409
AAA044O16.genome.CDS.2302,group00863
AAA044O16.genome.CDS.2303,group00216
AAA044O16.genome.CDS.2300,group01592
AAA044O16.genome.CDS.2301,group01006
AAA044O16.genome.CDS.2308,group00281
AAA044O16.genome.CDS.2309,group01017
AAA044O16.genome.CDS.2430,group02384
AAA044O16.genome.CDS.2431,group02383
AAA044O16.genome.CDS.2432,group01980
AAA044O16.genome.CDS.2433,group02097
AAA044O16.genome.CDS.2434,group01205
AAA044O16.genome.CDS.2435,group02184
AAA044O16.genome.CDS.2436,group03842
AAA044O16.genome.CDS.2437,group01399
AAA044O16.genome.CDS.2438,group01476
AAA044O16.genome.CDS.2439,group00901
AAA044O16.genome.CDS.2238,group00690
AAA044O16.genome.CDS.2239,group00641
AAA044O16.genome.CDS.2548,group01195
AAA044O16.genome.CDS.2549,group00318
AAA044O16.genome.CDS.2232,group01059
AAA044O16.genome.CDS.2233,group00796
AAA044O16.genome.CDS.2546,group00655
AAA044O16.genome.CDS.2231,group00310
AAA044O16.genome.CDS.2540,group00699
AAA044O16.genome.CDS.2237,group00614
AAA044O16.genome.CDS.2234,group00849
AAA044O16.genome.CDS.2235,group00007
AAA044O16.genome.CDS.1444,group00719
AAA044O16.genome.CDS.1445,group00599
AAA044O16.genome.CDS.1446,group00031
AAA044O16.genome.CDS.1447,group00405
AAA044O16.genome.CDS.1440,group00413
AAA044O16.genome.CDS.1441,group00414
AAA044O16.genome.CDS.1442,group00235
AAA044O16.genome.CDS.1443,group00200
AAA044O16.genome.CDS.1955,group00039
AAA044O16.genome.CDS.1448,group00989
AAA044O16.genome.CDS.1449,group00499
AAA044O16.genome.CDS.1538,group00892
AAA044O16.genome.CDS.1539,group00444
AAA044O16.genome.CDS.1530,group00799
AAA044O16.genome.CDS.1531,group00376
AAA044O16.genome.CDS.1532,group00252
AAA044O16.genome.CDS.1533,group00366
AAA044O16.genome.CDS.1534,group00296
AAA044O16.genome.CDS.1535,group00412
AAA044O16.genome.CDS.1536,group00297
AAA044O16.genome.CDS.1537,group00227
AAA044O16.genome.CDS.1848,group03783
AAA044O16.genome.CDS.1849,group01741
AAA044O16.genome.CDS.1840,group01384
AAA044O16.genome.CDS.1841,group01275
AAA044O16.genome.CDS.1842,group01037
AAA044O16.genome.CDS.1843,group03785
AAA044O16.genome.CDS.1844,group03784
AAA044O16.genome.CDS.1845,group01340
AAA044O16.genome.CDS.1846,group00790
AAA044O16.genome.CDS.1847,group01043
AAA044O16.genome.CDS.2222,group01299
AAA044O16.genome.CDS.2157,group00311
AAA044O16.genome.CDS.2156,group03830
AAA044O16.genome.CDS.2155,group00671
AAA044O16.genome.CDS.2154,group01246
AAA044O16.genome.CDS.2153,group01223
AAA044O16.genome.CDS.2152,group00891
AAA044O16.genome.CDS.2151,group00728
AAA044O16.genome.CDS.2150,group00770
AAA044O16.genome.CDS.2159,group00870
AAA044O16.genome.CDS.2158,group00691
AAA044O16.genome.CDS.2763,group01089
AAA044O16.genome.CDS.2339,group02224
AAA044O16.genome.CDS.2338,group02152
AAA044O16.genome.CDS.2333,group02849
AAA044O16.genome.CDS.2332,group01895
AAA044O16.genome.CDS.2331,group02376
AAA044O16.genome.CDS.2330,group01832
AAA044O16.genome.CDS.2337,group02153
AAA044O16.genome.CDS.2336,group01976
AAA044O16.genome.CDS.2335,group02092
AAA044O16.genome.CDS.2334,group01807
AAA044O16.genome.CDS.2445,group00144
AAA044O16.genome.CDS.2444,group00608
AAA044O16.genome.CDS.2447,group01240
AAA044O16.genome.CDS.2446,group00430
AAA044O16.genome.CDS.2441,group01357
AAA044O16.genome.CDS.2440,group01325
AAA044O16.genome.CDS.2443,group01440
AAA044O16.genome.CDS.2442,group01435
AAA044O16.genome.CDS.2449,group00096
