AAA028E20.genome.CDS.1160,group00126
AAA028E20.genome.CDS.1161,group00013
AAA028E20.genome.CDS.1162,group00186
AAA028E20.genome.CDS.1163,group01270
AAA028E20.genome.CDS.1164,group01753
AAA028E20.genome.CDS.1165,group01591
AAA028E20.genome.CDS.1166,group01331
AAA028E20.genome.CDS.1167,group01740
AAA028E20.genome.CDS.1168,group00598
AAA028E20.genome.CDS.1169,group00939
AAA028E20.genome.CDS.1129,group00714
AAA028E20.genome.CDS.1004,group00752
AAA028E20.genome.CDS.1049,group01189
AAA028E20.genome.CDS.1048,group00175
AAA028E20.genome.CDS.1043,group00092
AAA028E20.genome.CDS.1042,group00093
AAA028E20.genome.CDS.1041,group00055
AAA028E20.genome.CDS.1040,group00046
AAA028E20.genome.CDS.1047,group00091
AAA028E20.genome.CDS.1046,group00198
AAA028E20.genome.CDS.1045,group00419
AAA028E20.genome.CDS.1044,group00148
AAA028E20.genome.CDS.1599,group01308
AAA028E20.genome.CDS.1325,group03861
AAA028E20.genome.CDS.1413,group01742
AAA028E20.genome.CDS.1451,group01319
AAA028E20.genome.CDS.1322,group03864
AAA028E20.genome.CDS.1681,group00981
AAA028E20.genome.CDS.723,group00635
AAA028E20.genome.CDS.1683,group00017
AAA028E20.genome.CDS.1682,group01080
AAA028E20.genome.CDS.1685,group00117
AAA028E20.genome.CDS.1684,group00909
AAA028E20.genome.CDS.1687,group00684
AAA028E20.genome.CDS.1686,group00869
AAA028E20.genome.CDS.1689,group01751
AAA028E20.genome.CDS.1688,group01227
AAA028E20.genome.CDS.728,group00228
AAA028E20.genome.CDS.915,group01053
AAA028E20.genome.CDS.914,group03854
AAA028E20.genome.CDS.917,group00501
AAA028E20.genome.CDS.916,group00264
AAA028E20.genome.CDS.913,group00069
AAA028E20.genome.CDS.1459,group00687
AAA028E20.genome.CDS.72,group01327
AAA028E20.genome.CDS.919,group00990
AAA028E20.genome.CDS.918,group00968
AAA028E20.genome.CDS.1766,group00947
AAA028E20.genome.CDS.1767,group00614
AAA028E20.genome.CDS.1764,group00849
AAA028E20.genome.CDS.1765,group00007
AAA028E20.genome.CDS.1762,group01059
AAA028E20.genome.CDS.1763,group00796
AAA028E20.genome.CDS.1760,group01447
AAA028E20.genome.CDS.1448,group00183
AAA028E20.genome.CDS.1447,group03869
AAA028E20.genome.CDS.1446,group01350
AAA028E20.genome.CDS.1445,group01060
AAA028E20.genome.CDS.1444,group01287
AAA028E20.genome.CDS.1443,group01487
AAA028E20.genome.CDS.1442,group01495
AAA028E20.genome.CDS.1441,group00027
AAA028E20.genome.CDS.1440,group01785
AAA028E20.genome.CDS.960,group01126
AAA028E20.genome.CDS.962,group00007
AAA028E20.genome.CDS.963,group00495
AAA028E20.genome.CDS.964,group00325
AAA028E20.genome.CDS.965,group00006
AAA028E20.genome.CDS.966,group00681
AAA028E20.genome.CDS.967,group00472
AAA028E20.genome.CDS.968,group01677
AAA028E20.genome.CDS.969,group00043
AAA028E20.genome.CDS.1750,group00857
AAA028E20.genome.CDS.1752,group01188
AAA028E20.genome.CDS.1618,group00038
AAA028E20.genome.CDS.1619,group00529
AAA028E20.genome.CDS.1612,group01397
AAA028E20.genome.CDS.1613,group00489
AAA028E20.genome.CDS.1610,group00490
AAA028E20.genome.CDS.1611,group01437
AAA028E20.genome.CDS.1616,group00427
AAA028E20.genome.CDS.1617,group00696
AAA028E20.genome.CDS.1614,group00733
AAA028E20.genome.CDS.1615,group00469
AAA028E20.genome.CDS.978,group00543
AAA028E20.genome.CDS.1512,group00033
AAA028E20.genome.CDS.1517,group00562
AAA028E20.genome.CDS.1348,group00375
AAA028E20.genome.CDS.1349,group00890
AAA028E20.genome.CDS.1221,group00129
AAA028E20.genome.CDS.1220,group00150
AAA028E20.genome.CDS.1227,group00309
AAA028E20.genome.CDS.1226,group00273
AAA028E20.genome.CDS.1225,group00208
AAA028E20.genome.CDS.1224,group00151
AAA028E20.genome.CDS.1340,group01626
AAA028E20.genome.CDS.1341,group02501
AAA028E20.genome.CDS.1229,group00121
AAA028E20.genome.CDS.1228,group00274
AAA028E20.genome.CDS.1344,group00429
AAA028E20.genome.CDS.1345,group00260
AAA028E20.genome.CDS.1346,group00766
AAA028E20.genome.CDS.1347,group00044
AAA028E20.genome.CDS.1832,group00500
AAA028E20.genome.CDS.1833,group00505
AAA028E20.genome.CDS.1830,group01137
AAA028E20.genome.CDS.1831,group01095
AAA028E20.genome.CDS.1836,group00383
AAA028E20.genome.CDS.1837,group00725
AAA028E20.genome.CDS.1834,group00942
AAA028E20.genome.CDS.1835,group00862
AAA028E20.genome.CDS.1838,group00512
AAA028E20.genome.CDS.1537,group00457
AAA028E20.genome.CDS.1536,group02586
AAA028E20.genome.CDS.1535,group03875
AAA028E20.genome.CDS.1534,group02784
AAA028E20.genome.CDS.1533,group03876
AAA028E20.genome.CDS.1532,group03877
AAA028E20.genome.CDS.1531,group00125
AAA028E20.genome.CDS.1530,group00335
AAA028E20.genome.CDS.1250,group00545
AAA028E20.genome.CDS.1539,group00580
AAA028E20.genome.CDS.1538,group00523
AAA028E20.genome.CDS.1087,group00891
AAA028E20.genome.CDS.1086,group01223
AAA028E20.genome.CDS.1085,group01047
AAA028E20.genome.CDS.1084,group02001
AAA028E20.genome.CDS.1128,group01215
AAA028E20.genome.CDS.1082,group01903
AAA028E20.genome.CDS.1081,group00345
AAA028E20.genome.CDS.1080,group00346
AAA028E20.genome.CDS.1124,group00685
AAA028E20.genome.CDS.1125,group00701
AAA028E20.genome.CDS.1126,group00324
AAA028E20.genome.CDS.1127,group00563
AAA028E20.genome.CDS.1120,group00589
AAA028E20.genome.CDS.1121,group00391
AAA028E20.genome.CDS.1122,group00797
AAA028E20.genome.CDS.1088,group00728
AAA028E20.genome.CDS.1102,group01285
AAA028E20.genome.CDS.1408,group00991
AAA028E20.genome.CDS.1391,group00820
AAA028E20.genome.CDS.1159,group00146
AAA028E20.genome.CDS.1158,group00065
AAA028E20.genome.CDS.1012,group00067
AAA028E20.genome.CDS.1013,group03896
AAA028E20.genome.CDS.1014,group01402
AAA028E20.genome.CDS.1015,group01378
AAA028E20.genome.CDS.1016,group01107
AAA028E20.genome.CDS.1017,group00803
AAA028E20.genome.CDS.1403,group00861
AAA028E20.genome.CDS.1402,group00847
AAA028E20.genome.CDS.1401,group00791
AAA028E20.genome.CDS.1400,group00853
AAA028E20.genome.CDS.1155,group00066
AAA028E20.genome.CDS.1154,group00147
AAA028E20.genome.CDS.1157,group00338
AAA028E20.genome.CDS.1404,group00885
AAA028E20.genome.CDS.1769,group00641
AAA028E20.genome.CDS.1490,group00420
AAA028E20.genome.CDS.1558,group01102
AAA028E20.genome.CDS.1680,group00113
AAA028E20.genome.CDS.775,group01454
AAA028E20.genome.CDS.928,group01534
AAA028E20.genome.CDS.929,group01794
AAA028E20.genome.CDS.924,group00554
AAA028E20.genome.CDS.925,group00241
AAA028E20.genome.CDS.926,group00223
AAA028E20.genome.CDS.927,group01123
AAA028E20.genome.CDS.920,group01193
AAA028E20.genome.CDS.921,group01015
AAA028E20.genome.CDS.922,group01748
AAA028E20.genome.CDS.1367,group00590
AAA028E20.genome.CDS.1266,group00721
AAA028E20.genome.CDS.1498,group03872
AAA028E20.genome.CDS.1656,group00002
AAA028E20.genome.CDS.1654,group00003
AAA028E20.genome.CDS.1655,group00001
AAA028E20.genome.CDS.1652,group00520
AAA028E20.genome.CDS.1653,group00549
AAA028E20.genome.CDS.1650,group00517
AAA028E20.genome.CDS.1651,group00463
AAA028E20.genome.CDS.1717,group00085
