AAA044N04.genome.CDS.2453,group01018
AAA044N04.genome.CDS.2580,group00570
AAA044N04.genome.CDS.2581,group00050
AAA044N04.genome.CDS.1362,group01121
AAA044N04.genome.CDS.214,group00909
AAA044N04.genome.CDS.2582,group01081
AAA044N04.genome.CDS.1310,group01149
AAA044N04.genome.CDS.1311,group01123
AAA044N04.genome.CDS.1709,group00416
AAA044N04.genome.CDS.1313,group00006
AAA044N04.genome.CDS.1314,group00006
AAA044N04.genome.CDS.1315,group00325
AAA044N04.genome.CDS.1316,group00495
AAA044N04.genome.CDS.1317,group00007
AAA044N04.genome.CDS.1318,group00316
AAA044N04.genome.CDS.1319,group01126
AAA044N04.genome.CDS.1701,group00969
AAA044N04.genome.CDS.1700,group00451
AAA044N04.genome.CDS.1707,group01067
AAA044N04.genome.CDS.1706,group00802
AAA044N04.genome.CDS.1705,group00034
AAA044N04.genome.CDS.1704,group00421
AAA044N04.genome.CDS.1387,group00198
AAA044N04.genome.CDS.2243,group00636
AAA044N04.genome.CDS.1958,group03537
AAA044N04.genome.CDS.1959,group02626
AAA044N04.genome.CDS.1383,group00434
AAA044N04.genome.CDS.1382,group01208
AAA044N04.genome.CDS.1381,group01209
AAA044N04.genome.CDS.1380,group01382
AAA044N04.genome.CDS.1952,group00528
AAA044N04.genome.CDS.1953,group00418
AAA044N04.genome.CDS.1950,group00739
AAA044N04.genome.CDS.1951,group00417
AAA044N04.genome.CDS.1956,group02754
AAA044N04.genome.CDS.1957,group03538
AAA044N04.genome.CDS.1389,group00148
AAA044N04.genome.CDS.1955,group01133
AAA044N04.genome.CDS.1864,group01284
AAA044N04.genome.CDS.1327,group00234
AAA044N04.genome.CDS.2553,group01583
AAA044N04.genome.CDS.1454,group00012
AAA044N04.genome.CDS.1556,group00286
AAA044N04.genome.CDS.1557,group00250
AAA044N04.genome.CDS.1554,group00437
AAA044N04.genome.CDS.1555,group00245
AAA044N04.genome.CDS.1552,group00240
AAA044N04.genome.CDS.1553,group00225
AAA044N04.genome.CDS.1419,group01107
AAA044N04.genome.CDS.1418,group00803
AAA044N04.genome.CDS.1417,group00997
AAA044N04.genome.CDS.1416,group00473
AAA044N04.genome.CDS.1415,group00648
AAA044N04.genome.CDS.1414,group00809
AAA044N04.genome.CDS.1413,group00694
AAA044N04.genome.CDS.1412,group00604
AAA044N04.genome.CDS.1558,group00219
AAA044N04.genome.CDS.1559,group00160
AAA044N04.genome.CDS.2289,group00656
AAA044N04.genome.CDS.1643,group00485
AAA044N04.genome.CDS.2249,group00340
AAA044N04.genome.CDS.1359,group00259
AAA044N04.genome.CDS.2377,group00070
AAA044N04.genome.CDS.2376,group00054
