id	direction	compartment	gpr	name	enzyme	pathway	reference	equation
rxn12008_c0	<=	c0	AAA044D11.genome.CDS.1362	rxn12008_c0	Unknown	Unknown	None	(1) cpd02557[c0] + (1) cpd00012[c0] <= (1) cpd00113[c0] + (1) cpd02590[c0]
rxn01199_c0	<=>	c0	AAA044D11.genome.CDS.1735	ATP:D-xylulose 5-phosphotransferase_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00259[c0] <=> (1) cpd00198[c0] + (1) cpd00008[c0]
rxn10215_c0	=>	c0	(AAA044D11.genome.CDS.1530) or (AAA044D11.genome.CDS.1512) or (AAA044D11.genome.CDS.1974)	anteisoheptadecanoyl-1-acylglycerol-3-phosphate O-acyltransferase_c0	Unknown	Unknown	None	(1) cpd15672[c0] + (1) cpd11434[c0] => (1) cpd15678[c0] + (1) cpd00010[c0]
rxn00802_c0	<=>	c0	(AAA044D11.genome.CDS.2262) or (AAA044D11.genome.CDS.2338)	N-(L-Argininosuccinate) arginie-lyase_c0	Unknown	Unknown	None	(1) cpd02152[c0] <=> (1) cpd00106[c0] + (1) cpd00051[c0]
rxn06078_c0	=>	c0	AAA044D11.genome.CDS.1716	O-Acetyl-L-homoserine acetate-lyase (adding methanethiol)_c0	Unknown	Unknown	None	(1) cpd00790[c0] + (1) cpd00268[c0] + (1) cpd11421[c0] => (1) cpd11420[c0] + (1) cpd00135[c0] + (1) cpd00081[c0] + (1) cpd00029[c0]
rxn12636_c0	<=>	c0	(AAA044D11.genome.CDS.2050) or (AAA044D11.genome.CDS.1443) or ((AAA044D11.genome.CDS.2264) or (AAA044D11.genome.CDS.1174)) or (AAA044D11.genome.CDS.1787)	aminopeptidase_c0	Unknown	Unknown	None	(1) cpd00067[c0] + (1) cpd00001[c0] + (1) cpd11590[c0] <=> (1) cpd00060[c0] + (1) cpd00035[c0]
rxn12644_c0	<=>	c0	(AAA044D11.genome.CDS.2050) or (AAA044D11.genome.CDS.1787) or (AAA044D11.genome.CDS.1443) or ((AAA044D11.genome.CDS.2264) or (AAA044D11.genome.CDS.1174))	aminopeptidase_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd11582[c0] <=> (1) cpd00161[c0] + (1) cpd00035[c0]
rxn05536_c0	=>	c0	(AAA044D11.genome.CDS.1687) or (AAA044D11.genome.CDS.1685) or ((AAA044D11.genome.CDS.1688) or (AAA044D11.genome.CDS.2045)) or (AAA044D11.genome.CDS.1684)	Dipeptide transport via ABC system (met-ala)_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00001[c0] + (1) cpd11590[e0] => (1) cpd00067[c0] + (1) cpd00009[c0] + (1) cpd00008[c0] + (1) cpd11590[c0]
rxn01387_c0	<=>	c0	AAA044D11.genome.CDS.1197	Isocitrate:NADP+ oxidoreductase (decarboxylating)_c0	Unknown	Unknown	None	(1) cpd00006[c0] + (1) cpd00260[c0] <=> (1) cpd00067[c0] + (1) cpd03187[c0] + (1) cpd00005[c0]
rxn05168_c0	=>	c0	(AAA044D11.genome.CDS.2312) or ((AAA044D11.genome.CDS.1385) or (AAA044D11.genome.CDS.1539)) or ((AAA044D11.genome.CDS.1459) or (AAA044D11.genome.CDS.1383) or (AAA044D11.genome.CDS.1541)) or ((AAA044D11.genome.CDS.1386) or (AAA044D11.genome.CDS.2311) or (AAA044D11.genome.CDS.1538) or (AAA044D11.genome.CDS.1460)) or ((AAA044D11.genome.CDS.1458) or (AAA044D11.genome.CDS.1540) or (AAA044D11.genome.CDS.1384))	L-Valine-ABC transport_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00001[c0] + (1) cpd00156[e0] => (1) cpd00067[c0] + (1) cpd00009[c0] + (1) cpd00008[c0] + (1) cpd00156[c0]
rxn05544_c0	=>	c0	(AAA044D11.genome.CDS.1687) or (AAA044D11.genome.CDS.1685) or ((AAA044D11.genome.CDS.1688) or (AAA044D11.genome.CDS.2045)) or (AAA044D11.genome.CDS.1684)	Dipeptide transport via ABC system (ala-leu)_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00001[c0] + (1) cpd11583[e0] => (1) cpd00067[c0] + (1) cpd00009[c0] + (1) cpd00008[c0] + (1) cpd11583[c0]
rxn05549_c0	=>	c0	() and (AAA044D11.genome.CDS.1389) and ((AAA044D11.genome.CDS.1388) or (AAA044D11.genome.CDS.2290)) and ()	Deoxyribose transport via ABC system_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00001[c0] + (1) cpd01242[e0] => (1) cpd00067[c0] + (1) cpd00009[c0] + (1) cpd01242[c0] + (1) cpd00008[c0]
rxn03910_c0	<=>	c0	AAA044D11.genome.CDS.1221	2-Phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol_c0	Unknown	Unknown	None	(1) cpd08288[c0] <=> (1) cpd08301[c0] + (1) cpd00046[c0]
rxn02345_c0	<=>	c0	AAA044D11.genome.CDS.1495	(S)-3-Hydroxybutanoyl-CoA 3-epimerase_c0	Unknown	Unknown	None	(1) cpd00842[c0] <=> (1) cpd02234[c0]
rxn12848_c0	=>	c0	(AAA044D11.genome.CDS.1687) or (AAA044D11.genome.CDS.1685) or ((AAA044D11.genome.CDS.1688) or (AAA044D11.genome.CDS.2045)) or (AAA044D11.genome.CDS.1684)	Gly-Cys ABC transporters_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd15603[e0] + (1) cpd00001[c0] => (1) cpd15603[c0] + (1) cpd00009[c0] + (1) cpd00008[c0]
rxn03419_c0	<=>	c0	AAA044D11.genome.CDS.1308	Formamidopyrimidine nucleoside triphosphate 7,8-8,9-dihydrolase_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd03518[c0] <=> (1) cpd00067[c0] + (1) cpd03519[c0] + (1) cpd00047[c0]
rxn05408_c0	<=>	c0	AAA044D11.genome.CDS.2007	2-methylpropionyl-CoA:[acyl-carrier-protein] transferase_c0	Unknown	Unknown	None	(1) cpd11493[c0] + (1) cpd00481[c0] <=> (1) cpd00010[c0] + (1) cpd11545[c0]
rxn10125_c0	<=>	c0	(AAA044D11.genome.CDS.2204) and ((AAA044D11.genome.CDS.2203) or (AAA044D11.genome.CDS.2202))	NAD(P) transhydrogenase_c0	Unknown	Unknown	None	(2) cpd00067[e0] + (1) cpd00006[c0] + (1) cpd00004[c0] <=> (2) cpd00067[c0] + (1) cpd00003[c0] + (1) cpd00005[c0]
rxn00883_c0	=>	c0	AAA044D11.genome.CDS.1725	1D-myo-Inositol 3-phosphate phosphahydrolase_c0	Unknown	Unknown	None	(1) cpd02484[c0] + (1) cpd00001[c0] => (1) cpd00121[c0] + (1) cpd00067[c0] + (1) cpd00009[c0]
rxn00248_c0	<=>	c0	AAA044D11.genome.CDS.1198	(S)-malate:NAD+ oxidoreductase_c0	Unknown	Unknown	None	(1) cpd00130[c0] + (1) cpd00003[c0] <=> (1) cpd00067[c0] + (1) cpd00032[c0] + (1) cpd00004[c0]
rxn05734_c0	<=>	c0	(AAA044D11.genome.CDS.1192) or (AAA044D11.genome.CDS.1191) or (AAA044D11.genome.CDS.1671)	aldehyde dehydrogenase (glyoxylate, NAD)_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd00040[c0] + (1) cpd00003[c0] <=> (2) cpd00067[c0] + (1) cpd00180[c0] + (1) cpd00004[c0]
rxn01302_c0	<=>	c0	AAA044D11.genome.CDS.2182	L-Homoserine:NADP+ oxidoreductase_c0	Unknown	Unknown	None	(1) cpd00006[c0] + (1) cpd00227[c0] <=> (1) cpd00067[c0] + (1) cpd00346[c0] + (1) cpd00005[c0]
rxn05422_c0	<=>	c0	(AAA044D11.genome.CDS.2161) or (AAA044D11.genome.CDS.2069) or (AAA044D11.genome.CDS.1957) or (AAA044D11.genome.CDS.1379) or (AAA044D11.genome.CDS.2029) or (AAA044D11.genome.CDS.2164) or (AAA044D11.genome.CDS.1580) or (AAA044D11.genome.CDS.2149) or (AAA044D11.genome.CDS.2018) or (AAA044D11.genome.CDS.1576)	10-methyl-3-oxo-undecanoyl-ACP:NADP+ oxidoreductase_c0	Unknown	Unknown	None	(1) cpd00067[c0] + (1) cpd11558[c0] + (1) cpd00005[c0] <=> (1) cpd00006[c0] + (1) cpd11559[c0]
rxn05448_c0	=>	c0	AAA044D11.genome.CDS.1958	10-methyl-trans-undec-2-enoyl-ACP:NAD+ oxidoreductase (A-specific)_c0	Unknown	Unknown	None	(1) cpd00067[c0] + (1) cpd00004[c0] + (1) cpd11560[c0] => (1) cpd00003[c0] + (1) cpd11561[c0]
rxn00879_c0	<=>	c0	(AAA044D11.genome.CDS.842) or (AAA044D11.genome.CDS.1619) or (AAA044D11.genome.CDS.1620)	myo-Inositol:NAD+ 2-oxidoreductase_c0	Unknown	Unknown	None	(1) cpd00121[c0] + (1) cpd00003[c0] <=> (1) cpd00067[c0] + (1) cpd00524[c0] + (1) cpd00004[c0]
rxn01258_c0	<=>	c0	(AAA044D11.genome.CDS.1345) or (AAA044D11.genome.CDS.1345)	Chorismate hydroxymutase_c0	Unknown	Unknown	None	(1) cpd00216[c0] <=> (1) cpd00658[c0]
rxn05229_c0	=>	c0	(AAA044D11.genome.CDS.1183) and (AAA044D11.genome.CDS.1184)	NCAIR synthetase and NCAIR mutase_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd02140[c0] + (1) cpd00242[c0] => (1) cpd02893[c0] + (1) cpd00067[c0] + (1) cpd00009[c0] + (1) cpd00008[c0]
rxn12637_c0	<=>	c0	(AAA044D11.genome.CDS.2050) or (AAA044D11.genome.CDS.1787) or (AAA044D11.genome.CDS.1443) or ((AAA044D11.genome.CDS.2264) or (AAA044D11.genome.CDS.1174))	aminopeptidase_c0	Unknown	Unknown	None	(1) cpd11589[c0] + (1) cpd00001[c0] <=> (1) cpd00041[c0] + (1) cpd00033[c0]
