,AAA023D18,AAA023J06,AAA024D14,AAA027J17,AAA027L06,AAA027M14,AAA028A23,AAA028E20,AAA028G02,AAA028I14,AAA041L13,AAA044D11,AAA044N04,AAA044O16,AAA278I18,AAA278O22,AB141P03,BIN_10,MEint1363,MEint2297,MEint283,MEint3864,MEint4252,MEint885,TBepi2057,TBepi2754,TBepi3207,TBepi3475,TBepi4208,TBhypo2152,TBhypo3463,TBhypo3838,TBhypo680,acIB-AMD-6,acIB-AMD-7,bin_7_acI-B2
group00000,AAA023D18.genome.CDS.1002;AAA023D18.genome.CDS.925;AAA023D18.genome.CDS.939,AAA023J06.genome.CDS.1227;AAA023J06.genome.CDS.862,,AAA027J17.genome.CDS.1709,AAA027L06.genome.CDS.1987;AAA027L06.genome.CDS.1684;AAA027L06.genome.CDS.1918,AAA027M14.genome.CDS.1561,,AAA028E20.genome.CDS.1596;AAA028E20.genome.CDS.1180,AAA028G02.genome.CDS.1677,,AAA041L13.genome.CDS.2752,AAA044D11.genome.CDS.2161;AAA044D11.genome.CDS.2057;AAA044D11.genome.CDS.1520;AAA044D11.genome.CDS.2307,AAA044N04.genome.CDS.1853;AAA044N04.genome.CDS.2563,AAA044O16.genome.CDS.2606;AAA044O16.genome.CDS.2770,AAA278I18.genome.CDS.1252,AAA278O22.genome.CDS.1772,AB141P03.genome.CDS.1275,,,MEint2297.genome.CDS.2250;MEint2297.genome.CDS.1647;MEint2297.genome.CDS.1810;MEint2297.genome.CDS.2248,,MEint3864.genome.CDS.1418,MEint4252.genome.CDS.1223;MEint4252.genome.CDS.1856;MEint4252.genome.CDS.1868,,,TBepi2754.genome.CDS.2370,TBepi3207.genome.CDS.1976,,TBepi4208.genome.CDS.1706;TBepi4208.genome.CDS.1552,TBhypo2152.genome.CDS.1319,TBhypo3463.genome.CDS.1590,,TBhypo680.genome.CDS.2286,,acIB-AMD-7.genome.CDS.1123;acIB-AMD-7.genome.CDS.1663,
group00001,AAA023D18.genome.CDS.800,AAA023J06.genome.CDS.798,AAA024D14.genome.CDS.945;AAA024D14.genome.CDS.1601,AAA027J17.genome.CDS.1551,AAA027L06.genome.CDS.1322;AAA027L06.genome.CDS.2067,AAA027M14.genome.CDS.1401,AAA028A23.genome.CDS.1537,AAA028E20.genome.CDS.1655;AAA028E20.genome.CDS.1094,AAA028G02.genome.CDS.1929,AAA028I14.genome.CDS.1418;AAA028I14.genome.CDS.903,AAA041L13.genome.CDS.2349;AAA041L13.genome.CDS.2240,AAA044D11.genome.CDS.1852;AAA044D11.genome.CDS.1722,AAA044N04.genome.CDS.1898;AAA044N04.genome.CDS.2449,AAA044O16.genome.CDS.2750;AAA044O16.genome.CDS.2753,AAA278I18.genome.CDS.1362;AAA278I18.genome.CDS.1297,AAA278O22.genome.CDS.1734;AAA278O22.genome.CDS.2322,AB141P03.genome.CDS.1136;AB141P03.genome.CDS.1174,BIN_10.genome.CDS.445;BIN_10.genome.CDS.1333,MEint1363.genome.CDS.1040,MEint2297.genome.CDS.1660;MEint2297.genome.CDS.2595,,MEint3864.genome.CDS.854,MEint4252.genome.CDS.2115;MEint4252.genome.CDS.2204,MEint885.genome.CDS.1126;MEint885.genome.CDS.1056,TBepi2057.genome.CDS.1120;TBepi2057.genome.CDS.1242,TBepi2754.genome.CDS.1443;TBepi2754.genome.CDS.2169,TBepi3207.genome.CDS.2270;TBepi3207.genome.CDS.1589,TBepi3475.genome.CDS.1251,TBepi4208.genome.CDS.1504;TBepi4208.genome.CDS.1505;TBepi4208.genome.CDS.1105,TBhypo2152.genome.CDS.1824;TBhypo2152.genome.CDS.1427;TBhypo2152.genome.CDS.1823,TBhypo3463.genome.CDS.1408;TBhypo3463.genome.CDS.1621,,TBhypo680.genome.CDS.2623;TBhypo680.genome.CDS.1710,acIB-AMD-6.genome.CDS.1041,acIB-AMD-7.genome.CDS.1777,bin_7_acI-B2.genome.CDS.2632;bin_7_acI-B2.genome.CDS.2862
group00002,AAA023D18.genome.CDS.797;AAA023D18.genome.CDS.1182,AAA023J06.genome.CDS.799,AAA024D14.genome.CDS.946;AAA024D14.genome.CDS.1037,AAA027J17.genome.CDS.1550,AAA027L06.genome.CDS.1323;AAA027L06.genome.CDS.1786,AAA027M14.genome.CDS.1627;AAA027M14.genome.CDS.982,AAA028A23.genome.CDS.1492;AAA028A23.genome.CDS.1031,AAA028E20.genome.CDS.1656;AAA028E20.genome.CDS.956,AAA028G02.genome.CDS.1931;AAA028G02.genome.CDS.2520,AAA028I14.genome.CDS.1417;AAA028I14.genome.CDS.1026,AAA041L13.genome.CDS.2348;AAA041L13.genome.CDS.1654,AAA044D11.genome.CDS.1851,AAA044N04.genome.CDS.1897;AAA044N04.genome.CDS.2123,AAA044O16.genome.CDS.2487;AAA044O16.genome.CDS.1647,AAA278I18.genome.CDS.1361,AAA278O22.genome.CDS.2309,AB141P03.genome.CDS.1137;AB141P03.genome.CDS.1100,BIN_10.genome.CDS.1334;BIN_10.genome.CDS.1600,MEint1363.genome.CDS.1039;MEint1363.genome.CDS.1031,MEint2297.genome.CDS.2192,MEint283.genome.CDS.981,MEint3864.genome.CDS.914,MEint4252.genome.CDS.2114;MEint4252.genome.CDS.1613,MEint885.genome.CDS.1289,TBepi2057.genome.CDS.1026;TBepi2057.genome.CDS.1920;TBepi2057.genome.CDS.1121,TBepi2754.genome.CDS.1441;TBepi2754.genome.CDS.1627,TBepi3207.genome.CDS.2271;TBepi3207.genome.CDS.2423,TBepi3475.genome.CDS.1165,TBepi4208.genome.CDS.1763,TBhypo2152.genome.CDS.1825;TBhypo2152.genome.CDS.1418,TBhypo3463.genome.CDS.1409;TBhypo3463.genome.CDS.1750,,TBhypo680.genome.CDS.2082;TBhypo680.genome.CDS.1315,,,
group00003,AAA023D18.genome.CDS.801,AAA023J06.genome.CDS.797,AAA024D14.genome.CDS.944,AAA027J17.genome.CDS.1552,AAA027L06.genome.CDS.1321;AAA027L06.genome.CDS.1867,AAA027M14.genome.CDS.1400,AAA028A23.genome.CDS.1538,AAA028E20.genome.CDS.1654;AAA028E20.genome.CDS.1521,AAA028G02.genome.CDS.1928;AAA028G02.genome.CDS.1404,AAA028I14.genome.CDS.1419;AAA028I14.genome.CDS.906,AAA041L13.genome.CDS.2350;AAA041L13.genome.CDS.2238,AAA044D11.genome.CDS.1853;AAA044D11.genome.CDS.1720,AAA044N04.genome.CDS.1899;AAA044N04.genome.CDS.2451,AAA044O16.genome.CDS.2749;AAA044O16.genome.CDS.2357,AAA278I18.genome.CDS.1363;AAA278I18.genome.CDS.1295,AAA278O22.genome.CDS.1737,AB141P03.genome.CDS.1135;AB141P03.genome.CDS.1265,BIN_10.genome.CDS.1552,,MEint2297.genome.CDS.2596;MEint2297.genome.CDS.1658,MEint283.genome.CDS.1479,MEint3864.genome.CDS.1004;MEint3864.genome.CDS.853,MEint4252.genome.CDS.2203;MEint4252.genome.CDS.2067,MEint885.genome.CDS.1127,TBepi2057.genome.CDS.1119;TBepi2057.genome.CDS.1241;TBepi2057.genome.CDS.1762,TBepi2754.genome.CDS.2101,TBepi3207.genome.CDS.2269;TBepi3207.genome.CDS.1306,TBepi3475.genome.CDS.1250,TBepi4208.genome.CDS.1503;TBepi4208.genome.CDS.1104,TBhypo2152.genome.CDS.1822;TBhypo2152.genome.CDS.1428,TBhypo3463.genome.CDS.1407;TBhypo3463.genome.CDS.1620,TBhypo3838.genome.CDS.900,TBhypo680.genome.CDS.2622;TBhypo680.genome.CDS.1712,acIB-AMD-6.genome.CDS.1043,acIB-AMD-7.genome.CDS.1779,bin_7_acI-B2.genome.CDS.3940;bin_7_acI-B2.genome.CDS.2631
group00004,AAA023D18.genome.CDS.1073;AAA023D18.genome.CDS.1195,AAA023J06.genome.CDS.1360,AAA024D14.genome.CDS.1271,AAA027J17.genome.CDS.1948,AAA027L06.genome.CDS.1464;AAA027L06.genome.CDS.531,AAA027M14.genome.CDS.1631;AAA027M14.genome.CDS.1629,AAA028A23.genome.CDS.1611;AAA028A23.genome.CDS.1044,AAA028E20.genome.CDS.1711,AAA028G02.genome.CDS.1562;AAA028G02.genome.CDS.2537,AAA028I14.genome.CDS.1116,AAA041L13.genome.CDS.1572,AAA044D11.genome.CDS.1540;AAA044D11.genome.CDS.1458;AAA044D11.genome.CDS.1384,AAA044N04.genome.CDS.2486;AAA044N04.genome.CDS.1306,AAA044O16.genome.CDS.1427;AAA044O16.genome.CDS.1664;AAA044O16.genome.CDS.2050,AAA278I18.genome.CDS.1130,AAA278O22.genome.CDS.1869,,BIN_10.genome.CDS.1906,MEint1363.genome.CDS.1358;MEint1363.genome.CDS.1285,MEint2297.genome.CDS.2175;MEint2297.genome.CDS.1707,MEint283.genome.CDS.231,MEint3864.genome.CDS.1570,MEint4252.genome.CDS.1241;MEint4252.genome.CDS.1648;MEint4252.genome.CDS.1368;MEint4252.genome.CDS.1310;MEint4252.genome.CDS.2246,MEint885.genome.CDS.1395,TBepi2057.genome.CDS.1509,TBepi2754.genome.CDS.1670;TBepi2754.genome.CDS.2686;TBepi2754.genome.CDS.1742;TBepi2754.genome.CDS.2684,TBepi3207.genome.CDS.2127,TBepi3475.genome.CDS.1144,TBepi4208.genome.CDS.1144;TBepi4208.genome.CDS.1231,TBhypo2152.genome.CDS.1454,TBhypo3463.genome.CDS.1567,,TBhypo680.genome.CDS.2063;TBhypo680.genome.CDS.2546;TBhypo680.genome.CDS.2159,,acIB-AMD-7.genome.CDS.1318;acIB-AMD-7.genome.CDS.1437,bin_7_acI-B2.genome.CDS.3645
group00005,AAA023D18.genome.CDS.1161,AAA023J06.genome.CDS.882;AAA023J06.genome.CDS.1172,AAA024D14.genome.CDS.1545;AAA024D14.genome.CDS.1194,AAA027J17.genome.CDS.1002,AAA027L06.genome.CDS.1204,,AAA028A23.genome.CDS.1011,,AAA028G02.genome.CDS.2496,,AAA041L13.genome.CDS.2006;AAA041L13.genome.CDS.1628,AAA044D11.genome.CDS.1191,AAA044N04.genome.CDS.2149;AAA044N04.genome.CDS.1372;AAA044N04.genome.CDS.1459,AAA044O16.genome.CDS.1623,AAA278I18.genome.CDS.1814,AAA278O22.genome.CDS.1748,AB141P03.genome.CDS.1120,BIN_10.genome.CDS.1629,MEint1363.genome.CDS.1005;MEint1363.genome.CDS.996;MEint1363.genome.CDS.1198,MEint2297.genome.CDS.2213,MEint283.genome.CDS.1173,,,,,TBepi2754.genome.CDS.1869;TBepi2754.genome.CDS.1952,TBepi3207.genome.CDS.2331;TBepi3207.genome.CDS.1740,TBepi3475.genome.CDS.1053,TBepi4208.genome.CDS.1791,,TBhypo3463.genome.CDS.1794;TBhypo3463.genome.CDS.1890;TBhypo3463.genome.CDS.1918,,TBhypo680.genome.CDS.2052;TBhypo680.genome.CDS.2399,acIB-AMD-6.genome.CDS.582,acIB-AMD-7.genome.CDS.1290;acIB-AMD-7.genome.CDS.1490,bin_7_acI-B2.genome.CDS.2310;bin_7_acI-B2.genome.CDS.2827
group00006,AAA023D18.genome.CDS.1188,AAA023J06.genome.CDS.1341;AAA023J06.genome.CDS.1340,,AAA027J17.genome.CDS.964,AAA027L06.genome.CDS.1754;AAA027L06.genome.CDS.2287,AAA027M14.genome.CDS.1638;AAA027M14.genome.CDS.1639,AAA028A23.genome.CDS.194,AAA028E20.genome.CDS.937;AAA028E20.genome.CDS.965,AAA028G02.genome.CDS.2530;AAA028G02.genome.CDS.2529,,,AAA044D11.genome.CDS.1465,AAA044N04.genome.CDS.1313;AAA044N04.genome.CDS.1314,AAA044O16.genome.CDS.1657;AAA044O16.genome.CDS.1656,,AAA278O22.genome.CDS.1862;AAA278O22.genome.CDS.1861,AB141P03.genome.CDS.1304,BIN_10.genome.CDS.1980;BIN_10.genome.CDS.1979,MEint1363.genome.CDS.1293;MEint1363.genome.CDS.1292,MEint2297.genome.CDS.2182;MEint2297.genome.CDS.2183,MEint283.genome.CDS.987,MEint3864.genome.CDS.924;MEint3864.genome.CDS.925,MEint4252.genome.CDS.1641,,TBepi2057.genome.CDS.1769,TBepi2754.genome.CDS.1735,TBepi3207.genome.CDS.1612,,TBepi4208.genome.CDS.1238,TBhypo2152.genome.CDS.1470,TBhypo3463.genome.CDS.1581,,TBhypo680.genome.CDS.2167,,acIB-AMD-7.genome.CDS.1444,bin_7_acI-B2.genome.CDS.2540;bin_7_acI-B2.genome.CDS.2713
group00007,AAA023D18.genome.CDS.1185;AAA023D18.genome.CDS.1252,AAA023J06.genome.CDS.1395,AAA024D14.genome.CDS.1532,AAA027J17.genome.CDS.1384,AAA027L06.genome.CDS.1757,AAA027M14.genome.CDS.975,AAA028A23.genome.CDS.1034;AAA028A23.genome.CDS.1316,AAA028E20.genome.CDS.1765;AAA028E20.genome.CDS.962,AAA028G02.genome.CDS.1844;AAA028G02.genome.CDS.2526,,AAA041L13.genome.CDS.2685,AAA044D11.genome.CDS.1963,AAA044N04.genome.CDS.1317;AAA044N04.genome.CDS.2036,AAA044O16.genome.CDS.1653;AAA044O16.genome.CDS.2235,AAA278I18.genome.CDS.1643,AAA278O22.genome.CDS.1709;AAA278O22.genome.CDS.1858,AB141P03.genome.CDS.1097;AB141P03.genome.CDS.694,BIN_10.genome.CDS.1810;BIN_10.genome.CDS.1976,MEint1363.genome.CDS.1296;MEint1363.genome.CDS.1543,MEint2297.genome.CDS.2186,MEint283.genome.CDS.984,MEint3864.genome.CDS.921,MEint4252.genome.CDS.1638;MEint4252.genome.CDS.1756,,TBepi2057.genome.CDS.1087;TBepi2057.genome.CDS.1765,TBepi2754.genome.CDS.1633;TBepi2754.genome.CDS.1733,TBepi3207.genome.CDS.1610;TBepi3207.genome.CDS.2429,TBepi3475.genome.CDS.164,TBepi4208.genome.CDS.1241,TBhypo2152.genome.CDS.1467;TBhypo2152.genome.CDS.1631,TBhypo3463.genome.CDS.1579,TBhypo3838.genome.CDS.617,TBhypo680.genome.CDS.1309;TBhypo680.genome.CDS.2169,acIB-AMD-6.genome.CDS.916,,bin_7_acI-B2.genome.CDS.2542;bin_7_acI-B2.genome.CDS.2715
group00008,AAA023D18.genome.CDS.812,AAA023J06.genome.CDS.786;AAA023J06.genome.CDS.1235,AAA024D14.genome.CDS.933,AAA027J17.genome.CDS.1563,AAA027L06.genome.CDS.1307;AAA027L06.genome.CDS.1485,AAA027M14.genome.CDS.1376,AAA028A23.genome.CDS.1531;AAA028A23.genome.CDS.923,AAA028E20.genome.CDS.1643,AAA028G02.genome.CDS.1916;AAA028G02.genome.CDS.2327,AAA028I14.genome.CDS.1430;AAA028I14.genome.CDS.1592,AAA041L13.genome.CDS.2119;AAA041L13.genome.CDS.1781,AAA044D11.genome.CDS.1865;AAA044D11.genome.CDS.1275,AAA044N04.genome.CDS.1910;AAA044N04.genome.CDS.1819,AAA044O16.genome.CDS.1484,AAA278I18.genome.CDS.1373,AAA278O22.genome.CDS.2245;AAA278O22.genome.CDS.1996,AB141P03.genome.CDS.1004;AB141P03.genome.CDS.877,BIN_10.genome.CDS.1487,MEint1363.genome.CDS.1878,MEint2297.genome.CDS.2036;MEint2297.genome.CDS.2609;MEint2297.genome.CDS.1422,MEint283.genome.CDS.1433,,MEint4252.genome.CDS.2192,,TBepi2057.genome.CDS.1197,TBepi2754.genome.CDS.2782;TBepi2754.genome.CDS.1453,TBepi3207.genome.CDS.1965;TBepi3207.genome.CDS.1442;TBepi3207.genome.CDS.2148,TBepi3475.genome.CDS.1627;TBepi3475.genome.CDS.1875,TBepi4208.genome.CDS.1492;TBepi4208.genome.CDS.1955,TBhypo2152.genome.CDS.779,TBhypo3463.genome.CDS.1190;TBhypo3463.genome.CDS.1191;TBhypo3463.genome.CDS.2430,TBhypo3838.genome.CDS.756,TBhypo680.genome.CDS.2118,,acIB-AMD-7.genome.CDS.1951,bin_7_acI-B2.genome.CDS.3702
group00009,AAA023D18.genome.CDS.778,,,AAA027J17.genome.CDS.1864,AAA027L06.genome.CDS.1336,AAA027M14.genome.CDS.1208;AAA027M14.genome.CDS.1041,AAA028A23.genome.CDS.1479,AAA028E20.genome.CDS.1193,AAA028G02.genome.CDS.1649,,AAA041L13.genome.CDS.1597;AAA041L13.genome.CDS.2598;AAA041L13.genome.CDS.2437,AAA044D11.genome.CDS.1834,AAA044N04.genome.CDS.2211;AAA044N04.genome.CDS.2180,AAA044O16.genome.CDS.2131,AAA278I18.genome.CDS.1502,AAA278O22.genome.CDS.1721,AB141P03.genome.CDS.1150,,MEint1363.genome.CDS.962,MEint2297.genome.CDS.2673;MEint2297.genome.CDS.908,MEint283.genome.CDS.1241,MEint3864.genome.CDS.1041,MEint4252.genome.CDS.1652,,,TBepi2754.genome.CDS.1773,TBepi3207.genome.CDS.2208,,TBepi4208.genome.CDS.1479,TBhypo2152.genome.CDS.1876,TBhypo3463.genome.CDS.2065,,TBhypo680.genome.CDS.1450,,acIB-AMD-7.genome.CDS.1458,bin_7_acI-B2.genome.CDS.2789;bin_7_acI-B2.genome.CDS.2302
