acIB-AMD-6.genome.CDS.595,group00565
acIB-AMD-6.genome.CDS.594,group00720
acIB-AMD-6.genome.CDS.597,group00268
acIB-AMD-6.genome.CDS.596,group00564
acIB-AMD-6.genome.CDS.591,group00049
acIB-AMD-6.genome.CDS.590,group00049
acIB-AMD-6.genome.CDS.593,group00519
acIB-AMD-6.genome.CDS.592,group00584
acIB-AMD-6.genome.CDS.599,group00326
acIB-AMD-6.genome.CDS.598,group00445
acIB-AMD-6.genome.CDS.999,group00324
acIB-AMD-6.genome.CDS.851,group00113
acIB-AMD-6.genome.CDS.568,group01147
acIB-AMD-6.genome.CDS.569,group00936
acIB-AMD-6.genome.CDS.560,group00467
acIB-AMD-6.genome.CDS.561,group01070
acIB-AMD-6.genome.CDS.562,group00042
acIB-AMD-6.genome.CDS.563,group00747
acIB-AMD-6.genome.CDS.564,group00017
acIB-AMD-6.genome.CDS.565,group00702
acIB-AMD-6.genome.CDS.566,group00018
acIB-AMD-6.genome.CDS.567,group00923
acIB-AMD-6.genome.CDS.282,group03172
acIB-AMD-6.genome.CDS.608,group00138
acIB-AMD-6.genome.CDS.740,group00067
acIB-AMD-6.genome.CDS.991,group00781
acIB-AMD-6.genome.CDS.742,group00163
acIB-AMD-6.genome.CDS.967,group02788
acIB-AMD-6.genome.CDS.744,group00592
acIB-AMD-6.genome.CDS.961,group01538
acIB-AMD-6.genome.CDS.746,group00491
acIB-AMD-6.genome.CDS.963,group00787
acIB-AMD-6.genome.CDS.748,group01165
acIB-AMD-6.genome.CDS.968,group02789
acIB-AMD-6.genome.CDS.969,group00049
acIB-AMD-6.genome.CDS.556,group00199
acIB-AMD-6.genome.CDS.1058,group01016
acIB-AMD-6.genome.CDS.1059,group00539
acIB-AMD-6.genome.CDS.698,group00307
acIB-AMD-6.genome.CDS.699,group00657
acIB-AMD-6.genome.CDS.696,group00243
acIB-AMD-6.genome.CDS.697,group00030
acIB-AMD-6.genome.CDS.1052,group00027
acIB-AMD-6.genome.CDS.1053,group00240
acIB-AMD-6.genome.CDS.692,group00887
acIB-AMD-6.genome.CDS.693,group00088
acIB-AMD-6.genome.CDS.690,group00312
acIB-AMD-6.genome.CDS.691,group00458
acIB-AMD-6.genome.CDS.911,group00184
acIB-AMD-6.genome.CDS.910,group01356
acIB-AMD-6.genome.CDS.913,group03176
