AAA028A23.genome.CDS.1185,group00380
AAA028A23.genome.CDS.948,group00960
AAA028A23.genome.CDS.1219,group00086
AAA028A23.genome.CDS.1211,group00155
AAA028A23.genome.CDS.1210,group00567
AAA028A23.genome.CDS.1213,group00127
AAA028A23.genome.CDS.1212,group00132
AAA028A23.genome.CDS.1215,group00642
AAA028A23.genome.CDS.1214,group00878
AAA028A23.genome.CDS.1217,group00627
AAA028A23.genome.CDS.1216,group00205
AAA028A23.genome.CDS.1174,group01336
AAA028A23.genome.CDS.1175,group00694
AAA028A23.genome.CDS.1176,group00604
AAA028A23.genome.CDS.1177,group00603
AAA028A23.genome.CDS.1079,group00752
AAA028A23.genome.CDS.1171,group00044
AAA028A23.genome.CDS.1172,group01245
AAA028A23.genome.CDS.1173,group00013
AAA028A23.genome.CDS.1075,group01838
AAA028A23.genome.CDS.1074,group00671
AAA028A23.genome.CDS.1077,group00691
AAA028A23.genome.CDS.1076,group00311
AAA028A23.genome.CDS.1178,group01092
AAA028A23.genome.CDS.1070,group00576
AAA028A23.genome.CDS.1073,group00891
AAA028A23.genome.CDS.1072,group00728
AAA028A23.genome.CDS.1608,group01472
AAA028A23.genome.CDS.1609,group02045
AAA028A23.genome.CDS.1606,group01677
AAA028A23.genome.CDS.1607,group00043
AAA028A23.genome.CDS.1604,group04281
AAA028A23.genome.CDS.1605,group02676
AAA028A23.genome.CDS.1602,group04282
AAA028A23.genome.CDS.1603,group01573
AAA028A23.genome.CDS.1600,group00726
AAA028A23.genome.CDS.1601,group00650
AAA028A23.genome.CDS.1258,group00920
AAA028A23.genome.CDS.1438,group00110
AAA028A23.genome.CDS.1372,group00320
AAA028A23.genome.CDS.1373,group00206
AAA028A23.genome.CDS.1370,group00182
AAA028A23.genome.CDS.1371,group04272
AAA028A23.genome.CDS.1376,group00718
AAA028A23.genome.CDS.1377,group00410
AAA028A23.genome.CDS.1374,group00217
AAA028A23.genome.CDS.1375,group01014
AAA028A23.genome.CDS.1378,group00333
AAA028A23.genome.CDS.1379,group00050
AAA028A23.genome.CDS.40,group00875
AAA028A23.genome.CDS.796,group01029
AAA028A23.genome.CDS.899,group00377
AAA028A23.genome.CDS.898,group00498
AAA028A23.genome.CDS.895,group00332
AAA028A23.genome.CDS.894,group00331
AAA028A23.genome.CDS.897,group00079
AAA028A23.genome.CDS.896,group00360
AAA028A23.genome.CDS.891,group00811
AAA028A23.genome.CDS.890,group00831
AAA028A23.genome.CDS.893,group00441
AAA028A23.genome.CDS.892,group00880
AAA028A23.genome.CDS.1101,group00260
AAA028A23.genome.CDS.1100,group00429
AAA028A23.genome.CDS.1103,group00044
AAA028A23.genome.CDS.1102,group00766
AAA028A23.genome.CDS.1104,group00375
AAA028A23.genome.CDS.1107,group00924
AAA028A23.genome.CDS.1106,group00128
AAA028A23.genome.CDS.1109,group00279
AAA028A23.genome.CDS.1108,group00953
AAA028A23.genome.CDS.1198,group00093
AAA028A23.genome.CDS.1199,group00092
AAA028A23.genome.CDS.1192,group00995
AAA028A23.genome.CDS.1193,group00119
AAA028A23.genome.CDS.1190,group00269
AAA028A23.genome.CDS.1191,group00779
AAA028A23.genome.CDS.1196,group00046
AAA028A23.genome.CDS.1197,group00055
AAA028A23.genome.CDS.1194,group00118
AAA028A23.genome.CDS.1195,group00015
AAA028A23.genome.CDS.1426,group00196
AAA028A23.genome.CDS.1427,group00101
AAA028A23.genome.CDS.978,group00859
AAA028A23.genome.CDS.1425,group00213
AAA028A23.genome.CDS.1422,group00197
AAA028A23.genome.CDS.1423,group00514
AAA028A23.genome.CDS.1420,group00672
AAA028A23.genome.CDS.1421,group00664
AAA028A23.genome.CDS.972,group01527
AAA028A23.genome.CDS.973,group00434
AAA028A23.genome.CDS.970,group01047
AAA028A23.genome.CDS.971,group01411
AAA028A23.genome.CDS.976,group01303
AAA028A23.genome.CDS.977,group01485
AAA028A23.genome.CDS.974,group00787
AAA028A23.genome.CDS.975,group01771
AAA028A23.genome.CDS.375,group00084
AAA028A23.genome.CDS.1149,group02215
AAA028A23.genome.CDS.277,group02431
AAA028A23.genome.CDS.270,group00237
AAA028A23.genome.CDS.1148,group00451
AAA028A23.genome.CDS.1579,group00735
AAA028A23.genome.CDS.1255,group00861
AAA028A23.genome.CDS.1254,group04293
AAA028A23.genome.CDS.1558,group00758
AAA028A23.genome.CDS.1559,group00420
AAA028A23.genome.CDS.1251,group00040
AAA028A23.genome.CDS.1250,group01518
AAA028A23.genome.CDS.1253,group00772
AAA028A23.genome.CDS.1252,group00601
AAA028A23.genome.CDS.1552,group00387
AAA028A23.genome.CDS.1553,group00449
AAA028A23.genome.CDS.1550,group00137
AAA028A23.genome.CDS.1551,group00348
AAA028A23.genome.CDS.1556,group00315
AAA028A23.genome.CDS.1557,group00359
AAA028A23.genome.CDS.1554,group00448
AAA028A23.genome.CDS.1555,group00358
AAA028A23.genome.CDS.1338,group00254
AAA028A23.genome.CDS.1339,group00081
AAA028A23.genome.CDS.1336,group00503
