AB141P03.genome.CDS.737,group00649
AB141P03.genome.CDS.1266,group02160
AB141P03.genome.CDS.1267,group00494
AB141P03.genome.CDS.1264,group00827
AB141P03.genome.CDS.1265,group00003
AB141P03.genome.CDS.1262,group00022
AB141P03.genome.CDS.1263,group01018
AB141P03.genome.CDS.1260,group02314
AB141P03.genome.CDS.1261,group00546
AB141P03.genome.CDS.1381,group02889
AB141P03.genome.CDS.1380,group03940
AB141P03.genome.CDS.1268,group00667
AB141P03.genome.CDS.1269,group00874
AB141P03.genome.CDS.1312,group00351
AB141P03.genome.CDS.1313,group00948
AB141P03.genome.CDS.1310,group02882
AB141P03.genome.CDS.1316,group03922
AB141P03.genome.CDS.1317,group00043
AB141P03.genome.CDS.1314,group01042
AB141P03.genome.CDS.1315,group01148
AB141P03.genome.CDS.1318,group02883
AB141P03.genome.CDS.1319,group00599
AB141P03.genome.CDS.1222,group00509
AB141P03.genome.CDS.1223,group00231
AB141P03.genome.CDS.1161,group00456
AB141P03.genome.CDS.1160,group00476
AB141P03.genome.CDS.1163,group00143
AB141P03.genome.CDS.1162,group00571
AB141P03.genome.CDS.1165,group00630
AB141P03.genome.CDS.1164,group00485
AB141P03.genome.CDS.1167,group00170
AB141P03.genome.CDS.1166,group00591
AB141P03.genome.CDS.1169,group00295
AB141P03.genome.CDS.1168,group00334
AB141P03.genome.CDS.1225,group00625
AB141P03.genome.CDS.987,group00280
AB141P03.genome.CDS.980,group00529
AB141P03.genome.CDS.1229,group00562
AB141P03.genome.CDS.969,group00661
AB141P03.genome.CDS.968,group00112
AB141P03.genome.CDS.967,group00524
AB141P03.genome.CDS.966,group00986
AB141P03.genome.CDS.965,group02229
AB141P03.genome.CDS.964,group00181
AB141P03.genome.CDS.963,group00866
AB141P03.genome.CDS.962,group03926
AB141P03.genome.CDS.961,group02209
AB141P03.genome.CDS.960,group01312
AB141P03.genome.CDS.1048,group00207
AB141P03.genome.CDS.1049,group00356
AB141P03.genome.CDS.1042,group00053
AB141P03.genome.CDS.913,group00769
AB141P03.genome.CDS.1040,group00378
AB141P03.genome.CDS.911,group00722
AB141P03.genome.CDS.1046,group00187
