TBhypo2152.genome.CDS.1697,group03609
TBhypo2152.genome.CDS.1466,group00204
TBhypo2152.genome.CDS.1467,group00007
TBhypo2152.genome.CDS.1464,group00156
TBhypo2152.genome.CDS.1397,group00243
TBhypo2152.genome.CDS.1462,group00438
TBhypo2152.genome.CDS.1391,group01366
TBhypo2152.genome.CDS.1019,group00080
TBhypo2152.genome.CDS.1018,group00650
TBhypo2152.genome.CDS.1541,group00066
TBhypo2152.genome.CDS.1540,group00147
TBhypo2152.genome.CDS.1015,group00803
TBhypo2152.genome.CDS.1542,group00258
TBhypo2152.genome.CDS.1013,group00242
TBhypo2152.genome.CDS.1544,group00065
TBhypo2152.genome.CDS.1011,group00442
TBhypo2152.genome.CDS.1546,group00613
TBhypo2152.genome.CDS.1080,group00245
TBhypo2152.genome.CDS.1081,group00250
TBhypo2152.genome.CDS.1129,group00149
TBhypo2152.genome.CDS.1083,group00160
TBhypo2152.genome.CDS.1084,group00159
TBhypo2152.genome.CDS.1085,group03560
TBhypo2152.genome.CDS.1086,group00766
TBhypo2152.genome.CDS.1087,group00260
TBhypo2152.genome.CDS.1088,group00429
TBhypo2152.genome.CDS.1122,group00399
TBhypo2152.genome.CDS.1121,group00369
TBhypo2152.genome.CDS.1120,group00785
TBhypo2152.genome.CDS.1127,group00108
TBhypo2152.genome.CDS.1126,group00937
TBhypo2152.genome.CDS.1125,group00167
TBhypo2152.genome.CDS.1124,group01230
TBhypo2152.genome.CDS.1499,group03596
TBhypo2152.genome.CDS.1498,group00882
TBhypo2152.genome.CDS.1437,group00484
TBhypo2152.genome.CDS.1618,group00300
TBhypo2152.genome.CDS.1493,group00412
TBhypo2152.genome.CDS.1492,group02700
TBhypo2152.genome.CDS.1491,group00296
TBhypo2152.genome.CDS.1490,group00366
TBhypo2152.genome.CDS.1497,group00444
TBhypo2152.genome.CDS.1496,group00892
TBhypo2152.genome.CDS.1495,group00227
TBhypo2152.genome.CDS.1494,group00297
TBhypo2152.genome.CDS.1303,group00121
TBhypo2152.genome.CDS.1302,group00351
TBhypo2152.genome.CDS.1301,group00303
TBhypo2152.genome.CDS.1069,group00722
TBhypo2152.genome.CDS.1307,group03583
TBhypo2152.genome.CDS.1306,group00309
TBhypo2152.genome.CDS.1305,group00274
TBhypo2152.genome.CDS.1304,group02306
TBhypo2152.genome.CDS.1062,group00333
TBhypo2152.genome.CDS.1063,group00180
TBhypo2152.genome.CDS.1309,group00035
TBhypo2152.genome.CDS.1061,group00410
TBhypo2152.genome.CDS.1066,group00479
TBhypo2152.genome.CDS.1067,group01073
TBhypo2152.genome.CDS.1064,group00179
TBhypo2152.genome.CDS.1065,group00531
TBhypo2152.genome.CDS.1268,group00334
TBhypo2152.genome.CDS.1269,group00295
TBhypo2152.genome.CDS.1872,group00536
TBhypo2152.genome.CDS.32,group03582
TBhypo2152.genome.CDS.33,group03581
TBhypo2152.genome.CDS.1261,group00456
TBhypo2152.genome.CDS.1262,group00571
