,Annotation,Total,Confidence
group00000,3-oxoacyl-acyl-carrier protein reductase (EC 1.1.1.100),42,0.5952380952380952
group00001,DNA gyrase subunit A (EC 5.99.1.3),59,0.5084745762711864
group00002,Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8),54,0.7407407407407407
group00003,Topoisomerase IV subunit B (EC 5.99.1.-),56,0.5535714285714286
group00004,Branched-chain amino acid transport ATP-binding protein LivG (TC 3.A.1.4.1),56,1.0
group00005,Aldehyde dehydrogenase (EC 1.2.1.3),41,0.8536585365853658
group00006,"TsaB protein, required for threonylcarbamoyladenosine (t(6)A) formation in tRNA",41,0.7317073170731707
group00007,Heat shock protein 60 family chaperone GroEL,50,1.0
group00008,Chromosome (plasmid) partitioning protein ParA,52,0.9615384615384616
group00009,ATP-dependent RNA helicase,33,0.7575757575757576
group00010,"Ribose ABC transport system, ATP-binding protein RbsA (TC 3.A.1.2.1)",53,0.32075471698113206
group00011,"ATP-dependent Clp protease, ATP-binding subunit ClpC / Negative regulator of genetic competence clcC/mecB",41,1.0
group00012,Putrescine transport ATP-binding protein PotG (TC 3.A.1.11.2),48,0.4166666666666667
group00013,Fumarylacetoacetate hydrolase family protein,51,0.7450980392156863
group00014,Inosine-5-monophosphate dehydrogenase (EC 1.1.1.205) / CBS domain,52,0.6346153846153846
group00015,TsaC protein (YrdC-Sua5 domains) required for threonylcarbamoyladenosine t(6)A37 modification in tRNA,52,0.4423076923076923
group00016,Branched-chain amino acid transport ATP-binding protein LivF (TC 3.A.1.4.1),52,0.9807692307692307
group00017,HtrA protease/chaperone protein,50,0.34
group00018,Cytosol aminopeptidase PepA (EC 3.4.11.1),55,1.0
group00019,Ammonium transporter,44,1.0
group00020,Dipeptide transport ATP-binding protein DppD (TC 3.A.1.5.2),36,0.4444444444444444
group00021,Oligopeptide transport system permease protein OppC (TC 3.A.1.5.1),34,0.6764705882352942
group00022,RNA polymerase sigma factor RpoD,28,1.0
group00023,1D-myo-inositol 2-acetamido-2-deoxy-alpha-D-glucopyranoside deacetylase (EC 3.5.1.103),29,0.9655172413793104
group00024,Alkyl hydroperoxide reductase subunit C-like protein,24,1.0
group00025,Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3),34,0.9117647058823529
group00026,"Serine/threonine protein kinase PrkC, regulator of stationary phase",35,1.0
group00027,D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95),48,1.0
group00028,Rod shape-determining protein MreB,32,1.0
group00029,hypothetical protein,40,0.675
group00030,DNA polymerase III alpha subunit (EC 2.7.7.7),35,1.0
group00031,Transketolase (EC 2.2.1.1),32,0.875
group00032,Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2) / Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2); Propionyl-CoA carboxylase beta chain (EC 6.4.1.3),26,0.7692307692307693
group00033,O-acetylhomoserine sulfhydrylase (EC 2.5.1.49) / O-succinylhomoserine sulfhydrylase (EC 2.5.1.48),44,1.0
group00034,Cytochrome c oxidase polypeptide I (EC 1.9.3.1),36,1.0
group00035,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (EC 4.6.1.12)",25,0.88
group00036,None Provided,44,0.18181818181818182
group00037,Aspartate aminotransferase (EC 2.6.1.1),23,1.0
group00038,DNA-binding response regulator,36,0.4444444444444444
group00039,Proposed peptidoglycan lipid II flippase MurJ,39,0.6666666666666666
group00040,ATP-dependent DNA helicase RecG (EC 3.6.1.-),38,1.0
group00041,Chromosome partition protein smc,35,1.0
group00042,Mrp protein homolog,29,0.8620689655172413
group00043,Citrate synthase (si) (EC 2.3.3.1),37,0.8108108108108109
group00044,Enolase (EC 4.2.1.11),40,1.0
group00045,"Cell envelope-associated transcriptional attenuator LytR-CpsA-Psr, subfamily A1 (as in PMID19099556)",27,0.9259259259259259
