AAA027J17.genome.CDS.1638,group00580
AAA027J17.genome.CDS.1352,group01558
AAA027J17.genome.CDS.1439,group03998
AAA027J17.genome.CDS.1348,group01393
AAA027J17.genome.CDS.1349,group01310
AAA027J17.genome.CDS.1432,group00429
AAA027J17.genome.CDS.1345,group02039
AAA027J17.genome.CDS.1430,group00766
AAA027J17.genome.CDS.1431,group00260
AAA027J17.genome.CDS.1340,group02216
AAA027J17.genome.CDS.1437,group00180
AAA027J17.genome.CDS.1342,group03990
AAA027J17.genome.CDS.1343,group02038
AAA027J17.genome.CDS.1670,group00944
AAA027J17.genome.CDS.1179,group00173
AAA027J17.genome.CDS.1351,group02436
AAA027J17.genome.CDS.1507,group00198
AAA027J17.genome.CDS.1673,group01300
AAA027J17.genome.CDS.1328,group01032
AAA027J17.genome.CDS.1025,group00199
AAA027J17.genome.CDS.1024,group00577
AAA027J17.genome.CDS.1027,group01271
AAA027J17.genome.CDS.1026,group00023
AAA027J17.genome.CDS.1021,group00042
AAA027J17.genome.CDS.1020,group00747
AAA027J17.genome.CDS.1023,group00745
AAA027J17.genome.CDS.1022,group00746
AAA027J17.genome.CDS.1182,group02431
AAA027J17.genome.CDS.1183,group01977
AAA027J17.genome.CDS.1180,group01660
AAA027J17.genome.CDS.1181,group02430
AAA027J17.genome.CDS.1186,group00052
AAA027J17.genome.CDS.1187,group01480
AAA027J17.genome.CDS.1184,group01908
AAA027J17.genome.CDS.1185,group01099
AAA027J17.genome.CDS.1347,group02768
AAA027J17.genome.CDS.1436,group00179
AAA027J17.genome.CDS.1341,group01734
AAA027J17.genome.CDS.1434,group00855
AAA027J17.genome.CDS.1435,group00531
AAA027J17.genome.CDS.1505,group00175
AAA027J17.genome.CDS.1623,group00329
AAA027J17.genome.CDS.1515,group00118
AAA027J17.genome.CDS.1622,group00027
AAA027J17.genome.CDS.1249,group00589
AAA027J17.genome.CDS.1248,group00391
AAA027J17.genome.CDS.1230,group01221
AAA027J17.genome.CDS.1338,group01159
AAA027J17.genome.CDS.1232,group00474
AAA027J17.genome.CDS.1233,group01213
AAA027J17.genome.CDS.1234,group01212
AAA027J17.genome.CDS.1235,group00744
AAA027J17.genome.CDS.1236,group00961
AAA027J17.genome.CDS.1237,group00768
AAA027J17.genome.CDS.1238,group00714
AAA027J17.genome.CDS.1239,group01215
AAA027J17.genome.CDS.1333,group02434
AAA027J17.genome.CDS.1332,group01391
AAA027J17.genome.CDS.1335,group00434
AAA027J17.genome.CDS.1334,group01991
AAA027J17.genome.CDS.1337,group02435
AAA027J17.genome.CDS.1626,group00373
AAA027J17.genome.CDS.1397,group01474
AAA027J17.genome.CDS.1464,group00623
AAA027J17.genome.CDS.1467,group01181
AAA027J17.genome.CDS.1743,group00300
AAA027J17.genome.CDS.1898,group00335
AAA027J17.genome.CDS.1899,group00120
AAA027J17.genome.CDS.1728,group00356
AAA027J17.genome.CDS.1729,group01669
AAA027J17.genome.CDS.1726,group00639
AAA027J17.genome.CDS.1895,group00166
AAA027J17.genome.CDS.1724,group00401
AAA027J17.genome.CDS.1725,group00645
AAA027J17.genome.CDS.1722,group01238
AAA027J17.genome.CDS.1891,group00019
AAA027J17.genome.CDS.1892,group00085
AAA027J17.genome.CDS.1893,group00041
AAA027J17.genome.CDS.1803,group00878
AAA027J17.genome.CDS.1802,group00642
AAA027J17.genome.CDS.1801,group00205
AAA027J17.genome.CDS.1800,group00627
AAA027J17.genome.CDS.1807,group00567
AAA027J17.genome.CDS.1806,group00155
AAA027J17.genome.CDS.2008,group00669
AAA027J17.genome.CDS.1804,group00127
AAA027J17.genome.CDS.2006,group01384
AAA027J17.genome.CDS.2007,group00643
AAA027J17.genome.CDS.1809,group00131
AAA027J17.genome.CDS.1808,group00781
AAA027J17.genome.CDS.2002,group00037
AAA027J17.genome.CDS.2003,group00615
AAA027J17.genome.CDS.2000,group00513
AAA027J17.genome.CDS.2001,group00709
AAA027J17.genome.CDS.1542,group01285
AAA027J17.genome.CDS.1079,group00096
AAA027J17.genome.CDS.1354,group00877
AAA027J17.genome.CDS.1543,group00950
AAA027J17.genome.CDS.1016,group00923
AAA027J17.genome.CDS.1652,group00916
AAA027J17.genome.CDS.1653,group00894
AAA027J17.genome.CDS.1650,group00820
AAA027J17.genome.CDS.1651,group00844
AAA027J17.genome.CDS.1656,group00819
AAA027J17.genome.CDS.1657,group00872
AAA027J17.genome.CDS.1654,group00896
AAA027J17.genome.CDS.1655,group00895
AAA027J17.genome.CDS.1793,group01563
AAA027J17.genome.CDS.1010,group00045
AAA027J17.genome.CDS.1791,group01713
AAA027J17.genome.CDS.1659,group00853
AAA027J17.genome.CDS.1797,group00188
AAA027J17.genome.CDS.1796,group00193
AAA027J17.genome.CDS.1795,group01375
AAA027J17.genome.CDS.1011,group00825
AAA027J17.genome.CDS.1094,group01725
AAA027J17.genome.CDS.1095,group03978
AAA027J17.genome.CDS.1096,group01586
AAA027J17.genome.CDS.1097,group01003
AAA027J17.genome.CDS.1090,group01407
AAA027J17.genome.CDS.1091,group01478
AAA027J17.genome.CDS.1092,group01828
AAA027J17.genome.CDS.1093,group01479
AAA027J17.genome.CDS.1155,group00157
AAA027J17.genome.CDS.1154,group00158
AAA027J17.genome.CDS.1157,group01670
AAA027J17.genome.CDS.1156,group00121
AAA027J17.genome.CDS.1151,group00104
AAA027J17.genome.CDS.1099,group00886
AAA027J17.genome.CDS.1153,group00059
AAA027J17.genome.CDS.1152,group00852
AAA027J17.genome.CDS.1861,group00528
AAA027J17.genome.CDS.1712,group01430
AAA027J17.genome.CDS.1076,group00433
AAA027J17.genome.CDS.1006,group00525
AAA027J17.genome.CDS.1077,group01823
AAA027J17.genome.CDS.1571,group00946
AAA027J17.genome.CDS.1710,group01545
AAA027J17.genome.CDS.1824,group00705
AAA027J17.genome.CDS.1865,group00712
AAA027J17.genome.CDS.1716,group01263
AAA027J17.genome.CDS.1476,group00288
AAA027J17.genome.CDS.1477,group00440
AAA027J17.genome.CDS.1474,group01043
AAA027J17.genome.CDS.1475,group00367
AAA027J17.genome.CDS.1472,group01837
AAA027J17.genome.CDS.1473,group00790
AAA027J17.genome.CDS.1579,group00214
AAA027J17.genome.CDS.1471,group00959
AAA027J17.genome.CDS.1577,group01017
AAA027J17.genome.CDS.1576,group00174
AAA027J17.genome.CDS.1575,group00285
AAA027J17.genome.CDS.1574,group00893
AAA027J17.genome.CDS.1573,group00074
AAA027J17.genome.CDS.1572,group00801
AAA027J17.genome.CDS.1478,group00460
AAA027J17.genome.CDS.1479,group00435
AAA027J17.genome.CDS.1570,group00039
AAA027J17.genome.CDS.1389,group00504
AAA027J17.genome.CDS.1329,group00543
AAA027J17.genome.CDS.1078,group01106
AAA027J17.genome.CDS.1381,group00939
AAA027J17.genome.CDS.1382,group02438
AAA027J17.genome.CDS.1383,group00116
AAA027J17.genome.CDS.1384,group00007
AAA027J17.genome.CDS.1385,group00849
AAA027J17.genome.CDS.1386,group00796
AAA027J17.genome.CDS.1387,group01059
AAA027J17.genome.CDS.1979,group00203
AAA027J17.genome.CDS.1978,group02218
AAA027J17.genome.CDS.1973,group00162
AAA027J17.genome.CDS.1972,group00528
AAA027J17.genome.CDS.1971,group00417
AAA027J17.genome.CDS.1970,group00867
AAA027J17.genome.CDS.1977,group03986
AAA027J17.genome.CDS.1976,group00343
AAA027J17.genome.CDS.1975,group00735
AAA027J17.genome.CDS.1974,group00475
AAA027J17.genome.CDS.993,group03980
AAA027J17.genome.CDS.1189,group02028
AAA027J17.genome.CDS.995,group00010
AAA027J17.genome.CDS.994,group00049
AAA027J17.genome.CDS.997,group00540
AAA027J17.genome.CDS.996,group00541
AAA027J17.genome.CDS.1002,group00005
AAA027J17.genome.CDS.998,group00662
AAA027J17.genome.CDS.2033,group00866
AAA027J17.genome.CDS.1278,group00062
AAA027J17.genome.CDS.1815,group00011
AAA027J17.genome.CDS.1274,group00398
AAA027J17.genome.CDS.1275,group00248
AAA027J17.genome.CDS.1276,group00985
AAA027J17.genome.CDS.1277,group00072
AAA027J17.genome.CDS.1270,group01139
AAA027J17.genome.CDS.1816,group01532
AAA027J17.genome.CDS.1272,group00454
AAA027J17.genome.CDS.1273,group00840
AAA027J17.genome.CDS.1817,group00340
AAA027J17.genome.CDS.2037,group00505
AAA027J17.genome.CDS.634,group04004
AAA027J17.genome.CDS.2036,group00254
AAA027J17.genome.CDS.1812,group00542
AAA027J17.genome.CDS.1029,group01258
AAA027J17.genome.CDS.1813,group00056
AAA027J17.genome.CDS.1028,group01020
AAA027J17.genome.CDS.1375,group01267
AAA027J17.genome.CDS.1374,group01404
AAA027J17.genome.CDS.1377,group00384
AAA027J17.genome.CDS.1376,group01073
AAA027J17.genome.CDS.1371,group01414
AAA027J17.genome.CDS.1370,group02437
AAA027J17.genome.CDS.1373,group01446
AAA027J17.genome.CDS.1372,group00842
AAA027J17.genome.CDS.1072,group00242
AAA027J17.genome.CDS.1073,group01025
AAA027J17.genome.CDS.1070,group01729
AAA027J17.genome.CDS.1379,group00646
AAA027J17.genome.CDS.1378,group01109
AAA027J17.genome.CDS.1074,group00024
AAA027J17.genome.CDS.1075,group02427
AAA027J17.genome.CDS.1391,group01299
AAA027J17.genome.CDS.1454,group00990
AAA027J17.genome.CDS.1007,group00581
AAA027J17.genome.CDS.1433,group00649
AAA027J17.genome.CDS.1455,group01919
AAA027J17.genome.CDS.1456,group00968
AAA027J17.genome.CDS.1457,group00501
AAA027J17.genome.CDS.1906,group00937
AAA027J17.genome.CDS.1451,group01675
AAA027J17.genome.CDS.1209,group00969
AAA027J17.genome.CDS.1208,group00834
AAA027J17.genome.CDS.1461,group01187
AAA027J17.genome.CDS.1452,group01015
AAA027J17.genome.CDS.1201,group01067
AAA027J17.genome.CDS.1200,group01314
AAA027J17.genome.CDS.1203,group00034
AAA027J17.genome.CDS.1202,group00802
AAA027J17.genome.CDS.1205,group01144
AAA027J17.genome.CDS.1204,group00421
AAA027J17.genome.CDS.1207,group00586
AAA027J17.genome.CDS.1206,group01090
AAA027J17.genome.CDS.1757,group00339
AAA027J17.genome.CDS.1756,group01125
AAA027J17.genome.CDS.1755,group01102
AAA027J17.genome.CDS.1754,group00430
AAA027J17.genome.CDS.1753,group00710
AAA027J17.genome.CDS.1752,group00551
AAA027J17.genome.CDS.1751,group00617
AAA027J17.genome.CDS.1750,group00550
AAA027J17.genome.CDS.1759,group01024
AAA027J17.genome.CDS.1758,group01289
AAA027J17.genome.CDS.941,group00113
AAA027J17.genome.CDS.1618,group00245
AAA027J17.genome.CDS.1619,group00437
AAA027J17.genome.CDS.1617,group01097
AAA027J17.genome.CDS.1614,group00219
AAA027J17.genome.CDS.1615,group00250
AAA027J17.genome.CDS.865,group01513
AAA027J17.genome.CDS.1613,group00160
AAA027J17.genome.CDS.1610,group00354
AAA027J17.genome.CDS.1611,group00134
AAA027J17.genome.CDS.1858,group00397
AAA027J17.genome.CDS.1487,group00017
AAA027J17.genome.CDS.1486,group01120
AAA027J17.genome.CDS.1850,group00835
AAA027J17.genome.CDS.1851,group00676
AAA027J17.genome.CDS.1852,group00912
AAA027J17.genome.CDS.1853,group00756
AAA027J17.genome.CDS.1854,group00263
AAA027J17.genome.CDS.1855,group01048
AAA027J17.genome.CDS.1856,group00390
AAA027J17.genome.CDS.1380,group00922
AAA027J17.genome.CDS.1484,group00652
AAA027J17.genome.CDS.1676,group00771
AAA027J17.genome.CDS.1548,group00733
AAA027J17.genome.CDS.1483,group00767
AAA027J17.genome.CDS.1482,group01140
AAA027J17.genome.CDS.1102,group01124
AAA027J17.genome.CDS.1103,group00838
AAA027J17.genome.CDS.1100,group01022
AAA027J17.genome.CDS.1101,group01022
AAA027J17.genome.CDS.1106,group00020
AAA027J17.genome.CDS.1107,group01345
AAA027J17.genome.CDS.1104,group00021
AAA027J17.genome.CDS.1105,group03977
AAA027J17.genome.CDS.1108,group01333
AAA027J17.genome.CDS.1109,group03976
AAA027J17.genome.CDS.1462,group00782
AAA027J17.genome.CDS.1920,group00311
AAA027J17.genome.CDS.1921,group00691
AAA027J17.genome.CDS.1922,group00870
AAA027J17.genome.CDS.1538,group00044
AAA027J17.genome.CDS.1924,group02770
AAA027J17.genome.CDS.1925,group00436
AAA027J17.genome.CDS.1926,group00089
AAA027J17.genome.CDS.1927,group00717
AAA027J17.genome.CDS.1928,group00239
AAA027J17.genome.CDS.1929,group00271
AAA027J17.genome.CDS.1531,group01092
AAA027J17.genome.CDS.1530,group01046
AAA027J17.genome.CDS.1537,group01245
AAA027J17.genome.CDS.1536,group00013
AAA027J17.genome.CDS.1535,group01336
AAA027J17.genome.CDS.1662,group00861
AAA027J17.genome.CDS.1588,group00863
AAA027J17.genome.CDS.1589,group01006
AAA027J17.genome.CDS.1587,group00438
AAA027J17.genome.CDS.1584,group01906
AAA027J17.genome.CDS.1585,group01652
AAA027J17.genome.CDS.1582,group00216
AAA027J17.genome.CDS.1583,group02769
AAA027J17.genome.CDS.1580,group00280
AAA027J17.genome.CDS.1581,group00409
AAA027J17.genome.CDS.1004,group00723
AAA027J17.genome.CDS.594,group02773
AAA027J17.genome.CDS.1629,group00282
AAA027J17.genome.CDS.1522,group00388
AAA027J17.genome.CDS.893,group00125
AAA027J17.genome.CDS.457,group02219
AAA027J17.genome.CDS.1310,group00172
AAA027J17.genome.CDS.1409,group00052
AAA027J17.genome.CDS.1408,group00590
AAA027J17.genome.CDS.1407,group01001
AAA027J17.genome.CDS.1406,group00668
AAA027J17.genome.CDS.1405,group01247
AAA027J17.genome.CDS.1404,group00029
AAA027J17.genome.CDS.1403,group01629
