,Annotation
group00000,3-oxoacyl-acyl-carrier protein reductase (EC 1.1.1.100)
group00001,DNA gyrase subunit A (EC 5.99.1.3)
group00002,Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)
group00003,Topoisomerase IV subunit B (EC 5.99.1.-)
group00004,Branched-chain amino acid transport ATP-binding protein LivG (TC 3.A.1.4.1)
group00005,Aldehyde dehydrogenase (EC 1.2.1.3)
group00006,"TsaB protein, required for threonylcarbamoyladenosine (t(6)A) formation in tRNA"
group00007,Heat shock protein 60 family chaperone GroEL
group00008,Chromosome (plasmid) partitioning protein ParA
group00009,ATP-dependent RNA helicase
group00010,"Ribose ABC transport system, ATP-binding protein RbsA (TC 3.A.1.2.1)"
group00011,"ATP-dependent Clp protease, ATP-binding subunit ClpC / Negative regulator of genetic competence clcC/mecB"
group00012,Putrescine transport ATP-binding protein PotG (TC 3.A.1.11.2)
group00013,Fumarylacetoacetate hydrolase family protein
group00014,Inosine-5-monophosphate dehydrogenase (EC 1.1.1.205) / CBS domain
group00015,TsaC protein (YrdC-Sua5 domains) required for threonylcarbamoyladenosine t(6)A37 modification in tRNA
group00016,Branched-chain amino acid transport ATP-binding protein LivF (TC 3.A.1.4.1)
group00017,HtrA protease/chaperone protein
group00018,Cytosol aminopeptidase PepA (EC 3.4.11.1)
group00019,Ammonium transporter
group00020,Dipeptide transport ATP-binding protein DppD (TC 3.A.1.5.2)
group00021,Oligopeptide transport system permease protein OppC (TC 3.A.1.5.1)
group00022,RNA polymerase sigma factor RpoD
group00023,1D-myo-inositol 2-acetamido-2-deoxy-alpha-D-glucopyranoside deacetylase (EC 3.5.1.103)
group00024,Alkyl hydroperoxide reductase subunit C-like protein
group00025,Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)
group00026,"Serine/threonine protein kinase PrkC, regulator of stationary phase"
group00027,D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)
group00028,Rod shape-determining protein MreB
group00029,hypothetical protein
group00030,DNA polymerase III alpha subunit (EC 2.7.7.7)
group00031,Transketolase (EC 2.2.1.1)
group00032,Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2) / Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2); Propionyl-CoA carboxylase beta chain (EC 6.4.1.3)
group00033,O-acetylhomoserine sulfhydrylase (EC 2.5.1.49) / O-succinylhomoserine sulfhydrylase (EC 2.5.1.48)
group00034,Cytochrome c oxidase polypeptide I (EC 1.9.3.1)
group00035,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (EC 4.6.1.12)"
group00036,None Provided
group00037,Aspartate aminotransferase (EC 2.6.1.1)
group00038,DNA-binding response regulator
group00039,Proposed peptidoglycan lipid II flippase MurJ
group00040,ATP-dependent DNA helicase RecG (EC 3.6.1.-)
group00041,Chromosome partition protein smc
group00042,Mrp protein homolog
group00043,Citrate synthase (si) (EC 2.3.3.1)
group00044,Enolase (EC 4.2.1.11)
group00045,"Cell envelope-associated transcriptional attenuator LytR-CpsA-Psr, subfamily A1 (as in PMID19099556)"
group00046,"Protein-N(5)-glutamine methyltransferase PrmC, methylates polypeptide chain release factors RF1 and RF2"
group00047,Aconitate hydratase (EC 4.2.1.3)
group00048,Carbamoyl-phosphate synthase large chain (EC 6.3.5.5)
group00049,"Nucleoside ABC transporter, periplasmic nucleoside-binding protein"
group00050,Glutamate synthase NADPH large chain (EC 1.4.1.13)
group00051,Phosphate regulon transcriptional regulatory protein PhoB (SphR)
group00052,Butyryl-CoA dehydrogenase (EC 1.3.8.1)
group00053,NADH-ubiquinone oxidoreductase chain K (EC 1.6.5.3)
group00054,Valyl-tRNA synthetase (EC 6.1.1.9)
group00055,Peptide chain release factor 1
