AAA044D11.genome.CDS.2166,group01460
AAA044D11.genome.CDS.2167,group01499
AAA044D11.genome.CDS.2164,group01285
AAA044D11.genome.CDS.2165,group01200
AAA044D11.genome.CDS.2162,group01350
AAA044D11.genome.CDS.2163,group01060
AAA044D11.genome.CDS.2172,group01485
AAA044D11.genome.CDS.2161,group00000
AAA044D11.genome.CDS.2247,group00399
AAA044D11.genome.CDS.2246,group00369
AAA044D11.genome.CDS.2245,group00411
AAA044D11.genome.CDS.2244,group00165
AAA044D11.genome.CDS.402,group00989
AAA044D11.genome.CDS.2242,group00070
AAA044D11.genome.CDS.2241,group00851
AAA044D11.genome.CDS.2240,group00262
AAA044D11.genome.CDS.1897,group02843
AAA044D11.genome.CDS.1896,group00435
AAA044D11.genome.CDS.1895,group00402
AAA044D11.genome.CDS.1894,group00727
AAA044D11.genome.CDS.2085,group01164
AAA044D11.genome.CDS.1892,group00026
AAA044D11.genome.CDS.1891,group00203
AAA044D11.genome.CDS.2086,group00223
AAA044D11.genome.CDS.2089,group00693
AAA044D11.genome.CDS.2088,group00554
AAA044D11.genome.CDS.1846,group00733
AAA044D11.genome.CDS.1899,group00460
AAA044D11.genome.CDS.1898,group03047
AAA044D11.genome.CDS.1878,group01017
AAA044D11.genome.CDS.1247,group01005
AAA044D11.genome.CDS.1244,group00743
AAA044D11.genome.CDS.1245,group03072
AAA044D11.genome.CDS.1242,group00833
AAA044D11.genome.CDS.1243,group01398
AAA044D11.genome.CDS.1569,group00078
AAA044D11.genome.CDS.1241,group01137
AAA044D11.genome.CDS.1567,group00164
AAA044D11.genome.CDS.1566,group00075
AAA044D11.genome.CDS.1565,group03084
AAA044D11.genome.CDS.1483,group00170
AAA044D11.genome.CDS.1563,group00547
AAA044D11.genome.CDS.1562,group00499
AAA044D11.genome.CDS.1248,group01138
AAA044D11.genome.CDS.1249,group01056
AAA044D11.genome.CDS.2260,group00837
AAA044D11.genome.CDS.1800,group00503
AAA044D11.genome.CDS.1801,group00094
AAA044D11.genome.CDS.2018,group02970
AAA044D11.genome.CDS.1803,group00081
AAA044D11.genome.CDS.1804,group00191
AAA044D11.genome.CDS.1805,group00142
AAA044D11.genome.CDS.1806,group01066
AAA044D11.genome.CDS.1807,group01234
AAA044D11.genome.CDS.1808,group00253
AAA044D11.genome.CDS.2013,group00559
AAA044D11.genome.CDS.2010,group00647
AAA044D11.genome.CDS.2011,group01263
AAA044D11.genome.CDS.2016,group00536
AAA044D11.genome.CDS.2017,group02971
AAA044D11.genome.CDS.2014,group01142
AAA044D11.genome.CDS.1760,group01109
AAA044D11.genome.CDS.1839,group00418
AAA044D11.genome.CDS.1968,group00040
AAA044D11.genome.CDS.2168,group01408
AAA044D11.genome.CDS.1963,group00007
AAA044D11.genome.CDS.1962,group00947
AAA044D11.genome.CDS.1961,group00690
AAA044D11.genome.CDS.2169,group00044
AAA044D11.genome.CDS.1967,group00569
AAA044D11.genome.CDS.1966,group01059
AAA044D11.genome.CDS.1965,group00796
AAA044D11.genome.CDS.1964,group00849
AAA044D11.genome.CDS.2081,group00869
AAA044D11.genome.CDS.2080,group00117
AAA044D11.genome.CDS.1178,group00575
AAA044D11.genome.CDS.1838,group00776
AAA044D11.genome.CDS.329,group00476
AAA044D11.genome.CDS.2082,group00684
AAA044D11.genome.CDS.1571,group02508
AAA044D11.genome.CDS.1893,group00140
AAA044D11.genome.CDS.1582,group01298
AAA044D11.genome.CDS.324,group00630
AAA044D11.genome.CDS.1668,group00603
AAA044D11.genome.CDS.1742,group00391
AAA044D11.genome.CDS.1741,group00589
AAA044D11.genome.CDS.1740,group00651
AAA044D11.genome.CDS.1905,group00775
AAA044D11.genome.CDS.2087,group00241
AAA044D11.genome.CDS.1745,group00685
AAA044D11.genome.CDS.1908,group00602
AAA044D11.genome.CDS.1660,group00388
AAA044D11.genome.CDS.1661,group00408
AAA044D11.genome.CDS.1749,group01215
AAA044D11.genome.CDS.1890,group00794
AAA044D11.genome.CDS.1664,group00443
AAA044D11.genome.CDS.1665,group00212
AAA044D11.genome.CDS.1666,group00403
AAA044D11.genome.CDS.1667,group01092
AAA044D11.genome.CDS.1750,group00714
AAA044D11.genome.CDS.2179,group00092
AAA044D11.genome.CDS.1618,group03035
AAA044D11.genome.CDS.1430,group00872
AAA044D11.genome.CDS.2231,group00204
AAA044D11.genome.CDS.1901,group00288
AAA044D11.genome.CDS.1614,group00360
AAA044D11.genome.CDS.1329,group01141
AAA044D11.genome.CDS.2178,group00093
AAA044D11.genome.CDS.2159,group01245
