,Annotations
group00000,"['None Provided']; ['3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)', '3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)']; ['3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)', 'hypothetical protein', 'Short-chain dehydrogenase/reductase in hypothetical Actinobacterial gene cluster']; ['3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)', '3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)', '3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)']; ['Short-chain dehydrogenase/reductase in hypothetical Actinobacterial gene cluster', 'hypothetical protein', '3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)']; ['3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)', 'Short-chain dehydrogenase/reductase in hypothetical Actinobacterial gene cluster']; ['3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)']; ['Oxidoreductase, short chain dehydrogenase/reductase family', 'None Provided', '3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)', '3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)']; ['2,3-butanediol dehydrogenase, S-alcohol forming, (S)-acetoin-specific (EC 1.1.1.76)', '3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)']; ['3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)', 'None Provided']; ['Short-chain dehydrogenase/reductase in hypothetical Actinobacterial gene cluster']; ['hypothetical protein']; ['3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)', 'None Provided', 'Short-chain dehydrogenase/reductase in hypothetical Actinobacterial gene cluster', 'Short-chain dehydrogenase/reductase SDR']"
group00001,"['Topoisomerase IV subunit A (EC 5.99.1.-)', 'Topoisomerase IV subunit A (EC 5.99.1.-)']; ['None Provided']; ['DNA gyrase subunit A (EC 5.99.1.3)', 'DNA gyrase subunit A (EC 5.99.1.3)']; ['Topoisomerase IV subunit A (EC 5.99.1.-)', 'DNA gyrase subunit A (EC 5.99.1.3)']; ['DNA gyrase subunit A (EC 5.99.1.3)', 'DNA gyrase subunit A (EC 5.99.1.3)', 'Topoisomerase IV subunit A (EC 5.99.1.-)']; ['DNA gyrase subunit A (EC 5.99.1.3)']; ['Topoisomerase IV subunit A (EC 5.99.1.-)']; ['DNA gyrase subunit A (EC 5.99.1.3)', 'Topoisomerase IV subunit A (EC 5.99.1.-)']; ['DNA gyrase subunit A (EC 5.99.1.3)', 'Topoisomerase IV subunit A (EC 5.99.1.-)', 'DNA gyrase subunit A (EC 5.99.1.3)']"
group00002,"['None Provided']; ['Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)', 'Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)']; ['Probable peptidyl-prolyl cis-trans isomerase B (EC 5.2.1.8) (PPIase B) (Rotamase B)']; ['Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)', 'None Provided']; ['Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)', 'hypothetical protein', 'Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)']; ['Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)']; ['Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)', 'Probable peptidyl-prolyl cis-trans isomerase B (EC 5.2.1.8) (PPIase B) (Rotamase B)']"
group00003,"['DNA gyrase subunit B (EC 5.99.1.3)', 'Topoisomerase IV subunit B (EC 5.99.1.-)']; ['DNA gyrase subunit B (EC 5.99.1.3)', 'Topoisomerase IV subunit B (EC 5.99.1.-)', 'Topoisomerase IV subunit B (EC 5.99.1.-)']; ['Topoisomerase IV subunit B (EC 5.99.1.-)', 'Topoisomerase IV subunit B (EC 5.99.1.-)']; ['DNA gyrase subunit B (EC 5.99.1.3)']; ['Topoisomerase IV subunit B (EC 5.99.1.-)']"
group00004,"['Branched-chain amino acid transport ATP-binding protein LivG (TC 3.A.1.4.1)', 'Branched-chain amino acid transport ATP-binding protein LivG (TC 3.A.1.4.1)']; ['Branched-chain amino acid transport ATP-binding protein LivG (TC 3.A.1.4.1)', 'Branched-chain amino acid transport ATP-binding protein LivG (TC 3.A.1.4.1)', 'Branched-chain amino acid transport ATP-binding protein LivG (TC 3.A.1.4.1)']; ['Branched-chain amino acid transport ATP-binding protein LivG (TC 3.A.1.4.1)']; ['Branched-chain amino acid transport ATP-binding protein LivG (TC 3.A.1.4.1)', 'Branched-chain amino acid transport ATP-binding protein LivG (TC 3.A.1.4.1)', 'Branched-chain amino acid transport ATP-binding protein LivG (TC 3.A.1.4.1)', 'Branched-chain amino acid transport ATP-binding protein LivG (TC 3.A.1.4.1)', 'Branched-chain amino acid transport ATP-binding protein LivG (TC 3.A.1.4.1)']; ['Branched-chain amino acid transport ATP-binding protein LivG (TC 3.A.1.4.1)', 'Branched-chain amino acid transport ATP-binding protein LivG (TC 3.A.1.4.1)', 'Branched-chain amino acid transport ATP-binding protein LivG (TC 3.A.1.4.1)', 'Branched-chain amino acid transport ATP-binding protein LivG (TC 3.A.1.4.1)']"
group00005,"['Aldehyde dehydrogenase (EC 1.2.1.3)', 'Aldehyde dehydrogenase (EC 1.2.1.3)', 'Betaine aldehyde dehydrogenase (EC 1.2.1.8)']; ['Betaine aldehyde dehydrogenase (EC 1.2.1.8)', 'Aldehyde dehydrogenase (EC 1.2.1.3)', 'Aldehyde dehydrogenase (EC 1.2.1.3)']; ['Aldehyde dehydrogenase (EC 1.2.1.3)', 'Aldehyde dehydrogenase (EC 1.2.1.3)', 'Aldehyde dehydrogenase (EC 1.2.1.3)']; ['Betaine aldehyde dehydrogenase (EC 1.2.1.8)', 'Aldehyde dehydrogenase (EC 1.2.1.3)']; ['Aldehyde dehydrogenase (EC 1.2.1.3)', 'Aldehyde dehydrogenase (EC 1.2.1.3)']; ['Aldehyde dehydrogenase (EC 1.2.1.3)']"
group00006,"['TsaB protein, required for threonylcarbamoyladenosine (t(6)A) formation in tRNA', 'hypothetical protein']; ['TsaB protein, required for threonylcarbamoyladenosine (t(6)A) formation in tRNA', 'None Provided']; ['None Provided', 'TsaB protein, required for threonylcarbamoyladenosine (t(6)A) formation in tRNA']; ['Ribosomal-protein-S18p-alanine acetyltransferase (EC 2.3.1.-)', 'TsaB protein, required for threonylcarbamoyladenosine (t(6)A) formation in tRNA']; ['TsaB protein, required for threonylcarbamoyladenosine (t(6)A) formation in tRNA', 'Ribosomal-protein-S18p-alanine acetyltransferase (EC 2.3.1.-)']; ['TsaB protein, required for threonylcarbamoyladenosine (t(6)A) formation in tRNA']; ['TsaB protein, required for threonylcarbamoyladenosine (t(6)A) formation in tRNA', 'TsaB protein, required for threonylcarbamoyladenosine (t(6)A) formation in tRNA']"
group00007,"['Heat shock protein 60 family chaperone GroEL', 'Heat shock protein 60 family chaperone GroEL']; ['Heat shock protein 60 family chaperone GroEL']"
group00008,"['Chromosome (plasmid) partitioning protein ParA', 'Chromosome (plasmid) partitioning protein ParA']; ['ParA-like membrane-associated ATPase']; ['Chromosome (plasmid) partitioning protein ParA', 'Chromosome (plasmid) partitioning protein ParA', 'Chromosome (plasmid) partitioning protein ParA']; ['Chromosome (plasmid) partitioning protein ParA']; ['Chromosome (plasmid) partitioning protein ParA / Sporulation initiation inhibitor protein Soj']"
group00009,"['None Provided']; ['ATP-dependent RNA helicase', 'ATP-dependent RNA helicase']; ['ATP-dependent RNA helicase']; ['putative ATP-dependent RNA helicase', 'putative ATP-dependent RNA helicase', 'ATP-dependent RNA helicase']; ['None Provided', 'helicase (Snf2/Rad54 family)']; ['putative ATP-dependent RNA helicase']; ['ATP-dependent RNA helicase', 'putative ATP-dependent RNA helicase']"
group00010,"['None Provided']; ['sugar ABC transporter ATP-binding protein']; ['Ribose ABC transport system, ATP-binding protein RbsA (TC 3.A.1.2.1)', 'Nucleoside ABC transporter, ATP-binding protein']; ['Predicted L-rhamnose ABC transporter, ATP-binding component', 'None Provided']; ['Nucleoside ABC transporter, ATP-binding protein']; ['Putative deoxyribose-specific ABC transporter, ATP-binding protein', 'Putative deoxyribose-specific ABC transporter, ATP-binding protein']; ['Ribose ABC transport system, ATP-binding protein RbsA (TC 3.A.1.2.1)', 'Ribose ABC transport system, ATP-binding protein RbsA (TC 3.A.1.2.1)', 'None Provided']; ['Ribose ABC transport system, ATP-binding protein RbsA (TC 3.A.1.2.1)']; ['Ribose ABC transport system, ATP-binding protein RbsA (TC 3.A.1.2.1)', 'None Provided', 'Ribose ABC transport system, ATP-binding protein RbsA (TC 3.A.1.2.1)']; ['ABC transporter ATP-binding protein', 'Ribose ABC transport system, ATP-binding protein RbsA (TC 3.A.1.2.1)']; ['ABC transporter ATP-binding protein']; ['hypothetical protein', 'sugar ABC transporter ATP-binding protein']; ['None Provided', 'Ribose ABC transport system, ATP-binding protein RbsA (TC 3.A.1.2.1)']; ['Putative deoxyribose-specific ABC transporter, ATP-binding protein']; ['Predicted L-rhamnose ABC transporter, ATP-binding component', 'ABC transporter ATP-binding protein']; ['Ribose ABC transport system, ATP-binding protein RbsA (TC 3.A.1.2.1)', 'ABC transporter ATP-binding protein', 'Ribose ABC transport system, ATP-binding protein RbsA (TC 3.A.1.2.1)']; ['Ribose ABC transport system, ATP-binding protein RbsA (TC 3.A.1.2.1)', 'Ribose ABC transport system, ATP-binding protein RbsA (TC 3.A.1.2.1)']; ['Ribose ABC transport system, ATP-binding protein RbsA (TC 3.A.1.2.1)', 'ABC transporter ATP-binding protein']; ['ABC transporter related']; ['Predicted L-rhamnose ABC transporter, ATP-binding component', 'Predicted L-rhamnose ABC transporter, ATP-binding component', 'None Provided']"
group00011,"['ATP-dependent Clp protease, ATP-binding subunit ClpC / Negative regulator of genetic competence clcC/mecB']; ['ATP-dependent Clp protease, ATP-binding subunit ClpC / Negative regulator of genetic competence clcC/mecB', 'ATP-dependent Clp protease, ATP-binding subunit ClpC / Negative regulator of genetic competence clcC/mecB']"
group00012,"['Sulfate and thiosulfate import ATP-binding protein CysA (EC 3.6.3.25)', 'Putrescine transport ATP-binding protein PotG (TC 3.A.1.11.2)', 'Putrescine transport ATP-binding protein PotA (TC 3.A.1.11.1)']; ['Putrescine transport ATP-binding protein PotG (TC 3.A.1.11.2)', 'Putrescine transport ATP-binding protein PotA (TC 3.A.1.11.1)']; ['Putrescine transport ATP-binding protein PotG (TC 3.A.1.11.2)', 'Putrescine transport ATP-binding protein PotG (TC 3.A.1.11.2)']; ['Sulfate and thiosulfate import ATP-binding protein CysA (EC 3.6.3.25)', 'Putrescine transport ATP-binding protein PotG (TC 3.A.1.11.2)']; ['Sulfate and thiosulfate import ATP-binding protein CysA (EC 3.6.3.25)']; ['Putrescine transport ATP-binding protein PotG (TC 3.A.1.11.2)']; ['None Provided', 'Sulfate and thiosulfate import ATP-binding protein CysA (EC 3.6.3.25)']; ['None Provided', 'Sulfate and thiosulfate import ATP-binding protein CysA (EC 3.6.3.25)', 'Putrescine transport ATP-binding protein PotG (TC 3.A.1.11.2)']; ['Putrescine transport ATP-binding protein PotA (TC 3.A.1.11.1)', 'hypothetical protein']; ['Putrescine transport ATP-binding protein PotA (TC 3.A.1.11.1)', 'Putrescine transport ATP-binding protein PotG (TC 3.A.1.11.2)']; ['Putrescine transport ATP-binding protein PotA (TC 3.A.1.11.1)', 'None Provided']; ['Sulfate and thiosulfate import ATP-binding protein CysA (EC 3.6.3.25)', 'Sulfate and thiosulfate import ATP-binding protein CysA (EC 3.6.3.25)', 'Putrescine transport ATP-binding protein PotG (TC 3.A.1.11.2)']; ['None Provided', 'Putrescine transport ATP-binding protein PotA (TC 3.A.1.11.1)', 'Putrescine transport ATP-binding protein PotG (TC 3.A.1.11.2)']; ['hypothetical protein']; ['Putrescine transport ATP-binding protein PotG (TC 3.A.1.11.2)', 'Putrescine transport ATP-binding protein PotG (TC 3.A.1.11.2)', 'Sulfate and thiosulfate import ATP-binding protein CysA (EC 3.6.3.25)']"
group00013,"['None Provided']; ['Fumarylacetoacetate hydrolase family protein']; ['2-hydroxyhepta-2,4-diene-1,7-dioate isomerase (EC 5.3.3.-) / 5-carboxymethyl-2-oxo-hex-3- ene-1,7-dioate decarboxylase (EC 4.1.1.68)']; ['Fumarylacetoacetate hydrolase family protein', '2-hydroxyhepta-2,4-diene-1,7-dioate isomerase (EC 5.3.3.-) / 5-carboxymethyl-2-oxo-hex-3- ene-1,7-dioate decarboxylase (EC 4.1.1.68)', '2-hydroxyhepta-2,4-diene-1,7-dioate isomerase (EC 5.3.3.-) / 5-carboxymethyl-2-oxo-hex-3- ene-1,7-dioate decarboxylase (EC 4.1.1.68)']; ['Fumarylacetoacetate hydrolase family protein', '2-hydroxyhepta-2,4-diene-1,7-dioate isomerase (EC 5.3.3.-) / 5-carboxymethyl-2-oxo-hex-3- ene-1,7-dioate decarboxylase (EC 4.1.1.68)']; ['Fumarylacetoacetate hydrolase family protein', 'Fumarylacetoacetate hydrolase family protein']; ['Fumarylacetoacetate hydrolase family protein', '2-hydroxyhepta-2,4-diene-1,7-dioate isomerase (EC 5.3.3.-) / 5-carboxymethyl-2-oxo-hex-3- ene-1,7-dioate decarboxylase (EC 4.1.1.68)', 'Fumarylacetoacetate hydrolase family protein']"
group00014,"[""Inosine-5'-monophosphate dehydrogenase (EC 1.1.1.205)"", ""Inosine-5'-monophosphate dehydrogenase (EC 1.1.1.205) / CBS domain""]; [""Inosine-5'-monophosphate dehydrogenase (EC 1.1.1.205) / CBS domain""]; [""Inosine-5'-monophosphate dehydrogenase (EC 1.1.1.205)""]; [""Inosine-5'-monophosphate dehydrogenase (EC 1.1.1.205) / CBS domain"", ""Inosine-5'-monophosphate dehydrogenase (EC 1.1.1.205) / CBS domain""]; [""Inosine-5'-monophosphate dehydrogenase (EC 1.1.1.205) / CBS domain"", ""Inosine-5'-monophosphate dehydrogenase (EC 1.1.1.205) / CBS domain"", ""Inosine-5'-monophosphate dehydrogenase (EC 1.1.1.205) / CBS domain""]; [""Inosine-5'-monophosphate dehydrogenase (EC 1.1.1.205)"", ""Inosine-5'-monophosphate dehydrogenase (EC 1.1.1.205) / CBS domain"", ""Inosine-5'-monophosphate dehydrogenase (EC 1.1.1.205)""]"
