AAA028G02.genome.CDS.1340,group03393
AAA028G02.genome.CDS.1583,group00300
AAA028G02.genome.CDS.1374,group00256
AAA028G02.genome.CDS.2079,group00471
AAA028G02.genome.CDS.1639,group00033
AAA028G02.genome.CDS.2078,group00453
AAA028G02.genome.CDS.1325,group03322
AAA028G02.genome.CDS.2417,group00030
AAA028G02.genome.CDS.1814,group00730
AAA028G02.genome.CDS.1413,group01809
AAA028G02.genome.CDS.1988,group00435
AAA028G02.genome.CDS.2459,group01612
AAA028G02.genome.CDS.2593,group01760
AAA028G02.genome.CDS.1388,group02224
AAA028G02.genome.CDS.1541,group00939
AAA028G02.genome.CDS.1542,group01310
AAA028G02.genome.CDS.2315,group00527
AAA028G02.genome.CDS.2097,group00239
AAA028G02.genome.CDS.2038,group01346
AAA028G02.genome.CDS.2095,group00089
AAA028G02.genome.CDS.2094,group00436
AAA028G02.genome.CDS.2093,group02944
AAA028G02.genome.CDS.2092,group00431
AAA028G02.genome.CDS.2091,group00389
AAA028G02.genome.CDS.2090,group00426
AAA028G02.genome.CDS.2314,group00107
AAA028G02.genome.CDS.2069,group00250
AAA028G02.genome.CDS.2316,group00556
AAA028G02.genome.CDS.2317,group00415
AAA028G02.genome.CDS.2310,group00858
AAA028G02.genome.CDS.2311,group00162
AAA028G02.genome.CDS.2099,group00675
AAA028G02.genome.CDS.1545,group02925
AAA028G02.genome.CDS.2458,group00771
AAA028G02.genome.CDS.2477,group00853
AAA028G02.genome.CDS.1547,group01040
AAA028G02.genome.CDS.2327,group00008
AAA028G02.genome.CDS.1654,group00955
AAA028G02.genome.CDS.2479,group01118
AAA028G02.genome.CDS.1656,group00978
AAA028G02.genome.CDS.1657,group00646
AAA028G02.genome.CDS.1719,group00283
AAA028G02.genome.CDS.1718,group00464
AAA028G02.genome.CDS.1652,group00859
AAA028G02.genome.CDS.1653,group00396
AAA028G02.genome.CDS.1594,group00758
AAA028G02.genome.CDS.1714,group00821
AAA028G02.genome.CDS.454,group01010
AAA028G02.genome.CDS.1716,group03346
AAA028G02.genome.CDS.1711,group01002
AAA028G02.genome.CDS.1710,group01051
AAA028G02.genome.CDS.1713,group00653
AAA028G02.genome.CDS.1712,group01347
AAA028G02.genome.CDS.2369,group02483
AAA028G02.genome.CDS.2368,group02482
AAA028G02.genome.CDS.2002,group00602
AAA028G02.genome.CDS.2003,group00782
AAA028G02.genome.CDS.2004,group01187
AAA028G02.genome.CDS.2005,group00069
AAA028G02.genome.CDS.2006,group01053
AAA028G02.genome.CDS.2007,group00264
AAA028G02.genome.CDS.2008,group00808
AAA028G02.genome.CDS.2360,group00138
AAA028G02.genome.CDS.2363,group03383
AAA028G02.genome.CDS.2362,group01888
AAA028G02.genome.CDS.2365,group01192
AAA028G02.genome.CDS.2364,group01294
AAA028G02.genome.CDS.2367,group01323
AAA028G02.genome.CDS.2366,group00370
AAA028G02.genome.CDS.2615,group01476
AAA028G02.genome.CDS.2614,group00901
AAA028G02.genome.CDS.2617,group01887
AAA028G02.genome.CDS.2616,group02460
AAA028G02.genome.CDS.2611,group00972
AAA028G02.genome.CDS.2610,group00904
AAA028G02.genome.CDS.2613,group00903
AAA028G02.genome.CDS.2612,group00877
AAA028G02.genome.CDS.2163,group00064
AAA028G02.genome.CDS.2346,group00564
AAA028G02.genome.CDS.2161,group00068
AAA028G02.genome.CDS.2160,group00047
AAA028G02.genome.CDS.2167,group00703
AAA028G02.genome.CDS.2166,group00677
AAA028G02.genome.CDS.2165,group00276
AAA028G02.genome.CDS.2164,group00962
AAA028G02.genome.CDS.1621,group00011
AAA028G02.genome.CDS.1620,group01000
AAA028G02.genome.CDS.1623,group00056
AAA028G02.genome.CDS.1622,group00636
AAA028G02.genome.CDS.1625,group00542
AAA028G02.genome.CDS.1627,group00509
AAA028G02.genome.CDS.1626,group00570
AAA028G02.genome.CDS.1629,group00624
AAA028G02.genome.CDS.2286,group00553
AAA028G02.genome.CDS.1105,group03390
AAA028G02.genome.CDS.2256,group00059
AAA028G02.genome.CDS.1476,group01377
AAA028G02.genome.CDS.2287,group00665
AAA028G02.genome.CDS.1631,group00341
AAA028G02.genome.CDS.1484,group00116
AAA028G02.genome.CDS.2451,group00037
AAA028G02.genome.CDS.206,group01327
AAA028G02.genome.CDS.1637,group00966
AAA028G02.genome.CDS.2382,group01018
AAA028G02.genome.CDS.1486,group00544
AAA028G02.genome.CDS.2538,group00342
AAA028G02.genome.CDS.298,group00232
AAA028G02.genome.CDS.1326,group01819
AAA028G02.genome.CDS.2243,group00306
AAA028G02.genome.CDS.1480,group00368
AAA028G02.genome.CDS.1786,group00179
AAA028G02.genome.CDS.1787,group00531
AAA028G02.genome.CDS.1785,group00180
AAA028G02.genome.CDS.1782,group00255
AAA028G02.genome.CDS.1783,group02462
AAA028G02.genome.CDS.1780,group00907
AAA028G02.genome.CDS.1781,group02226
AAA028G02.genome.CDS.2034,group03363
AAA028G02.genome.CDS.1559,group00716
AAA028G02.genome.CDS.1788,group00855
AAA028G02.genome.CDS.1789,group00649
AAA028G02.genome.CDS.2264,group00208
AAA028G02.genome.CDS.2265,group00151
AAA028G02.genome.CDS.1407,group03415
AAA028G02.genome.CDS.2267,group00976
AAA028G02.genome.CDS.2509,group00455
AAA028G02.genome.CDS.2508,group00654
AAA028G02.genome.CDS.20,group01069
AAA028G02.genome.CDS.2263,group00273
AAA028G02.genome.CDS.1434,group01407
AAA028G02.genome.CDS.2504,group00049
AAA028G02.genome.CDS.1436,group00742
AAA028G02.genome.CDS.1437,group02935
AAA028G02.genome.CDS.1430,group01479
AAA028G02.genome.CDS.2500,group00662
AAA028G02.genome.CDS.1432,group01478
AAA028G02.genome.CDS.1433,group02379
AAA028G02.genome.CDS.1966,group01174
AAA028G02.genome.CDS.1967,group01227
AAA028G02.genome.CDS.1964,group01260
AAA028G02.genome.CDS.1965,group00014
AAA028G02.genome.CDS.1962,group01395
AAA028G02.genome.CDS.1960,group00812
AAA028G02.genome.CDS.1961,group02833
AAA028G02.genome.CDS.1879,group00528
AAA028G02.genome.CDS.932,group00063
AAA028G02.genome.CDS.1968,group01244
AAA028G02.genome.CDS.1969,group01201
AAA028G02.genome.CDS.1427,group00687
AAA028G02.genome.CDS.2047,group00915
AAA028G02.genome.CDS.2110,group00878
AAA028G02.genome.CDS.1986,group00560
AAA028G02.genome.CDS.2041,group00054
AAA028G02.genome.CDS.1535,group02845
AAA028G02.genome.CDS.1534,group02461
AAA028G02.genome.CDS.1537,group01050
AAA028G02.genome.CDS.2461,group00558
AAA028G02.genome.CDS.1551,group00271
AAA028G02.genome.CDS.2467,group00709
AAA028G02.genome.CDS.2464,group01742
AAA028G02.genome.CDS.1532,group02097
AAA028G02.genome.CDS.1557,group01704
AAA028G02.genome.CDS.2468,group00738
AAA028G02.genome.CDS.2469,group00991
AAA028G02.genome.CDS.1539,group02248
AAA028G02.genome.CDS.1357,group00868
AAA028G02.genome.CDS.2031,group01526
AAA028G02.genome.CDS.2625,group00503
AAA028G02.genome.CDS.1818,group00668
AAA028G02.genome.CDS.1819,group01247
AAA028G02.genome.CDS.1800,group00279
AAA028G02.genome.CDS.1812,group00176
AAA028G02.genome.CDS.1813,group00784
AAA028G02.genome.CDS.1810,group00753
AAA028G02.genome.CDS.1811,group00979
AAA028G02.genome.CDS.1816,group00590
AAA028G02.genome.CDS.1817,group01001
AAA028G02.genome.CDS.1425,group01722
AAA028G02.genome.CDS.1815,group00052
AAA028G02.genome.CDS.2596,group00201
AAA028G02.genome.CDS.1880,group00417
AAA028G02.genome.CDS.1883,group00490
AAA028G02.genome.CDS.2595,group00572
AAA028G02.genome.CDS.2592,group01148
AAA028G02.genome.CDS.1884,group01437
AAA028G02.genome.CDS.2590,group00948
AAA028G02.genome.CDS.2591,group01042
AAA028G02.genome.CDS.1889,group00427
AAA028G02.genome.CDS.1888,group00469
AAA028G02.genome.CDS.2598,group01003
AAA028G02.genome.CDS.2599,group01279
