bin_7_acI-B2.genome.CDS.1369,group00700
bin_7_acI-B2.genome.CDS.1367,group00100
bin_7_acI-B2.genome.CDS.1366,group00100
bin_7_acI-B2.genome.CDS.1568,group04971
bin_7_acI-B2.genome.CDS.3679,group00606
bin_7_acI-B2.genome.CDS.3678,group00183
bin_7_acI-B2.genome.CDS.3677,group00879
bin_7_acI-B2.genome.CDS.3676,group00133
bin_7_acI-B2.genome.CDS.3675,group00830
bin_7_acI-B2.genome.CDS.3674,group00480
bin_7_acI-B2.genome.CDS.3673,group00138
bin_7_acI-B2.genome.CDS.3672,group00323
bin_7_acI-B2.genome.CDS.3671,group00484
bin_7_acI-B2.genome.CDS.3670,group00547
bin_7_acI-B2.genome.CDS.3479,group01304
bin_7_acI-B2.genome.CDS.3478,group00025
bin_7_acI-B2.genome.CDS.3471,group00276
bin_7_acI-B2.genome.CDS.3472,group00677
bin_7_acI-B2.genome.CDS.3475,group00277
bin_7_acI-B2.genome.CDS.3476,group00370
bin_7_acI-B2.genome.CDS.4058,group01422
bin_7_acI-B2.genome.CDS.4059,group02286
bin_7_acI-B2.genome.CDS.4056,group01706
bin_7_acI-B2.genome.CDS.4057,group01640
bin_7_acI-B2.genome.CDS.4054,group00531
bin_7_acI-B2.genome.CDS.4055,group01073
bin_7_acI-B2.genome.CDS.4052,group00180
bin_7_acI-B2.genome.CDS.4053,group00179
bin_7_acI-B2.genome.CDS.4050,group00913
bin_7_acI-B2.genome.CDS.4051,group00238
bin_7_acI-B2.genome.CDS.2988,group02086
bin_7_acI-B2.genome.CDS.2982,group01374
bin_7_acI-B2.genome.CDS.2983,group01315
bin_7_acI-B2.genome.CDS.2980,group02286
bin_7_acI-B2.genome.CDS.2981,group01342
bin_7_acI-B2.genome.CDS.2986,group01423
bin_7_acI-B2.genome.CDS.2984,group01966
bin_7_acI-B2.genome.CDS.2985,group00729
bin_7_acI-B2.genome.CDS.2791,group00502
bin_7_acI-B2.genome.CDS.2182,group00797
bin_7_acI-B2.genome.CDS.2183,group00391
bin_7_acI-B2.genome.CDS.2180,group00685
bin_7_acI-B2.genome.CDS.2181,group00850
bin_7_acI-B2.genome.CDS.2186,group00254
bin_7_acI-B2.genome.CDS.2187,group00094
bin_7_acI-B2.genome.CDS.2184,group00589
bin_7_acI-B2.genome.CDS.2185,group00651
bin_7_acI-B2.genome.CDS.2188,group00503
bin_7_acI-B2.genome.CDS.3909,group00784
bin_7_acI-B2.genome.CDS.3908,group00176
bin_7_acI-B2.genome.CDS.3901,group01741
bin_7_acI-B2.genome.CDS.3900,group00697
bin_7_acI-B2.genome.CDS.3903,group02678
bin_7_acI-B2.genome.CDS.3902,group00842
bin_7_acI-B2.genome.CDS.3905,group02873
bin_7_acI-B2.genome.CDS.3904,group01440
bin_7_acI-B2.genome.CDS.3907,group02199
bin_7_acI-B2.genome.CDS.3906,group02874
bin_7_acI-B2.genome.CDS.3875,group01087
bin_7_acI-B2.genome.CDS.3874,group01263
bin_7_acI-B2.genome.CDS.3877,group00925
bin_7_acI-B2.genome.CDS.3876,group02126
bin_7_acI-B2.genome.CDS.3871,group00846
bin_7_acI-B2.genome.CDS.3870,group01420
bin_7_acI-B2.genome.CDS.3873,group01783
bin_7_acI-B2.genome.CDS.3872,group01300
bin_7_acI-B2.genome.CDS.3879,group00327
bin_7_acI-B2.genome.CDS.3878,group01449
bin_7_acI-B2.genome.CDS.2831,group00150
bin_7_acI-B2.genome.CDS.2058,group00754
bin_7_acI-B2.genome.CDS.2059,group00358
bin_7_acI-B2.genome.CDS.2054,group00432
bin_7_acI-B2.genome.CDS.2055,group02861
bin_7_acI-B2.genome.CDS.2056,group04873
bin_7_acI-B2.genome.CDS.2057,group00315
bin_7_acI-B2.genome.CDS.2050,group01690
bin_7_acI-B2.genome.CDS.2051,group01386
bin_7_acI-B2.genome.CDS.2052,group01282
bin_7_acI-B2.genome.CDS.2053,group01183
bin_7_acI-B2.genome.CDS.2331,group02276
bin_7_acI-B2.genome.CDS.2330,group00785
bin_7_acI-B2.genome.CDS.2333,group02395
bin_7_acI-B2.genome.CDS.2332,group02193
bin_7_acI-B2.genome.CDS.2335,group00952
bin_7_acI-B2.genome.CDS.2334,group02192
bin_7_acI-B2.genome.CDS.2337,group00614
bin_7_acI-B2.genome.CDS.2336,group01831
bin_7_acI-B2.genome.CDS.2339,group00471
bin_7_acI-B2.genome.CDS.2338,group00699
bin_7_acI-B2.genome.CDS.504,group00932
bin_7_acI-B2.genome.CDS.3273,group04952
bin_7_acI-B2.genome.CDS.3272,group04953
bin_7_acI-B2.genome.CDS.3271,group04954
bin_7_acI-B2.genome.CDS.3270,group01310
bin_7_acI-B2.genome.CDS.3277,group02166
bin_7_acI-B2.genome.CDS.3276,group04949
bin_7_acI-B2.genome.CDS.3275,group04950
bin_7_acI-B2.genome.CDS.3274,group04951
bin_7_acI-B2.genome.CDS.3279,group02288
bin_7_acI-B2.genome.CDS.3278,group02951
bin_7_acI-B2.genome.CDS.3116,group02834
bin_7_acI-B2.genome.CDS.3117,group04930
bin_7_acI-B2.genome.CDS.3114,group00015
bin_7_acI-B2.genome.CDS.3115,group01122
bin_7_acI-B2.genome.CDS.2429,group00865
bin_7_acI-B2.genome.CDS.3113,group04925
bin_7_acI-B2.genome.CDS.3110,group04927
bin_7_acI-B2.genome.CDS.3111,group02920
bin_7_acI-B2.genome.CDS.2425,group00219
bin_7_acI-B2.genome.CDS.2424,group00160
bin_7_acI-B2.genome.CDS.2427,group01121
bin_7_acI-B2.genome.CDS.2426,group01314
bin_7_acI-B2.genome.CDS.2421,group00354
bin_7_acI-B2.genome.CDS.2420,group00249
bin_7_acI-B2.genome.CDS.3118,group04929
bin_7_acI-B2.genome.CDS.3119,group00024
bin_7_acI-B2.genome.CDS.2519,group01082
bin_7_acI-B2.genome.CDS.2518,group00650
bin_7_acI-B2.genome.CDS.3060,group00075
bin_7_acI-B2.genome.CDS.3061,group00164
bin_7_acI-B2.genome.CDS.3066,group00124
bin_7_acI-B2.genome.CDS.3067,group00156
bin_7_acI-B2.genome.CDS.3064,group00168
bin_7_acI-B2.genome.CDS.3065,group00292
bin_7_acI-B2.genome.CDS.2511,group01136
bin_7_acI-B2.genome.CDS.2510,group01346
bin_7_acI-B2.genome.CDS.3068,group00373
bin_7_acI-B2.genome.CDS.3069,group00204
bin_7_acI-B2.genome.CDS.2515,group00474
bin_7_acI-B2.genome.CDS.2514,group00173
bin_7_acI-B2.genome.CDS.2517,group01844
bin_7_acI-B2.genome.CDS.2516,group01681
bin_7_acI-B2.genome.CDS.2605,group02280
bin_7_acI-B2.genome.CDS.2604,group02279
bin_7_acI-B2.genome.CDS.2607,group02539
bin_7_acI-B2.genome.CDS.2606,group02281
bin_7_acI-B2.genome.CDS.2601,group01863
bin_7_acI-B2.genome.CDS.2600,group04877
bin_7_acI-B2.genome.CDS.2603,group02278
bin_7_acI-B2.genome.CDS.2602,group02084
bin_7_acI-B2.genome.CDS.2609,group04876
bin_7_acI-B2.genome.CDS.2608,group01432
bin_7_acI-B2.genome.CDS.1420,group02294
bin_7_acI-B2.genome.CDS.1421,group01579
bin_7_acI-B2.genome.CDS.3648,group00141
bin_7_acI-B2.genome.CDS.3649,group01165
bin_7_acI-B2.genome.CDS.3642,group02003
bin_7_acI-B2.genome.CDS.3643,group00634
bin_7_acI-B2.genome.CDS.3640,group00386
bin_7_acI-B2.genome.CDS.3641,group00439
bin_7_acI-B2.genome.CDS.3646,group00016
bin_7_acI-B2.genome.CDS.3647,group00737
bin_7_acI-B2.genome.CDS.3644,group00516
bin_7_acI-B2.genome.CDS.3645,group00004
bin_7_acI-B2.genome.CDS.3484,group01423
bin_7_acI-B2.genome.CDS.3485,group00729
bin_7_acI-B2.genome.CDS.3486,group01966
bin_7_acI-B2.genome.CDS.3487,group01315
bin_7_acI-B2.genome.CDS.3480,group01971
bin_7_acI-B2.genome.CDS.3482,group02086
bin_7_acI-B2.genome.CDS.2802,group02346
bin_7_acI-B2.genome.CDS.3488,group01374
bin_7_acI-B2.genome.CDS.3489,group01342
bin_7_acI-B2.genome.CDS.2800,group00018
bin_7_acI-B2.genome.CDS.3400,group00704
bin_7_acI-B2.genome.CDS.3402,group00735
bin_7_acI-B2.genome.CDS.3403,group00343
bin_7_acI-B2.genome.CDS.4049,group01021
bin_7_acI-B2.genome.CDS.4048,group01083
bin_7_acI-B2.genome.CDS.4041,group00046
bin_7_acI-B2.genome.CDS.4040,group01253
bin_7_acI-B2.genome.CDS.4043,group00093
bin_7_acI-B2.genome.CDS.4042,group00055
bin_7_acI-B2.genome.CDS.4045,group00676
bin_7_acI-B2.genome.CDS.4044,group00912
bin_7_acI-B2.genome.CDS.4047,group04831
bin_7_acI-B2.genome.CDS.4046,group04832
bin_7_acI-B2.genome.CDS.2995,group02004
bin_7_acI-B2.genome.CDS.2994,group01033
bin_7_acI-B2.genome.CDS.2997,group00626
bin_7_acI-B2.genome.CDS.2996,group01874
bin_7_acI-B2.genome.CDS.2991,group01304
